"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH"
"1","MIDEA","KFR-61GW/Y",2.65,2.4,6095.05
"2","MIDEA","KFR-26GW/Y",0.93,0.9,2253.45
"3","MIDEA","KFR-70GW/Y",3.03,2.9,7277.95
"4","MIDEA","KFR-26GW/Y",0.93,0.89,2233.63
"6","HYUNDAI","WSH-188BA",1.9,1.88,4685.66
"7","DAIKIN","FTY60G***+ RY60G***",2.46,2.47,6137.84
"8","DAIKIN","FVY353C***+RY353***",1.63,1.51,3815.97
"10","DAIKIN","FVY453C***+RY453***",2.1,2.01,5044.32
"11","DAIKIN","FTY50G***+RY50G***",2.08,1.92,4855.84
"12","DAIKIN","FTX50H***+RX50H***",2.12,2.5,6025.6
"13","DAIKIN","FTX25Hxxx/RX25Hxxx",0.96,1.04,2546.08
"14","CHUNLAN","KFR-32GW",1.2,1.22,3024.04
"16","CHUNLAN","KFR-27GW",1.12,1.14,2825.08
"18","CHUNLAN","KFR-50GW",1.9,2,4923.5
"19","DAIKIN","FLX60J***/RXD60J***",1.99,2,4968.95
"20","CHUNLAN","KFR-35GW",1.28,1.33,3282.46
"21","DAIKIN","FTXD50J***/RXD50J***",1.73,1.91,4659.27
"23","DAIKIN","FTXD60J***/RXD60J***",2.21,2.12,5317.89
"24","SPLENDID","11-0HP",1.35,1.35,3357.45
"25","CHUNLAN","KFR-70GW",2.75,2.75,6839.25
"26","CHUNLAN","STARWAY",2.75,2.75,6839.25
"28","NEC","RH129",1.35,1.15,2961.05
"29","LG","LWC1262AHG",1.35,1.15,2961.05
"30","CHUNLAN","KFR-22GW",0.85,0.88,2173.41
"31","LG","LWC122RH-1",1.35,1.15,2961.05
"32","SHARP","AY-A249J/AE-A249J",3,3.05,7560.1
"33","SHARP","AY-A184J/AE-A184J",2.22,2.21,5501.32
"34","SHARP","AY-A099J/AE-A099J",0.98,0.93,2338.16
"36","CHUNLAN","KFR-60GW",2.48,2.35,5910.1
"38","FUJITSU","AST14RSH-W/AOT14RNA",1.7,1.8,4426.1
"39","MITSUBISHI ELECTRIC","MSH-07RV/MUH-07RV",0.75,0.72,1805.79
"41","MIDEA","KFR-26GW/I1Y",0.97,0.97,2412.39
"42","MITSUBISHI ELECTRIC","MCFH-13NV/MUCFH-13NV",1.42,1.25,3194.6
"46","EMAILAIR","MAY90RCE",1.01,0.93,2353.31
"47","EMAILAIR","ELECTRA KCR-25E",1.01,0.93,2353.31
"48","KIA","KSH-098BA",0.87,0.88,2183.51
"49","HISENSE","KFR-25GWE",1.04,1.33,3161.26
"50","LG","LWC0960AHG",1,0.92,2328.44
"51","LG","LSL1260NL",1.33,1.83,4298.71
"52","LG","LS-K2463HL",2.73,2.69,6710.23
"53","LG","LV-B2461HL",2.8,2.69,6745.58
"55","AIRTEMP","HAY212N6G",1.41,1.38,3447.21
"59","LG","LWC1260PHG",1.33,1.19,3030.23
"60","HYUNDAI","WSH-229BA",2.57,2.54,6332.13
"61","LG","LS-K2464HL",2.73,2.69,6710.23
"62","ELECTRA","WMN24RCB",2.45,2.45,6093.15
"63","ELECTRA","EMAILAIR WS/CWS066HB",2.45,2.45,6093.15
