"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH"
"1","MIDEA","KFR-61GW/Y",2.65,2.4,13150.65
"2","MIDEA","KFR-26GW/Y",0.93,0.9,4620.33
"3","MIDEA","KFR-70GW/Y",3.03,2.9,15050.43
"4","MIDEA","KFR-26GW/Y",0.93,0.89,4619.43
"6","HYUNDAI","WSH-188BA",1.9,1.88,9443.1
"7","DAIKIN","FTY60G***+ RY60G***",2.46,2.47,12229.56
"8","DAIKIN","FVY353C***+RY353***",1.63,1.51,8091.93
"10","DAIKIN","FVY453C***+RY453***",2.1,2.01,10431
"11","DAIKIN","FTY50G***+RY50G***",2.08,1.92,10325.28
"12","DAIKIN","FTX50H***+RX50H***",2.12,2.5,10572.72
"13","DAIKIN","FTX25Hxxx/RX25Hxxx",0.96,1.04,4779.36
"14","CHUNLAN","KFR-32GW",1.2,1.22,5967
"16","CHUNLAN","KFR-27GW",1.12,1.14,5569.32
"18","CHUNLAN","KFR-50GW",1.9,2,9453.9
"19","DAIKIN","FLX60J***/RXD60J***",1.99,2,9893.19
"20","CHUNLAN","KFR-35GW",1.28,1.33,6367.38
"21","DAIKIN","FTXD50J***/RXD50J***",1.73,1.91,8616.03
"23","DAIKIN","FTXD60J***/RXD60J***",2.21,2.12,10977.81
"24","SPLENDID","11-0HP",1.35,1.35,6710.85
"25","CHUNLAN","KFR-70GW",2.75,2.75,13670.25
"26","CHUNLAN","STARWAY",2.75,2.75,13670.25
"28","NEC","RH129",1.35,1.15,6692.85
"29","LG","LWC1262AHG",1.35,1.15,6692.85
"30","CHUNLAN","KFR-22GW",0.85,0.88,4228.05
"31","LG","LWC122RH-1",1.35,1.15,6692.85
"32","SHARP","AY-A249J/AE-A249J",3,3.05,14917.5
"33","SHARP","AY-A184J/AE-A184J",2.22,2.21,11034.72
"34","SHARP","AY-A099J/AE-A099J",0.98,0.93,4867.08
"36","CHUNLAN","KFR-60GW",2.48,2.35,12316.38
"38","FUJITSU","AST14RSH-W/AOT14RNA",1.7,1.8,8459.7
"39","MITSUBISHI ELECTRIC","MSH-07RV/MUH-07RV",0.75,0.72,3725.55
"41","MIDEA","KFR-26GW/I1Y",0.97,0.97,4821.87
"42","MITSUBISHI ELECTRIC","MCFH-13NV/MUCFH-13NV",1.42,1.25,7043.52
"46","EMAILAIR","MAY90RCE",1.01,0.93,5013.51
"47","EMAILAIR","ELECTRA KCR-25E",1.01,0.93,5013.51
"48","KIA","KSH-098BA",0.87,0.88,4325.67
"49","HISENSE","KFR-25GWE",1.04,1.33,5195.94
"50","LG","LWC0960AHG",1,0.92,4963.8
"51","LG","LSL1260NL",1.33,1.83,6656.43
"52","LG","LS-K2463HL",2.73,2.69,13567.23
"53","LG","LV-B2461HL",2.8,2.69,13908.9
"55","AIRTEMP","HAY212N6G",1.41,1.38,7006.41
"59","LG","LWC1260PHG",1.33,1.19,6598.83
"60","HYUNDAI","WSH-229BA",2.57,2.54,12772.77
"61","LG","LS-K2464HL",2.73,2.69,13567.23
"62","ELECTRA","WMN24RCB",2.45,2.45,12178.95
"63","ELECTRA","EMAILAIR WS/CWS066HB",2.45,2.45,12178.95
"67","ADSAKA","KFR-60GW",2.48,2.35,12316.38
"68","EMAILAIR","WS/CWS026HA",1,0.99,4970.1
"69","EMAILAIR","ELECTRA WMN9RCA",1,0.99,4970.1
"70","EMAILAIR","WS/CWS034HA",1.25,1.33,6220.95
"71","EMAILAIR","ELECTRA WMN12RCA",1.25,1.33,6220.95
"72","AIRWELL","SX18RC",2.3,2.13,11418
"73","ADSAKA","KFR-50GW",1.9,2,9453.9
"74","AIRWELL","SX24RC",2.71,2.49,13451.61
"75","TOSHIBA","RAS-10YKH-E / 10YAH-E",1.02,0.95,5064.12
"76","TOSHIBA","RAS-24UKH-E / 24UAH-EA",2.6,2.59,12923.7
"77","TOSHIBA","RAS-18UKH-E / 18UAH-EA",2.04,2,10137.24
"83","FUJITSU GENERAL","AUT25RLC-W/AOT25RZCL",2.8,2.6,13900.8
"84","FUJITSU GENERAL","ABT18RGA-W/AOT18RZAL",2.24,2.12,11124.24
"87","FUJITSU GENERAL","ART25RLA/AOT25RZAL",2.86,2.65,14198.16
"90","FUJITSU GENERAL","AUT18RGA/AOT18RZCL",2.01,2.01,9991.71
"92","MIDEA","KFR-23GW/I1Y",0.88,0.93,4378.98
"93","MIDEA","KFR-53GW/Y",2,1.92,9934.8
"94","MIDEA","KFR-36GWY",1.5,1.65,7470
"99","AIRTEMP","HAY318N6G",2.08,2.09,10340.58
"100","AIRTEMP","HAY109N6G",1.07,1.07,5318.97
"101","AIRTEMP","HAE418N6E/HAC418N6G",2.08,1.9,10323.48
"102","AIRTEMP","HAE109N6E/HAC109N6B",0.93,0.93,4623.03
"104","FUJITSU","AST20RGA-W/AOT20RZAL",2.28,1.96,11305.08
"105","MITSUBISHI ELECTRIC","MWH-17KV",2.8,2.6,13900.8
"112","MITSUBISHI ELECTRIC","MSH-24RV/MUH-24RV",2.73,2.69,13567.23
"114","FUJITSU","AST7RSCCW/AOT7RSCC",0.77,0.72,3823.17
"115","GENERAL ELECTRIC","ASIAH18EWI",1.84,1.87,9149.34
"116","MITSUBISHI ELECTRIC","MWH-12KV",1.72,1.56,8535.72
"117","MITSUBISHI ELECTRIC","MSZ-G12SV/MUZ-G12SV",1.36,1.63,6784.86
"119","HOTPOINT","HPS 125R",1.1,1.07,5465.4
"120","FUJITSU GENERAL","AST24RGB-W/AOT24RNAL/AOT24RNCLST24RGB-W/A",2.61,2.7,12982.41
"122","MITSUBISHI ELECTRIC","MSH-12RV/MUH-12RV",1.32,1.4,6568.92
"124","MITSUBISHI ELECTRIC","MSH-09RV/MUH-09RV",0.95,0.97,4724.25
"125","AIRTEMP","HAY107N6G",0.82,0.82,4076.22
"127","MITSUBISHI ELECTRIC","MWH-08MV",1.02,0.87,5056.92
