"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH"
"1","MIDEA","KFR-61GW/Y",2.65,2.4,7977.25
"2","MIDEA","KFR-26GW/Y",0.93,0.9,2909.55
"3","MIDEA","KFR-70GW/Y",3.03,2.9,9418.05
"4","MIDEA","KFR-26GW/Y",0.93,0.89,2890.5
"6","HYUNDAI","WSH-188BA",1.9,1.88,6022.9
"7","DAIKIN","FTY60G***+ RY60G***",2.46,2.47,7866.45
"8","DAIKIN","FVY353C***+RY353***",1.63,1.51,4971.1
"10","DAIKIN","FVY453C***+RY453***",2.1,2.01,6527.55
"11","DAIKIN","FTY50G***+RY50G***",2.08,1.92,6330.4
"12","DAIKIN","FTX50H***+RX50H***",2.12,2.5,7486.7
"13","DAIKIN","FTX25Hxxx/RX25Hxxx",0.96,1.04,3214.8
"14","CHUNLAN","KFR-32GW",1.2,1.22,3866.1
"16","CHUNLAN","KFR-27GW",1.12,1.14,3610.9
"18","CHUNLAN","KFR-50GW",1.9,2,6251.5
"19","DAIKIN","FLX60J***/RXD60J***",1.99,2,6367.15
"20","CHUNLAN","KFR-35GW",1.28,1.33,4178.45
"21","DAIKIN","FTXD50J***/RXD50J***",1.73,1.91,5861.6
"23","DAIKIN","FTXD60J***/RXD60J***",2.21,2.12,6878.45
"24","SPLENDID","11-0HP",1.35,1.35,4306.5
"25","CHUNLAN","KFR-70GW",2.75,2.75,8772.5
"26","CHUNLAN","STARWAY",2.75,2.75,8772.5
"28","NEC","RH129",1.35,1.15,3925.5
"29","LG","LWC1262AHG",1.35,1.15,3925.5
"30","CHUNLAN","KFR-22GW",0.85,0.88,2768.65
"31","LG","LWC122RH-1",1.35,1.15,3925.5
"32","SHARP","AY-A249J/AE-A249J",3,3.05,9665.25
"33","SHARP","AY-A184J/AE-A184J",2.22,2.21,7062.75
"34","SHARP","AY-A099J/AE-A099J",0.98,0.93,3030.95
"36","CHUNLAN","KFR-60GW",2.48,2.35,7663.55
"38","FUJITSU","AST14RSH-W/AOT14RNA",1.7,1.8,5613.5
"39","MITSUBISHI ELECTRIC","MSH-07RV/MUH-07RV",0.75,0.72,2335.35
"41","MIDEA","KFR-26GW/I1Y",0.97,0.97,3094.3
"42","MITSUBISHI ELECTRIC","MCFH-13NV/MUCFH-13NV",1.42,1.25,4205.95
"46","EMAILAIR","MAY90RCE",1.01,0.93,3069.5
"47","EMAILAIR","ELECTRA KCR-25E",1.01,0.93,3069.5
"48","KIA","KSH-098BA",0.87,0.88,2794.35
"49","HISENSE","KFR-25GWE",1.04,1.33,3870.05
"50","LG","LWC0960AHG",1,0.92,3037.6
"51","LG","LSL1260NL",1.33,1.83,5195.2
"52","LG","LS-K2463HL",2.73,2.69,8632.5
"53","LG","LV-B2461HL",2.8,2.69,8722.45
"55","AIRTEMP","HAY212N6G",1.41,1.38,4440.75
"59","LG","LWC1260PHG",1.33,1.19,3976
"60","HYUNDAI","WSH-229BA",2.57,2.54,8141.15
"61","LG","LS-K2464HL",2.73,2.69,8632.5
"62","ELECTRA","WMN24RCB",2.45,2.45,7815.5
"63","ELECTRA","EMAILAIR WS/CWS066HB",2.45,2.45,7815.5
"67","ADSAKA","KFR-60GW",2.48,2.35,7663.55
"68","EMAILAIR","WS/CWS026HA",1,0.99,3170.95
"69","EMAILAIR","ELECTRA WMN9RCA",1,0.99,3170.95
"70","EMAILAIR","WS/CWS034HA",1.25,1.33,4139.9
"71","EMAILAIR","ELECTRA WMN12RCA",1.25,1.33,4139.9
"72","AIRWELL","SX18RC",2.3,2.13,7013.15
"73","ADSAKA","KFR-50GW",1.9,2,6251.5
"74","AIRWELL","SX24RC",2.71,2.49,8225.8
"75","TOSHIBA","RAS-10YKH-E / 10YAH-E",1.02,0.95,3120.45
"76","TOSHIBA","RAS-24UKH-E / 24UAH-EA",2.6,2.59,8274.95
"77","TOSHIBA","RAS-18UKH-E / 18UAH-EA",2.04,2,6431.4
"83","FUJITSU GENERAL","AUT25RLC-W/AOT25RZCL",2.8,2.6,8551
"84","FUJITSU GENERAL","ABT18RGA-W/AOT18RZAL",2.24,2.12,6917
"87","FUJITSU GENERAL","ART25RLA/AOT25RZAL",2.86,2.65,8723.35
"90","FUJITSU GENERAL","AUT18RGA/AOT18RZCL",2.01,2.01,6411.9
"92","MIDEA","KFR-23GW/I1Y",0.88,0.93,2902.45
"93","MIDEA","KFR-53GW/Y",2,1.92,6227.6
"94","MIDEA","KFR-36GWY",1.5,1.65,5070.75
"99","AIRTEMP","HAY318N6G",2.08,2.09,6654.25
"100","AIRTEMP","HAY109N6G",1.07,1.07,3413.3
"101","AIRTEMP","HAE418N6E/HAC418N6G",2.08,1.9,6292.3
"102","AIRTEMP","HAE109N6E/HAC109N6B",0.93,0.93,2966.7
"104","FUJITSU","AST20RGA-W/AOT20RZAL",2.28,1.96,6663.6
"105","MITSUBISHI ELECTRIC","MWH-17KV",2.8,2.6,8551
"112","MITSUBISHI ELECTRIC","MSH-24RV/MUH-24RV",2.73,2.69,8632.5
"114","FUJITSU","AST7RSCCW/AOT7RSCC",0.77,0.72,2361.05
"115","GENERAL ELECTRIC","ASIAH18EWI",1.84,1.87,5926.75
"116","MITSUBISHI ELECTRIC","MWH-12KV",1.72,1.56,5182
"117","MITSUBISHI ELECTRIC","MSZ-G12SV/MUZ-G12SV",1.36,1.63,4852.75
"119","HOTPOINT","HPS 125R",1.1,1.07,3451.85
"120","FUJITSU GENERAL","AST24RGB-W/AOT24RNAL/AOT24RNCLST24RGB-W/A",2.61,2.7,8497.35
"122","MITSUBISHI ELECTRIC","MSH-12RV/MUH-12RV",1.32,1.4,4363.2
"124","MITSUBISHI ELECTRIC","MSH-09RV/MUH-09RV",0.95,0.97,3068.6
"125","AIRTEMP","HAY107N6G",0.82,0.82,2615.8
"127","MITSUBISHI ELECTRIC","MWH-08MV",1.02,0.87,2968.05
"128","MHI","SRT403HENF-L",1.38,1.39,4421.25
"132","CARRIER","53G150H",1.32,1.35,4267.95
"137","CARRIER","53G225H",1.88,1.8,5844.8
"138","CARRIER","53G100H",0.96,0.96,3062.4
"141","HEC","HSU-09HEO4",1.02,1.16,3520.5
"142","MHI","SRK561HENF-A",2.18,2.18,6954.2
"143","MHI","SRK388HENF-A",1.32,1.33,4229.85
"144","MHI","SRK408HENF-A",1.51,1.54,4874.05
"145","MHI","SRK288HENF-A",1.07,0.91,3108.5
"146","MHI","SRK458HENF-A",1.7,1.84,5689.7
"147","MHI","FDKN208H",1.8,1.82,5780.1
"148","MHI","FDKN308H",3.08,2.83,9348.95
"150","MHI","SRK502Z-L",2.22,2.5,7615.2
"151","MHI","FDKN258H",2.11,2.08,6673.75
"153","MHI","SRK208HENF-A",0.77,0.71,2342
"154","HISENSE","KFR-4001GW/BPE",1.53,2.05,5871.3
"156","HISENSE","KFR-2601GW/BPE",0.96,1.4,3900.6
"157","TEMPERZONE","ISY26R/OSY26R",0.93,0.93,2966.7
"158","TEMPERZONE","ISY60R2 / OSY60R2",2.76,2.56,8423.4
"159","GENERAL ELECTRIC","AYIAH12EWI",1.35,1.45,4497
"160","GENERAL ELECTRIC","AYIAH09DWI",1.12,1.15,3629.95
"161","Haier","HSU-12H104",1.35,1.33,4268.4
"162","TEMPERZONE","ISY34/OSY34R",1.26,1.26,4019.4
"164","HEC","HW-09HA04",1.08,0.98,3254.7
"165","GENERAL ELECTRIC","ASIAH24EWI",2.33,2.45,7661.3
"167","MIDEA","KFR-61GW/Y",2.56,2.31,7690.15
"168","Teco","LA2300Y",2.76,2.5,8309.1
"169","Haier","HW-09HA04",1.08,0.98,3254.7
"170","MIDEA","KFR-45GWY",1.7,2,5994.5
"171","HEC","HW-24H04",2.9,2.4,8298.5
