"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH"
"1","MIDEA","KFR-61GW/Y",2.65,2.4,8173
"2","MIDEA","KFR-26GW/Y",0.93,0.9,3003.42
"3","MIDEA","KFR-70GW/Y",3.03,2.9,9709.82
"4","MIDEA","KFR-26GW/Y",0.93,0.89,2980.01
"6","HYUNDAI","WSH-188BA",1.9,1.88,6232.68
"7","DAIKIN","FTY60G***+ RY60G***",2.46,2.47,8153.71
"8","DAIKIN","FVY353C***+RY353***",1.63,1.51,5106.23
"10","DAIKIN","FVY453C***+RY453***",2.1,2.01,6729.81
"11","DAIKIN","FTY50G***+RY50G***",2.08,1.92,6499.84
"12","DAIKIN","FTX50H***+RX50H***",2.12,2.5,7896.18
"13","DAIKIN","FTX25Hxxx/RX25Hxxx",0.96,1.04,3360.08
"14","CHUNLAN","KFR-32GW",1.2,1.22,4012.82
"16","CHUNLAN","KFR-27GW",1.12,1.14,3748.42
"18","CHUNLAN","KFR-50GW",1.9,2,6513.6
"19","DAIKIN","FLX60J***/RXD60J***",1.99,2,6600.36
"20","CHUNLAN","KFR-35GW",1.28,1.33,4347.45
"21","DAIKIN","FTXD50J***/RXD50J***",1.73,1.91,6139.03
"23","DAIKIN","FTXD60J***/RXD60J***",2.21,2.12,7093.36
"24","SPLENDID","11-0HP",1.35,1.35,4461.75
"25","CHUNLAN","KFR-70GW",2.75,2.75,9088.75
"26","CHUNLAN","STARWAY",2.75,2.75,9088.75
"28","NEC","RH129",1.35,1.15,3993.55
"29","LG","LWC1262AHG",1.35,1.15,3993.55
"30","CHUNLAN","KFR-22GW",0.85,0.88,2879.48
"31","LG","LWC122RH-1",1.35,1.15,3993.55
"32","SHARP","AY-A249J/AE-A249J",3,3.05,10032.05
"33","SHARP","AY-A184J/AE-A184J",2.22,2.21,7313.69
"34","SHARP","AY-A099J/AE-A099J",0.98,0.93,3121.85
"36","CHUNLAN","KFR-60GW",2.48,2.35,7892.07
"38","FUJITSU","AST14RSH-W/AOT14RNA",1.7,1.8,5852.6
"39","MITSUBISHI ELECTRIC","MSH-07RV/MUH-07RV",0.75,0.72,2408.52
"41","MIDEA","KFR-26GW/I1Y",0.97,0.97,3205.85
"42","MITSUBISHI ELECTRIC","MCFH-13NV/MUCFH-13NV",1.42,1.25,4295.13
"46","EMAILAIR","MAY90RCE",1.01,0.93,3150.77
"47","EMAILAIR","ELECTRA KCR-25E",1.01,0.93,3150.77
"48","KIA","KSH-098BA",0.87,0.88,2898.76
"49","HISENSE","KFR-25GWE",1.04,1.33,4116.09
"50","LG","LWC0960AHG",1,0.92,3117.72
"51","LG","LSL1260NL",1.33,1.83,5566.15
"52","LG","LS-K2463HL",2.73,2.69,8929.01
"53","LG","LV-B2461HL",2.8,2.69,8996.49
"55","AIRTEMP","HAY212N6G",1.41,1.38,4589.82
"59","LG","LWC1260PHG",1.33,1.19,4067.91
"60","HYUNDAI","WSH-229BA",2.57,2.54,8423.62
"61","LG","LS-K2464HL",2.73,2.69,8929.01
"62","ELECTRA","WMN24RCB",2.45,2.45,8097.25
"63","ELECTRA","EMAILAIR WS/CWS066HB",2.45,2.45,8097.25
"67","ADSAKA","KFR-60GW",2.48,2.35,7892.07
"68","EMAILAIR","WS/CWS026HA",1,0.99,3281.59
"69","EMAILAIR","ELECTRA WMN9RCA",1,0.99,3281.59
"70","EMAILAIR","WS/CWS034HA",1.25,1.33,4318.53
"71","EMAILAIR","ELECTRA WMN12RCA",1.25,1.33,4318.53
"72","AIRWELL","SX18RC",2.3,2.13,7203.53
"73","ADSAKA","KFR-50GW",1.9,2,6513.6
"74","AIRWELL","SX24RC",2.71,2.49,8441.53
"75","TOSHIBA","RAS-10YKH-E / 10YAH-E",1.02,0.95,3207.23
"76","TOSHIBA","RAS-24UKH-E / 24UAH-EA",2.6,2.59,8569.59
"77","TOSHIBA","RAS-18UKH-E / 18UAH-EA",2.04,2,6648.56
"83","FUJITSU GENERAL","AUT25RLC-W/AOT25RZCL",2.8,2.6,8785.8
"84","FUJITSU GENERAL","ABT18RGA-W/AOT18RZAL",2.24,2.12,7122.28
"87","FUJITSU GENERAL","ART25RLA/AOT25RZAL",2.86,2.65,8960.69
"90","FUJITSU GENERAL","AUT18RGA/AOT18RZCL",2.01,2.01,6643.05
"92","MIDEA","KFR-23GW/I1Y",0.88,0.93,3025.45
"93","MIDEA","KFR-53GW/Y",2,1.92,6422.72
"94","MIDEA","KFR-36GWY",1.5,1.65,5308.65
"99","AIRTEMP","HAY318N6G",2.08,2.09,6897.81
"100","AIRTEMP","HAY109N6G",1.07,1.07,3536.35
"101","AIRTEMP","HAE418N6E/HAC418N6G",2.08,1.9,6453.02
