"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH"
"1","MIDEA","KFR-61GW/Y",2.65,2.4,7772.55
"2","MIDEA","KFR-26GW/Y",0.93,0.9,2791.35
"3","MIDEA","KFR-70GW/Y",3.03,2.9,9058.85
"4","MIDEA","KFR-26GW/Y",0.93,0.89,2780.33
"6","HYUNDAI","WSH-188BA",1.9,1.88,5748.26
"7","DAIKIN","FTY60G***+ RY60G***",2.46,2.47,7482.04
"8","DAIKIN","FVY353C***+RY353***",1.63,1.51,4818.07
"10","DAIKIN","FVY453C***+RY453***",2.1,2.01,6278.52
"11","DAIKIN","FTY50G***+RY50G***",2.08,1.92,6140.64
"12","DAIKIN","FTX50H***+RX50H***",2.12,2.5,6857.2
"13","DAIKIN","FTX25Hxxx/RX25Hxxx",0.96,1.04,3003.68
"14","CHUNLAN","KFR-32GW",1.2,1.22,3666.44
"16","CHUNLAN","KFR-27GW",1.12,1.14,3423.48
"18","CHUNLAN","KFR-50GW",1.9,2,5880.5
"19","DAIKIN","FLX60J***/RXD60J***",1.99,2,6054.65
"20","CHUNLAN","KFR-35GW",1.28,1.33,3942.46
"21","DAIKIN","FTXD50J***/RXD50J***",1.73,1.91,5452.37
"23","DAIKIN","FTXD60J***/RXD60J***",2.21,2.12,6612.59
"24","SPLENDID","11-0HP",1.35,1.35,4099.95
"25","CHUNLAN","KFR-70GW",2.75,2.75,8351.75
"26","CHUNLAN","STARWAY",2.75,2.75,8351.75
"28","NEC","RH129",1.35,1.15,3879.55
"29","LG","LWC1262AHG",1.35,1.15,3879.55
"30","CHUNLAN","KFR-22GW",0.85,0.88,2614.51
"31","LG","LWC122RH-1",1.35,1.15,3879.55
"32","SHARP","AY-A249J/AE-A249J",3,3.05,9166.1
"33","SHARP","AY-A184J/AE-A184J",2.22,2.21,6731.12
"34","SHARP","AY-A099J/AE-A099J",0.98,0.93,2921.16
"36","CHUNLAN","KFR-60GW",2.48,2.35,7388.5
"38","FUJITSU","AST14RSH-W/AOT14RNA",1.7,1.8,5273.1
"39","MITSUBISHI ELECTRIC","MSH-07RV/MUH-07RV",0.75,0.72,2244.69
"41","MIDEA","KFR-26GW/I1Y",0.97,0.97,2945.89
"42","MITSUBISHI ELECTRIC","MCFH-13NV/MUCFH-13NV",1.42,1.25,4125.2
"46","EMAILAIR","MAY90RCE",1.01,0.93,2979.21
"47","EMAILAIR","ELECTRA KCR-25E",1.01,0.93,2979.21
"48","KIA","KSH-098BA",0.87,0.88,2653.21
"49","HISENSE","KFR-25GWE",1.04,1.33,3478.06
"50","LG","LWC0960AHG",1,0.92,2948.84
"51","LG","LSL1260NL",1.33,1.83,4590.21
"52","LG","LS-K2463HL",2.73,2.69,8246.93
"53","LG","LV-B2461HL",2.8,2.69,8382.38
"55","AIRTEMP","HAY212N6G",1.41,1.38,4249.11
"59","LG","LWC1260PHG",1.33,1.19,3884.93
"60","HYUNDAI","WSH-229BA",2.57,2.54,7772.03
"61","LG","LS-K2464HL",2.73,2.69,8246.93
"62","ELECTRA","WMN24RCB",2.45,2.45,7440.65
"63","ELECTRA","EMAILAIR WS/CWS066HB",2.45,2.45,7440.65
"67","ADSAKA","KFR-60GW",2.48,2.35,7388.5
"68","EMAILAIR","WS/CWS026HA",1,0.99,3025.98
"69","EMAILAIR","ELECTRA WMN9RCA",1,0.99,3025.98
"70","EMAILAIR","WS/CWS034HA",1.25,1.33,3884.41
"71","EMAILAIR","ELECTRA WMN12RCA",1.25,1.33,3884.41
"72","AIRWELL","SX18RC",2.3,2.13,6797.76
"73","ADSAKA","KFR-50GW",1.9,2,5880.5
"74","AIRWELL","SX24RC",2.71,2.49,7987.83
"75","TOSHIBA","RAS-10YKH-E / 10YAH-E",1.02,0.95,3020.6
"76","TOSHIBA","RAS-24UKH-E / 24UAH-EA",2.6,2.59,7885.18
"77","TOSHIBA","RAS-18UKH-E / 18UAH-EA",2.04,2,6151.4
"83","FUJITSU GENERAL","AUT25RLC-W/AOT25RZCL",2.8,2.6,8283.2
"84","FUJITSU GENERAL","ABT18RGA-W/AOT18RZAL",2.24,2.12,6670.64
"87","FUJITSU GENERAL","ART25RLA/AOT25RZAL",2.86,2.65,8454.4
"90","FUJITSU GENERAL","AUT18RGA/AOT18RZCL",2.01,2.01,6104.37
"92","MIDEA","KFR-23GW/I1Y",0.88,0.93,2727.66
"93","MIDEA","KFR-53GW/Y",2,1.92,5985.84
"94","MIDEA","KFR-36GWY",1.5,1.65,4720.8
"99","AIRTEMP","HAY318N6G",2.08,2.09,6327.98
"100","AIRTEMP","HAY109N6G",1.07,1.07,3249.59
"101","AIRTEMP","HAE418N6E/HAC418N6G",2.08,1.9,6118.6
"102","AIRTEMP","HAE109N6E/HAC109N6B",0.93,0.93,2824.41
"104","FUJITSU","AST20RGA-W/AOT20RZAL",2.28,1.96,6571.72
"105","MITSUBISHI ELECTRIC","MWH-17KV",2.8,2.6,8283.2
"112","MITSUBISHI ELECTRIC","MSH-24RV/MUH-24RV",2.73,2.69,8246.93
"114","FUJITSU","AST7RSCCW/AOT7RSCC",0.77,0.72,2283.39
"115","GENERAL ELECTRIC","ASIAH18EWI",1.84,1.87,5621.14
"116","MITSUBISHI ELECTRIC","MWH-12KV",1.72,1.56,5047.32
"117","MITSUBISHI ELECTRIC","MSZ-G12SV/MUZ-G12SV",1.36,1.63,4427.86
"119","HOTPOINT","HPS 125R",1.1,1.07,3307.64
"120","FUJITSU GENERAL","AST24RGB-W/AOT24RNAL/AOT24RNCLST24RGB-W/A",2.61,2.7,8025.75
"122","MITSUBISHI ELECTRIC","MSH-12RV/MUH-12RV",1.32,1.4,4097
"124","MITSUBISHI ELECTRIC","MSH-09RV/MUH-09RV",0.95,0.97,2907.19
"125","AIRTEMP","HAY107N6G",0.82,0.82,2490.34
"127","MITSUBISHI ELECTRIC","MWH-08MV",1.02,0.87,2932.44
"128","MHI","SRT403HENF-L",1.38,1.39,4202.08
"132","CARRIER","53G150H",1.32,1.35,4041.9
"137","CARRIER","53G225H",1.88,1.8,5621.4
"138","CARRIER","53G100H",0.96,0.96,2915.52
"141","HEC","HSU-09HEO4",1.02,1.16,3252.02
"142","MHI","SRK561HENF-A",2.18,2.18,6620.66
"143","MHI","SRK388HENF-A",1.32,1.33,4019.86
"144","MHI","SRK408HENF-A",1.51,1.54,4618.93
"145","MHI","SRK288HENF-A",1.07,0.91,3073.27
"146","MHI","SRK458HENF-A",1.7,1.84,5317.18
"147","MHI","FDKN208H",1.8,1.82,5488.64
"148","MHI","FDKN308H",3.08,2.83,9078.46
"150","MHI","SRK502Z-L",2.22,2.5,7050.7
"151","MHI","FDKN258H",2.11,2.08,6375.01
"153","MHI","SRK208HENF-A",0.77,0.71,2272.37
"154","HISENSE","KFR-4001GW/BPE",1.53,2.05,5219.65
"156","HISENSE","KFR-2601GW/BPE",0.96,1.4,3400.4
"157","TEMPERZONE","ISY26R/OSY26R",0.93,0.93,2824.41
"158","TEMPERZONE","ISY60R2 / OSY60R2",2.76,2.56,8161.72
"159","GENERAL ELECTRIC","AYIAH12EWI",1.35,1.45,4210.15
"160","GENERAL ELECTRIC","AYIAH09DWI",1.12,1.15,3434.5
"161","Haier","HSU-12H104",1.35,1.33,4077.91
"162","TEMPERZONE","ISY34/OSY34R",1.26,1.26,3826.62
"164","HEC","HW-09HA04",1.08,0.98,3169.76
"165","GENERAL ELECTRIC","ASIAH24EWI",2.33,2.45,7208.45
"167","MIDEA","KFR-61GW/Y",2.56,2.31,7499.22
"168","Teco","LA2300Y",2.76,2.5,8095.6
"169","Haier","HW-09HA04",1.08,0.98,3169.76
"170","MIDEA","KFR-45GWY",1.7,2,5493.5
"171","HEC","HW-24H04",2.9,2.4,8256.3
"172","Haier","HW-12HA04",1.38,1.2,3992.7
"173","HEC","HW-18HA04",2.1,2.1,6377.7
"174","Haier","HW-12HA04",1.38,1.2,3992.7
"175","Haier","HW-24H04",2.9,2.4,8256.3
"179","LG","LWN2262RHG",2.63,2.3,7623.65
"180","LG","LWN2262CHG",2.63,2.3,7623.65
"183","COOLINE","HWL12EHA/KLE12BSTH",1.3,1.2,3837.9
"185","GREE","KFR-45GW/E",2.05,2.64,6876.03
"186","COOLINE","LHB15BRH",1.82,1.57,5251.84
"187","PANASONIC","CW-A241SR",3.15,2.8,9180.85
"188","PANASONIC","CS-A123KR/CU-A123KR",1.31,1.24,3901.33
"190","SHARP","AY-A244J/AE-A244J",2.93,2.95,8920.45
"195","PANASONIC","CW-A120AR",1.4,1.18,4009.36
"196","PANASONIC","CW-A90FR",1.14,1.07,3385.04
"197","COOLINE","HWL18EHA/KLE18BSRH",2,1.75,5798.5
"198","PANASONIC","CS-1270TR/CU-1270TR",1.3,1.4,4058.3
"199","PANASONIC","CS-A181KR/CU-A181KR",2.19,2.28,6750.21
"200","COOLINE","LHB12BTH",1.44,1.17,4075.74
"201","PANASONIC","CS-A93KR/CU-A93KR",0.97,0.91,2879.77
"202","ACSON","WM20FR/LC20BR",2.1,1.7,5936.9
"203","PANASONIC","CS-A120KR/CU-A120KR",1.3,1.28,3926.06
"205","PANASONIC","CS-2470TR/CU-2470TR",2.95,2.79,8782.83
"206","PANASONIC","CW-A90AR",1.03,0.89,2973.83
"208","COOLINE","LHB20BRH",2.2,1.89,6339.78
"209","COOLINE","LHB24BRH",2.75,2.09,7624.43
"211","SANYO","SAP-KC241AHA",2.98,2.95,9017.2
"212","SANYO","SAP-KC181AHA",2.36,2.04,6814.68
