"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH"
"1","MIDEA","KFR-61GW/Y",2.65,2.4,8338.45
"2","MIDEA","KFR-26GW/Y",0.93,0.9,3095.49
"3","MIDEA","KFR-70GW/Y",3.03,2.9,9990.79
"4","MIDEA","KFR-26GW/Y",0.93,0.89,3066.19
"6","HYUNDAI","WSH-188BA",1.9,1.88,6445.1
"7","DAIKIN","FTY60G***+ RY60G***",2.46,2.47,8449.88
"8","DAIKIN","FVY353C***+RY353***",1.63,1.51,5227.89
"10","DAIKIN","FVY453C***+RY453***",2.1,2.01,6924.6
"11","DAIKIN","FTY50G***+RY50G***",2.08,1.92,6651.04
"12","DAIKIN","FTX50H***+RX50H***",2.12,2.5,8370.16
"13","DAIKIN","FTX25Hxxx/RX25Hxxx",0.96,1.04,3520.48
"14","CHUNLAN","KFR-32GW",1.2,1.22,4166.2
"16","CHUNLAN","KFR-27GW",1.12,1.14,3892.36
"18","CHUNLAN","KFR-50GW",1.9,2,6796.7
"19","DAIKIN","FLX60J***/RXD60J***",1.99,2,6841.07
"20","CHUNLAN","KFR-35GW",1.28,1.33,4527.94
"21","DAIKIN","FTXD50J***/RXD50J***",1.73,1.91,6449.19
"23","DAIKIN","FTXD60J***/RXD60J***",2.21,2.12,7301.13
"24","SPLENDID","11-0HP",1.35,1.35,4621.05
"25","CHUNLAN","KFR-70GW",2.75,2.75,9413.25
"26","CHUNLAN","STARWAY",2.75,2.75,9413.25
"28","NEC","RH129",1.35,1.15,4035.05
"29","LG","LWC1262AHG",1.35,1.15,4035.05
"30","CHUNLAN","KFR-22GW",0.85,0.88,2997.45
"31","LG","LWC122RH-1",1.35,1.15,4035.05
"32","SHARP","AY-A249J/AE-A249J",3,3.05,10415.5
"33","SHARP","AY-A184J/AE-A184J",2.22,2.21,7569.76
"34","SHARP","AY-A099J/AE-A099J",0.98,0.93,3208.04
"36","CHUNLAN","KFR-60GW",2.48,2.35,8108.14
"38","FUJITSU","AST14RSH-W/AOT14RNA",1.7,1.8,6112.1
"39","MITSUBISHI ELECTRIC","MSH-07RV/MUH-07RV",0.75,0.72,2479.35
"41","MIDEA","KFR-26GW/I1Y",0.97,0.97,3320.31
"42","MITSUBISHI ELECTRIC","MCFH-13NV/MUCFH-13NV",1.42,1.25,4362.56
"46","EMAILAIR","MAY90RCE",1.01,0.93,3222.83
"47","EMAILAIR","ELECTRA KCR-25E",1.01,0.93,3222.83
"48","KIA","KSH-098BA",0.87,0.88,3007.31
"49","HISENSE","KFR-25GWE",1.04,1.33,4409.62
"50","LG","LWC0960AHG",1,0.92,3188.6
"51","LG","LSL1260NL",1.33,1.83,6017.59
"52","LG","LS-K2463HL",2.73,2.69,9227.59
"53","LG","LV-B2461HL",2.8,2.69,9262.1
"55","AIRTEMP","HAY212N6G",1.41,1.38,4738.53
"59","LG","LWC1260PHG",1.33,1.19,4142.39
"60","HYUNDAI","WSH-229BA",2.57,2.54,8709.21
"61","LG","LS-K2464HL",2.73,2.69,9227.59
"62","ELECTRA","WMN24RCB",2.45,2.45,8386.35
"63","ELECTRA","EMAILAIR WS/CWS066HB",2.45,2.45,8386.35
"67","ADSAKA","KFR-60GW",2.48,2.35,8108.14
"68","EMAILAIR","WS/CWS026HA",1,0.99,3393.7
"69","EMAILAIR","ELECTRA WMN9RCA",1,0.99,3393.7
"70","EMAILAIR","WS/CWS034HA",1.25,1.33,4513.15
"71","EMAILAIR","ELECTRA WMN12RCA",1.25,1.33,4513.15
"72","AIRWELL","SX18RC",2.3,2.13,7374.8
"73","ADSAKA","KFR-50GW",1.9,2,6796.7
"74","AIRWELL","SX24RC",2.71,2.49,8631.73
"75","TOSHIBA","RAS-10YKH-E / 10YAH-E",1.02,0.95,3286.36
"76","TOSHIBA","RAS-24UKH-E / 24UAH-EA",2.6,2.59,8870.5
"77","TOSHIBA","RAS-18UKH-E / 18UAH-EA",2.04,2,6865.72
"83","FUJITSU GENERAL","AUT25RLC-W/AOT25RZCL",2.8,2.6,8998.4
"84","FUJITSU GENERAL","ABT18RGA-W/AOT18RZAL",2.24,2.12,7315.92
"87","FUJITSU GENERAL","ART25RLA/AOT25RZAL",2.86,2.65,9174.48
"90","FUJITSU GENERAL","AUT18RGA/AOT18RZCL",2.01,2.01,6880.23
"92","MIDEA","KFR-23GW/I1Y",0.88,0.93,3158.74
"93","MIDEA","KFR-53GW/Y",2,1.92,6611.6
"94","MIDEA","KFR-36GWY",1.5,1.65,5574
"99","AIRTEMP","HAY318N6G",2.08,2.09,7149.14
"100","AIRTEMP","HAY109N6G",1.07,1.07,3662.61
"101","AIRTEMP","HAE418N6E/HAC418N6G",2.08,1.9,6592.44
"102","AIRTEMP","HAE109N6E/HAC109N6B",0.93,0.93,3183.39
"104","FUJITSU","AST20RGA-W/AOT20RZAL",2.28,1.96,6866.84
"105","MITSUBISHI ELECTRIC","MWH-17KV",2.8,2.6,8998.4
"112","MITSUBISHI ELECTRIC","MSH-24RV/MUH-24RV",2.73,2.69,9227.59
"114","FUJITSU","AST7RSCCW/AOT7RSCC",0.77,0.72,2489.21
"115","GENERAL ELECTRIC","ASIAH18EWI",1.84,1.87,6386.22
"116","MITSUBISHI ELECTRIC","MWH-12KV",1.72,1.56,5418.76
"117","MITSUBISHI ELECTRIC","MSZ-G12SV/MUZ-G12SV",1.36,1.63,5446.38
"119","HOTPOINT","HPS 125R",1.1,1.07,3677.4
"120","FUJITSU GENERAL","AST24RGB-W/AOT24RNAL/AOT24RNCLST24RGB-W/A",2.61,2.7,9197.73
"122","MITSUBISHI ELECTRIC","MSH-12RV/MUH-12RV",1.32,1.4,4752.76
"124","MITSUBISHI ELECTRIC","MSH-09RV/MUH-09RV",0.95,0.97,3310.45
"125","AIRTEMP","HAY107N6G",0.82,0.82,2806.86
"127","MITSUBISHI ELECTRIC","MWH-08MV",1.02,0.87,3051.96
"128","MHI","SRT403HENF-L",1.38,1.39,4753.04
"132","CARRIER","53G150H",1.32,1.35,4606.26
"137","CARRIER","53G225H",1.88,1.8,6200.84
"138","CARRIER","53G100H",0.96,0.96,3286.08
"141","HEC","HSU-09HEO4",1.02,1.16,3901.66
"142","MHI","SRK561HENF-A",2.18,2.18,7462.14
"143","MHI","SRK388HENF-A",1.32,1.33,4547.66
"144","MHI","SRK408HENF-A",1.51,1.54,5256.63
"145","MHI","SRK288HENF-A",1.07,0.91,3193.81
"146","MHI","SRK458HENF-A",1.7,1.84,6229.3
"147","MHI","FDKN208H",1.8,1.82,6220
"148","MHI","FDKN308H",3.08,2.83,9810.34
"150","MHI","SRK502Z-L",2.22,2.5,8419.46
"151","MHI","FDKN258H",2.11,2.08,7134.63
"153","MHI","SRK208HENF-A",0.77,0.71,2459.91
"154","HISENSE","KFR-4001GW/BPE",1.53,2.05,6760.79
"156","HISENSE","KFR-2601GW/BPE",0.96,1.4,4575.28
"157","TEMPERZONE","ISY26R/OSY26R",0.93,0.93,3183.39
"158","TEMPERZONE","ISY60R2 / OSY60R2",2.76,2.56,8861.48
"159","GENERAL ELECTRIC","AYIAH12EWI",1.35,1.45,4914.05
"160","GENERAL ELECTRIC","AYIAH09DWI",1.12,1.15,3921.66
"161","Haier","HSU-12H104",1.35,1.33,4562.45
"162","TEMPERZONE","ISY34/OSY34R",1.26,1.26,4312.98
"164","HEC","HW-09HA04",1.08,0.98,3403.84
"165","GENERAL ELECTRIC","ASIAH24EWI",2.33,2.45,8327.19
"167","MIDEA","KFR-61GW/Y",2.56,2.31,8030.38
"168","Teco","LA2300Y",2.76,2.5,8685.68
"169","Haier","HW-09HA04",1.08,0.98,3403.84
"170","MIDEA","KFR-45GWY",1.7,2,6698.1
"171","HEC","HW-24H04",2.9,2.4,8461.7
"172","Haier","HW-12HA04",1.38,1.2,4196.34
"173","HEC","HW-18HA04",2.1,2.1,7188.3
"174","Haier","HW-12HA04",1.38,1.2,4196.34
"175","Haier","HW-24H04",2.9,2.4,8461.7
"179","LG","LWN2262RHG",2.63,2.3,8035.59
"180","LG","LWN2262CHG",2.63,2.3,8035.59
"183","COOLINE","HWL12EHA/KLE12BSTH",1.3,1.2,4156.9
"185","GREE","KFR-45GW/E",2.05,2.64,8745.85
"186","COOLINE","LHB15BRH",1.82,1.57,5497.36
"187","PANASONIC","CW-A241SR",3.15,2.8,9756.95
"188","PANASONIC","CS-A123KR/CU-A123KR",1.31,1.24,4279.03
"190","SHARP","AY-A244J/AE-A244J",2.93,2.95,10087.99
"195","PANASONIC","CW-A120AR",1.4,1.18,4147.6
