"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH"
"1","MIDEA","KFR-61GW/Y",2.65,2.4,3646.8
"2","MIDEA","KFR-26GW/Y",0.93,0.9,1344.6
"3","MIDEA","KFR-70GW/Y",3.03,2.9,4344.6
"4","MIDEA","KFR-26GW/Y",0.93,0.89,1333.38
"6","HYUNDAI","WSH-188BA",1.9,1.88,2793.36
"7","DAIKIN","FTY60G***+ RY60G***",2.46,2.47,3656.94
"8","DAIKIN","FVY353C***+RY353***",1.63,1.51,2281.02
"10","DAIKIN","FVY453C***+RY453***",2.1,2.01,3011.22
"11","DAIKIN","FTY50G***+RY50G***",2.08,1.92,2903.04
"12","DAIKIN","FTX50H***+RX50H***",2.12,2.5,3568.2
"13","DAIKIN","FTX25Hxxx/RX25Hxxx",0.96,1.04,1512.48
"14","CHUNLAN","KFR-32GW",1.2,1.22,1800.84
"16","CHUNLAN","KFR-27GW",1.12,1.14,1682.28
"18","CHUNLAN","KFR-50GW",1.9,2,2928
"19","DAIKIN","FLX60J***/RXD60J***",1.99,2,2960.4
"20","CHUNLAN","KFR-35GW",1.28,1.33,1953.06
"21","DAIKIN","FTXD50J***/RXD50J***",1.73,1.91,2765.82
"23","DAIKIN","FTXD60J***/RXD60J***",2.21,2.12,3174.24
"24","SPLENDID","11-0HP",1.35,1.35,2000.7
"25","CHUNLAN","KFR-70GW",2.75,2.75,4075.5
"26","CHUNLAN","STARWAY",2.75,2.75,4075.5
"28","NEC","RH129",1.35,1.15,1776.3
"29","LG","LWC1262AHG",1.35,1.15,1776.3
"30","CHUNLAN","KFR-22GW",0.85,0.88,1293.36
"31","LG","LWC122RH-1",1.35,1.15,1776.3
"32","SHARP","AY-A249J/AE-A249J",3,3.05,4502.1
"33","SHARP","AY-A184J/AE-A184J",2.22,2.21,3278.82
"34","SHARP","AY-A099J/AE-A099J",0.98,0.93,1396.26
"36","CHUNLAN","KFR-60GW",2.48,2.35,3529.5
"38","FUJITSU","AST14RSH-W/AOT14RNA",1.7,1.8,2631.6
"39","MITSUBISHI ELECTRIC","MSH-07RV/MUH-07RV",0.75,0.72,1077.84
"41","MIDEA","KFR-26GW/I1Y",0.97,0.97,1437.54
"42","MITSUBISHI ELECTRIC","MCFH-13NV/MUCFH-13NV",1.42,1.25,1913.7
"46","EMAILAIR","MAY90RCE",1.01,0.93,1407.06
