"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH"
"1","MIDEA","KFR-61GW/Y",2.65,2.4,4772.1
"2","MIDEA","KFR-26GW/Y",0.93,0.9,1737.9
"3","MIDEA","KFR-70GW/Y",3.03,2.9,5626.9
"4","MIDEA","KFR-26GW/Y",0.93,0.89,1726.96
"6","HYUNDAI","WSH-188BA",1.9,1.88,3595.72
"7","DAIKIN","FTY60G***+ RY60G***",2.46,2.47,4694.78
"8","DAIKIN","FVY353C***+RY353***",1.63,1.51,2972.24
"10","DAIKIN","FVY453C***+RY453***",2.1,2.01,3899.94
"11","DAIKIN","FTY50G***+RY50G***",2.08,1.92,3785.28
"12","DAIKIN","FTX50H***+RX50H***",2.12,2.5,4452.2
"13","DAIKIN","FTX25Hxxx/RX25Hxxx",0.96,1.04,1915.36
"14","CHUNLAN","KFR-32GW",1.2,1.22,2306.68
"16","CHUNLAN","KFR-27GW",1.12,1.14,2154.36
"18","CHUNLAN","KFR-50GW",1.9,2,3727
"19","DAIKIN","FLX60J***/RXD60J***",1.99,2,3799.9
"20","CHUNLAN","KFR-35GW",1.28,1.33,2491.82
"21","DAIKIN","FTXD50J***/RXD50J***",1.73,1.91,3490.84
"23","DAIKIN","FTXD60J***/RXD60J***",2.21,2.12,4109.38
"24","SPLENDID","11-0HP",1.35,1.35,2570.4
"25","CHUNLAN","KFR-70GW",2.75,2.75,5236
"26","CHUNLAN","STARWAY",2.75,2.75,5236
"28","NEC","RH129",1.35,1.15,2351.6
"29","LG","LWC1262AHG",1.35,1.15,2351.6
"30","CHUNLAN","KFR-22GW",0.85,0.88,1651.22
"31","LG","LWC122RH-1",1.35,1.15,2351.6
"32","SHARP","AY-A249J/AE-A249J",3,3.05,5766.7
"33","SHARP","AY-A184J/AE-A184J",2.22,2.21,4215.94
"34","SHARP","AY-A099J/AE-A099J",0.98,0.93,1811.22
"36","CHUNLAN","KFR-60GW",2.48,2.35,4579.7
"38","FUJITSU","AST14RSH-W/AOT14RNA",1.7,1.8,3346.2
"39","MITSUBISHI ELECTRIC","MSH-07RV/MUH-07RV",0.75,0.72,1395.18
"41","MIDEA","KFR-26GW/I1Y",0.97,0.97,1846.88
"42","MITSUBISHI ELECTRIC","MCFH-13NV/MUCFH-13NV",1.42,1.25,2517.7
"46","EMAILAIR","MAY90RCE",1.01,0.93,1835.52
"47","EMAILAIR","ELECTRA KCR-25E",1.01,0.93,1835.52
"48","KIA","KSH-098BA",0.87,0.88,1667.42
"49","HISENSE","KFR-25GWE",1.04,1.33,2297.42
"50","LG","LWC0960AHG",1,0.92,1816.48
"51","LG","LSL1260NL",1.33,1.83,3079.32
"52","LG","LS-K2463HL",2.73,2.69,5154.16
"53","LG","LV-B2461HL",2.8,2.69,5210.86
"55","AIRTEMP","HAY212N6G",1.41,1.38,2651.82
