"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH"
"1","MIDEA","KFR-61GW/Y",2.65,2.4,4198.65
"2","MIDEA","KFR-26GW/Y",0.93,0.9,1563.21
"3","MIDEA","KFR-70GW/Y",3.03,2.9,5042.91
"4","MIDEA","KFR-26GW/Y",0.93,0.89,1547.67
"6","HYUNDAI","WSH-188BA",1.9,1.88,3257.82
"7","DAIKIN","FTY60G***+ RY60G***",2.46,2.47,4273.8
"8","DAIKIN","FVY353C***+RY353***",1.63,1.51,2635.05
"10","DAIKIN","FVY453C***+RY453***",2.1,2.01,3495.24
"11","DAIKIN","FTY50G***+RY50G***",2.08,1.92,3351.84
"12","DAIKIN","FTX50H***+RX50H***",2.12,2.5,4260.24
"13","DAIKIN","FTX25Hxxx/RX25Hxxx",0.96,1.04,1786.08
"14","CHUNLAN","KFR-32GW",1.2,1.22,2108.28
"16","CHUNLAN","KFR-27GW",1.12,1.14,1969.8
"18","CHUNLAN","KFR-50GW",1.9,2,3444.3
"19","DAIKIN","FLX60J***/RXD60J***",1.99,2,3460.23
"20","CHUNLAN","KFR-35GW",1.28,1.33,2293.38
"21","DAIKIN","FTXD50J***/RXD50J***",1.73,1.91,3274.35
"23","DAIKIN","FTXD60J***/RXD60J***",2.21,2.12,3685.65
"24","SPLENDID","11-0HP",1.35,1.35,2336.85
"25","CHUNLAN","KFR-70GW",2.75,2.75,4760.25
"26","CHUNLAN","STARWAY",2.75,2.75,4760.25
"28","NEC","RH129",1.35,1.15,2026.05
"29","LG","LWC1262AHG",1.35,1.15,2026.05
"30","CHUNLAN","KFR-22GW",0.85,0.88,1517.97
"31","LG","LWC122RH-1",1.35,1.15,2026.05
"32","SHARP","AY-A249J/AE-A249J",3,3.05,5270.7
"33","SHARP","AY-A184J/AE-A184J",2.22,2.21,3827.28
"34","SHARP","AY-A099J/AE-A099J",0.98,0.93,1618.68
"36","CHUNLAN","KFR-60GW",2.48,2.35,4090.86
"38","FUJITSU","AST14RSH-W/AOT14RNA",1.7,1.8,3098.1
"39","MITSUBISHI ELECTRIC","MSH-07RV/MUH-07RV",0.75,0.72,1251.63
"41","MIDEA","KFR-26GW/I1Y",0.97,0.97,1679.07
"42","MITSUBISHI ELECTRIC","MCFH-13NV/MUCFH-13NV",1.42,1.25,2193.84
"46","EMAILAIR","MAY90RCE",1.01,0.93,1623.99
"47","EMAILAIR","ELECTRA KCR-25E",1.01,0.93,1623.99
"48","KIA","KSH-098BA",0.87,0.88,1521.51
"49","HISENSE","KFR-25GWE",1.04,1.33,2250.9
"50","LG","LWC0960AHG",1,0.92,1606.68
"51","LG","LSL1260NL",1.33,1.83,3079.23
"52","LG","LS-K2463HL",2.73,2.69,4663.47
"53","LG","LV-B2461HL",2.8,2.69,4675.86
"55","AIRTEMP","HAY212N6G",1.41,1.38,2394.09
"59","LG","LWC1260PHG",1.33,1.19,2084.67
"60","HYUNDAI","WSH-229BA",2.57,2.54,4402.05
"61","LG","LS-K2464HL",2.73,2.69,4663.47
"62","ELECTRA","WMN24RCB",2.45,2.45,4240.95
"63","ELECTRA","EMAILAIR WS/CWS066HB",2.45,2.45,4240.95
"67","ADSAKA","KFR-60GW",2.48,2.35,4090.86
"68","EMAILAIR","WS/CWS026HA",1,0.99,1715.46
"69","EMAILAIR","ELECTRA WMN9RCA",1,0.99,1715.46
"70","EMAILAIR","WS/CWS034HA",1.25,1.33,2288.07
"71","EMAILAIR","ELECTRA WMN12RCA",1.25,1.33,2288.07
"72","AIRWELL","SX18RC",2.3,2.13,3717.12
"73","ADSAKA","KFR-50GW",1.9,2,3444.3
"74","AIRWELL","SX24RC",2.71,2.49,4349.13
"75","TOSHIBA","RAS-10YKH-E / 10YAH-E",1.02,0.95,1656.84
"76","TOSHIBA","RAS-24UKH-E / 24UAH-EA",2.6,2.59,4485.06
"77","TOSHIBA","RAS-18UKH-E / 18UAH-EA",2.04,2,3469.08
"83","FUJITSU GENERAL","AUT25RLC-W/AOT25RZCL",2.8,2.6,4536
"84","FUJITSU GENERAL","ABT18RGA-W/AOT18RZAL",2.24,2.12,3690.96
"87","FUJITSU GENERAL","ART25RLA/AOT25RZAL",2.86,2.65,4624.32
"90","FUJITSU GENERAL","AUT18RGA/AOT18RZCL",2.01,2.01,3479.31
"92","MIDEA","KFR-23GW/I1Y",0.88,0.93,1600.98
"93","MIDEA","KFR-53GW/Y",2,1.92,3337.68
