"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH"
"1","MIDEA","KFR-61GW/Y",2.65,2.4,6290.45
"2","MIDEA","KFR-26GW/Y",0.93,0.9,2305.05
"3","MIDEA","KFR-70GW/Y",3.03,2.9,7455.55
"4","MIDEA","KFR-26GW/Y",0.93,0.89,2288.17
"6","HYUNDAI","WSH-188BA",1.9,1.88,4778.94
"7","DAIKIN","FTY60G***+ RY60G***",2.46,2.47,6248.06
"8","DAIKIN","FVY353C***+RY353***",1.63,1.51,3926.23
"10","DAIKIN","FVY453C***+RY453***",2.1,2.01,5167.38
"11","DAIKIN","FTY50G***+RY50G***",2.08,1.92,4998.56
"12","DAIKIN","FTX50H***+RX50H***",2.12,2.5,6011.4
"13","DAIKIN","FTX25Hxxx/RX25Hxxx",0.96,1.04,2566.72
"14","CHUNLAN","KFR-32GW",1.2,1.22,3073.36
"16","CHUNLAN","KFR-27GW",1.12,1.14,2870.72
"18","CHUNLAN","KFR-50GW",1.9,2,4981.5
"19","DAIKIN","FLX60J***/RXD60J***",1.99,2,5057.55
"20","CHUNLAN","KFR-35GW",1.28,1.33,3326.64
"21","DAIKIN","FTXD50J***/RXD50J***",1.73,1.91,4685.93
"23","DAIKIN","FTXD60J***/RXD60J***",2.21,2.12,5446.01
"24","SPLENDID","11-0HP",1.35,1.35,3419.55
"25","CHUNLAN","KFR-70GW",2.75,2.75,6965.75
"26","CHUNLAN","STARWAY",2.75,2.75,6965.75
"28","NEC","RH129",1.35,1.15,3081.95
"29","LG","LWC1262AHG",1.35,1.15,3081.95
"30","CHUNLAN","KFR-22GW",0.85,0.88,2203.69
"31","LG","LWC122RH-1",1.35,1.15,3081.95
"32","SHARP","AY-A249J/AE-A249J",3,3.05,7683.4
"33","SHARP","AY-A184J/AE-A184J",2.22,2.21,5606.38
"34","SHARP","AY-A099J/AE-A099J",0.98,0.93,2397.94
"36","CHUNLAN","KFR-60GW",2.48,2.35,6062.4
"38","FUJITSU","AST14RSH-W/AOT14RNA",1.7,1.8,4474.9
"39","MITSUBISHI ELECTRIC","MSH-07RV/MUH-07RV",0.75,0.72,1849.11
"41","MIDEA","KFR-26GW/I1Y",0.97,0.97,2457.01
"42","MITSUBISHI ELECTRIC","MCFH-13NV/MUCFH-13NV",1.42,1.25,3309.9
"46","EMAILAIR","MAY90RCE",1.01,0.93,2423.29
"47","EMAILAIR","ELECTRA KCR-25E",1.01,0.93,2423.29
"48","KIA","KSH-098BA",0.87,0.88,2220.59
"49","HISENSE","KFR-25GWE",1.04,1.33,3123.84
"50","LG","LWC0960AHG",1,0.92,2397.96
"51","LG","LSL1260NL",1.33,1.83,4212.89
"52","LG","LS-K2463HL",2.73,2.69,6847.57
"53","LG","LV-B2461HL",2.8,2.69,6906.72
"55","AIRTEMP","HAY212N6G",1.41,1.38,3520.89
"59","LG","LWC1260PHG",1.33,1.19,3132.57
"60","HYUNDAI","WSH-229BA",2.57,2.54,6459.17
"61","LG","LS-K2464HL",2.73,2.69,6847.57
"62","ELECTRA","WMN24RCB",2.45,2.45,6205.85
"63","ELECTRA","EMAILAIR WS/CWS066HB",2.45,2.45,6205.85
"67","ADSAKA","KFR-60GW",2.48,2.35,6062.4
"68","EMAILAIR","WS/CWS026HA",1,0.99,2516.12
"69","EMAILAIR","ELECTRA WMN9RCA",1,0.99,2516.12
"70","EMAILAIR","WS/CWS034HA",1.25,1.33,3301.29
"71","EMAILAIR","ELECTRA WMN12RCA",1.25,1.33,3301.29
"72","AIRWELL","SX18RC",2.3,2.13,5538.94
"73","ADSAKA","KFR-50GW",1.9,2,4981.5
"74","AIRWELL","SX24RC",2.71,2.49,6493.07
"75","TOSHIBA","RAS-10YKH-E / 10YAH-E",1.02,0.95,2465.5
"76","TOSHIBA","RAS-24UKH-E / 24UAH-EA",2.6,2.59,6568.92
"77","TOSHIBA","RAS-18UKH-E / 18UAH-EA",2.04,2,5099.8
"83","FUJITSU GENERAL","AUT25RLC-W/AOT25RZCL",2.8,2.6,6754.8
"84","FUJITSU GENERAL","ABT18RGA-W/AOT18RZAL",2.24,2.12,5471.36
"87","FUJITSU GENERAL","ART25RLA/AOT25RZAL",2.86,2.65,6889.9
"90","FUJITSU GENERAL","AUT18RGA/AOT18RZCL",2.01,2.01,5091.33
"92","MIDEA","KFR-23GW/I1Y",0.88,0.93,2313.44
"93","MIDEA","KFR-53GW/Y",2,1.92,4930.96
"94","MIDEA","KFR-36GWY",1.5,1.65,4052.7
"99","AIRTEMP","HAY318N6G",2.08,2.09,5285.52
"100","AIRTEMP","HAY109N6G",1.07,1.07,2710.31
"101","AIRTEMP","HAE418N6E/HAC418N6G",2.08,1.9,4964.8
"102","AIRTEMP","HAE109N6E/HAC109N6B",0.93,0.93,2355.69
"104","FUJITSU","AST20RGA-W/AOT20RZAL",2.28,1.96,5235.08
"105","MITSUBISHI ELECTRIC","MWH-17KV",2.8,2.6,6754.8
"112","MITSUBISHI ELECTRIC","MSH-24RV/MUH-24RV",2.73,2.69,6847.57
"114","FUJITSU","AST7RSCCW/AOT7RSCC",0.77,0.72,1866.01
"115","GENERAL ELECTRIC","ASIAH18EWI",1.84,1.87,4711.36
"116","MITSUBISHI ELECTRIC","MWH-12KV",1.72,1.56,4086.68
"117","MITSUBISHI ELECTRIC","MSZ-G12SV/MUZ-G12SV",1.36,1.63,3900.64
"119","HOTPOINT","HPS 125R",1.1,1.07,2735.66
"120","FUJITSU GENERAL","AST24RGB-W/AOT24RNAL/AOT24RNCLST24RGB-W/A",2.61,2.7,6763.05
"122","MITSUBISHI ELECTRIC","MSH-12RV/MUH-12RV",1.32,1.4,3478.6
"124","MITSUBISHI ELECTRIC","MSH-09RV/MUH-09RV",0.95,0.97,2440.11
"125","AIRTEMP","HAY107N6G",0.82,0.82,2077.06
"127","MITSUBISHI ELECTRIC","MWH-08MV",1.02,0.87,2330.46
"128","MHI","SRT403HENF-L",1.38,1.39,3512.42
"132","CARRIER","53G150H",1.32,1.35,3394.2
"137","CARRIER","53G225H",1.88,1.8,4627
"138","CARRIER","53G100H",0.96,0.96,2431.68
"141","HEC","HSU-09HEO4",1.02,1.16,2819.98
"142","MHI","SRK561HENF-A",2.18,2.18,5521.94
"143","MHI","SRK388HENF-A",1.32,1.33,3360.44
"144","MHI","SRK408HENF-A",1.51,1.54,3875.47
"145","MHI","SRK288HENF-A",1.07,0.91,2440.23
"146","MHI","SRK458HENF-A",1.7,1.84,4542.42
"147","MHI","FDKN208H",1.8,1.82,4593.16
"148","MHI","FDKN308H",3.08,2.83,7379.64
"150","MHI","SRK502Z-L",2.22,2.5,6095.9
"151","MHI","FDKN258H",2.11,2.08,5293.99
"153","MHI","SRK208HENF-A",0.77,0.71,1849.13
"154","HISENSE","KFR-4001GW/BPE",1.53,2.05,4753.25
"156","HISENSE","KFR-2601GW/BPE",0.96,1.4,3174.4
"157","TEMPERZONE","ISY26R/OSY26R",0.93,0.93,2355.69
"158","TEMPERZONE","ISY60R2 / OSY60R2",2.76,2.56,6653.48
"159","GENERAL ELECTRIC","AYIAH12EWI",1.35,1.45,3588.35
"160","GENERAL ELECTRIC","AYIAH09DWI",1.12,1.15,2887.6
"161","Haier","HSU-12H104",1.35,1.33,3385.79
"162","TEMPERZONE","ISY34/OSY34R",1.26,1.26,3191.58
"164","HEC","HW-09HA04",1.08,0.98,2566.84
"165","GENERAL ELECTRIC","ASIAH24EWI",2.33,2.45,6104.45
"167","MIDEA","KFR-61GW/Y",2.56,2.31,6062.48
"168","Teco","LA2300Y",2.76,2.5,6552.2
"169","Haier","HW-09HA04",1.08,0.98,2566.84
"170","MIDEA","KFR-45GWY",1.7,2,4812.5
"171","HEC","HW-24H04",2.9,2.4,6501.7
"172","Haier","HW-12HA04",1.38,1.2,3191.7
"173","HEC","HW-18HA04",2.1,2.1,5319.3
"174","Haier","HW-12HA04",1.38,1.2,3191.7
"175","Haier","HW-24H04",2.9,2.4,6501.7
"179","LG","LWN2262RHG",2.63,2.3,6104.75
"180","LG","LWN2262CHG",2.63,2.3,6104.75
"183","COOLINE","HWL12EHA/KLE12BSTH",1.3,1.2,3124.1
"185","GREE","KFR-45GW/E",2.05,2.64,6188.57
"186","COOLINE","LHB15BRH",1.82,1.57,4188.06
"187","PANASONIC","CW-A241SR",3.15,2.8,7388.15
"188","PANASONIC","CS-A123KR/CU-A123KR",1.31,1.24,3200.07
"190","SHARP","AY-A244J/AE-A244J",2.93,2.95,7455.45
"195","PANASONIC","CW-A120AR",1.4,1.18,3174.84
"196","PANASONIC","CW-A90FR",1.14,1.07,2769.46
"197","COOLINE","HWL18EHA/KLE18BSRH",2,1.75,4644
"198","PANASONIC","CS-1270TR/CU-1270TR",1.3,1.4,3461.7
