"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH"
"1","MIDEA","KFR-61GW/Y",2.65,2.4,4390.9
"2","MIDEA","KFR-26GW/Y",0.93,0.9,1586.28
"3","MIDEA","KFR-70GW/Y",3.03,2.9,5142.88
"4","MIDEA","KFR-26GW/Y",0.93,0.89,1578.43
"6","HYUNDAI","WSH-188BA",1.9,1.88,3273.2
"7","DAIKIN","FTY60G***+ RY60G***",2.46,2.47,4266.11
"8","DAIKIN","FVY353C***+RY353***",1.63,1.51,2727.33
"10","DAIKIN","FVY453C***+RY453***",2.1,2.01,3564.45
"11","DAIKIN","FTY50G***+RY50G***",2.08,1.92,3474.88
"12","DAIKIN","FTX50H***+RX50H***",2.12,2.5,3968.02
"13","DAIKIN","FTX25Hxxx/RX25Hxxx",0.96,1.04,1724.56
"14","CHUNLAN","KFR-32GW",1.2,1.22,2092.9
"16","CHUNLAN","KFR-27GW",1.12,1.14,1954.42
"18","CHUNLAN","KFR-50GW",1.9,2,3367.4
"19","DAIKIN","FLX60J***/RXD60J***",1.99,2,3452.54
"20","CHUNLAN","KFR-35GW",1.28,1.33,2254.93
"21","DAIKIN","FTXD50J***/RXD50J***",1.73,1.91,3135.93
"23","DAIKIN","FTXD60J***/RXD60J***",2.21,2.12,3754.86
"24","SPLENDID","11-0HP",1.35,1.35,2336.85
"25","CHUNLAN","KFR-70GW",2.75,2.75,4760.25
"26","CHUNLAN","STARWAY",2.75,2.75,4760.25
"28","NEC","RH129",1.35,1.15,2179.85
"29","LG","LWC1262AHG",1.35,1.15,2179.85
"30","CHUNLAN","KFR-22GW",0.85,0.88,1494.9
"31","LG","LWC122RH-1",1.35,1.15,2179.85
"32","SHARP","AY-A249J/AE-A249J",3,3.05,5232.25
"33","SHARP","AY-A184J/AE-A184J",2.22,2.21,3834.97
"34","SHARP","AY-A099J/AE-A099J",0.98,0.93,1657.13
"36","CHUNLAN","KFR-60GW",2.48,2.35,4190.83
"38","FUJITSU","AST14RSH-W/AOT14RNA",1.7,1.8,3021.2
"39","MITSUBISHI ELECTRIC","MSH-07RV/MUH-07RV",0.75,0.72,1274.7
"41","MIDEA","KFR-26GW/I1Y",0.97,0.97,1679.07
"42","MITSUBISHI ELECTRIC","MCFH-13NV/MUCFH-13NV",1.42,1.25,2324.57
"46","EMAILAIR","MAY90RCE",1.01,0.93,1685.51
"47","EMAILAIR","ELECTRA KCR-25E",1.01,0.93,1685.51
"48","KIA","KSH-098BA",0.87,0.88,1513.82
"49","HISENSE","KFR-25GWE",1.04,1.33,2027.89
"50","LG","LWC0960AHG",1,0.92,1668.2
"51","LG","LSL1260NL",1.33,1.83,2694.73
"52","LG","LS-K2463HL",2.73,2.69,4694.23
"53","LG","LV-B2461HL",2.8,2.69,4760.45
"55","AIRTEMP","HAY212N6G",1.41,1.38,2417.16
"59","LG","LWC1260PHG",1.33,1.19,2192.33
"60","HYUNDAI","WSH-229BA",2.57,2.54,4425.12
"61","LG","LS-K2464HL",2.73,2.69,4694.23
"62","ELECTRA","WMN24RCB",2.45,2.45,4240.95
"63","ELECTRA","EMAILAIR WS/CWS066HB",2.45,2.45,4240.95
"67","ADSAKA","KFR-60GW",2.48,2.35,4190.83
"68","EMAILAIR","WS/CWS026HA",1,0.99,1723.15
"69","EMAILAIR","ELECTRA WMN9RCA",1,0.99,1723.15
"70","EMAILAIR","WS/CWS034HA",1.25,1.33,2226.55
"71","EMAILAIR","ELECTRA WMN12RCA",1.25,1.33,2226.55
"72","AIRWELL","SX18RC",2.3,2.13,3847.85
"73","ADSAKA","KFR-50GW",1.9,2,3367.4
"74","AIRWELL","SX24RC",2.71,2.49,4518.31
