"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH"
"1","MIDEA","KFR-61GW/Y",2.65,2.4,9686.4
"2","MIDEA","KFR-26GW/Y",0.93,0.9,3439.62
"3","MIDEA","KFR-70GW/Y",3.03,2.9,11184.02
"4","MIDEA","KFR-26GW/Y",0.93,0.89,3432.65
"6","HYUNDAI","WSH-188BA",1.9,1.88,7055.96
"7","DAIKIN","FTY60G***+ RY60G***",2.46,2.47,9160.63
"8","DAIKIN","FVY353C***+RY353***",1.63,1.51,5981.59
"10","DAIKIN","FVY453C***+RY453***",2.1,2.01,7751.37
"11","DAIKIN","FTY50G***+RY50G***",2.08,1.92,7628.16
"12","DAIKIN","FTX50H***+RX50H***",2.12,2.5,8153.38
"13","DAIKIN","FTX25Hxxx/RX25Hxxx",0.96,1.04,3627.92
"14","CHUNLAN","KFR-32GW",1.2,1.22,4479.14
"16","CHUNLAN","KFR-27GW",1.12,1.14,4181.46
"18","CHUNLAN","KFR-50GW",1.9,2,7139.6
"19","DAIKIN","FLX60J***/RXD60J***",1.99,2,7411.76
"20","CHUNLAN","KFR-35GW",1.28,1.33,4797.73
"21","DAIKIN","FTXD50J***/RXD50J***",1.73,1.91,6562.79
"23","DAIKIN","FTXD60J***/RXD60J***",2.21,2.12,8160.68
"24","SPLENDID","11-0HP",1.35,1.35,5023.35
"25","CHUNLAN","KFR-70GW",2.75,2.75,10232.75
"26","CHUNLAN","STARWAY",2.75,2.75,10232.75
"28","NEC","RH129",1.35,1.15,4883.95
"29","LG","LWC1262AHG",1.35,1.15,4883.95
"30","CHUNLAN","KFR-22GW",0.85,0.88,3183.76
"31","LG","LWC122RH-1",1.35,1.15,4883.95
"32","SHARP","AY-A249J/AE-A249J",3,3.05,11197.85
"33","SHARP","AY-A184J/AE-A184J",2.22,2.21,8253.65
"34","SHARP","AY-A099J/AE-A099J",0.98,0.93,3611.73
"36","CHUNLAN","KFR-60GW",2.48,2.35,9137.47
"38","FUJITSU","AST14RSH-W/AOT14RNA",1.7,1.8,6395.4
"39","MITSUBISHI ELECTRIC","MSH-07RV/MUH-07RV",0.75,0.72,2769.84
"41","MIDEA","KFR-26GW/I1Y",0.97,0.97,3609.37
"42","MITSUBISHI ELECTRIC","MCFH-13NV/MUCFH-13NV",1.42,1.25,5165.33
"46","EMAILAIR","MAY90RCE",1.01,0.93,3702.45
"47","EMAILAIR","ELECTRA KCR-25E",1.01,0.93,3702.45
"48","KIA","KSH-098BA",0.87,0.88,3244.24
"49","HISENSE","KFR-25GWE",1.04,1.33,4071.97
"50","LG","LWC0960AHG",1,0.92,3665.24
"51","LG","LSL1260NL",1.33,1.83,5297.43
"52","LG","LS-K2463HL",2.73,2.69,10130.45
"53","LG","LV-B2461HL",2.8,2.69,10342.13
"55","AIRTEMP","HAY212N6G",1.41,1.38,5225.7
"59","LG","LWC1260PHG",1.33,1.19,4851.35
"60","HYUNDAI","WSH-229BA",2.57,2.54,9542.06
"61","LG","LS-K2464HL",2.73,2.69,10130.45
"62","ELECTRA","WMN24RCB",2.45,2.45,9116.45
"63","ELECTRA","EMAILAIR WS/CWS066HB",2.45,2.45,9116.45
"67","ADSAKA","KFR-60GW",2.48,2.35,9137.47
"68","EMAILAIR","WS/CWS026HA",1,0.99,3714.03
"69","EMAILAIR","ELECTRA WMN9RCA",1,0.99,3714.03
"70","EMAILAIR","WS/CWS034HA",1.25,1.33,4707.01
"71","EMAILAIR","ELECTRA WMN12RCA",1.25,1.33,4707.01
"72","AIRWELL","SX18RC",2.3,2.13,8439.81
"73","ADSAKA","KFR-50GW",1.9,2,7139.6
"74","AIRWELL","SX24RC",2.71,2.49,9930.57
"75","TOSHIBA","RAS-10YKH-E / 10YAH-E",1.02,0.95,3746.63
"76","TOSHIBA","RAS-24UKH-E / 24UAH-EA",2.6,2.59,9667.63
"77","TOSHIBA","RAS-18UKH-E / 18UAH-EA",2.04,2,7562.96
"83","FUJITSU GENERAL","AUT25RLC-W/AOT25RZCL",2.8,2.6,10279.4
"84","FUJITSU GENERAL","ABT18RGA-W/AOT18RZAL",2.24,2.12,8251.4
"87","FUJITSU GENERAL","ART25RLA/AOT25RZAL",2.86,2.65,10495.69
"90","FUJITSU GENERAL","AUT18RGA/AOT18RZCL",2.01,2.01,7479.21
"92","MIDEA","KFR-23GW/I1Y",0.88,0.93,3309.33
"93","MIDEA","KFR-53GW/Y",2,1.92,7386.24
"94","MIDEA","KFR-36GWY",1.5,1.65,5686.05
"99","AIRTEMP","HAY318N6G",2.08,2.09,7746.65
"100","AIRTEMP","HAY109N6G",1.07,1.07,3981.47
"101","AIRTEMP","HAE418N6E/HAC418N6G",2.08,1.9,7614.22
"102","AIRTEMP","HAE109N6E/HAC109N6B",0.93,0.93,3460.53
"104","FUJITSU","AST20RGA-W/AOT20RZAL",2.28,1.96,8260.84
"105","MITSUBISHI ELECTRIC","MWH-17KV",2.8,2.6,10279.4
"112","MITSUBISHI ELECTRIC","MSH-24RV/MUH-24RV",2.73,2.69,10130.45
"114","FUJITSU","AST7RSCCW/AOT7RSCC",0.77,0.72,2830.32
"115","GENERAL ELECTRIC","ASIAH18EWI",1.84,1.87,6867.55
"116","MITSUBISHI ELECTRIC","MWH-12KV",1.72,1.56,6288.6
"117","MITSUBISHI ELECTRIC","MSZ-G12SV/MUZ-G12SV",1.36,1.63,5248.75
"119","HOTPOINT","HPS 125R",1.1,1.07,4072.19
"120","FUJITSU GENERAL","AST24RGB-W/AOT24RNAL/AOT24RNCLST24RGB-W/A",2.61,2.7,9774.54
"122","MITSUBISHI ELECTRIC","MSH-12RV/MUH-12RV",1.32,1.4,4967.48
"124","MITSUBISHI ELECTRIC","MSH-09RV/MUH-09RV",0.95,0.97,3548.89
"125","AIRTEMP","HAY107N6G",0.82,0.82,3051.22
"127","MITSUBISHI ELECTRIC","MWH-08MV",1.02,0.87,3690.87
"128","MHI","SRT403HENF-L",1.38,1.39,5141.95
"132","CARRIER","53G150H",1.32,1.35,4932.63
"137","CARRIER","53G225H",1.88,1.8,6939.72
"138","CARRIER","53G100H",0.96,0.96,3572.16
"141","HEC","HSU-09HEO4",1.02,1.16,3893
"142","MHI","SRK561HENF-A",2.18,2.18,8111.78
"143","MHI","SRK388HENF-A",1.32,1.33,4918.69
"144","MHI","SRK408HENF-A",1.51,1.54,5639.62
"145","MHI","SRK288HENF-A",1.07,0.91,3869.95
"146","MHI","SRK458HENF-A",1.7,1.84,6423.28
"147","MHI","FDKN208H",1.8,1.82,6711.74
"148","MHI","FDKN308H",3.08,2.83,11286.43
"150","MHI","SRK502Z-L",2.22,2.5,8455.78
"151","MHI","FDKN258H",2.11,2.08,7830.4
"153","MHI","SRK208HENF-A",0.77,0.71,2823.35
"154","HISENSE","KFR-4001GW/BPE",1.53,2.05,6055.57
