"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH"
"1","MIDEA","KFR-61GW/Y",2.65,2.4,4687.45
"2","MIDEA","KFR-26GW/Y",0.93,0.9,1724.07
"3","MIDEA","KFR-70GW/Y",3.03,2.9,5572.97
"4","MIDEA","KFR-26GW/Y",0.93,0.89,1710.38
"6","HYUNDAI","WSH-188BA",1.9,1.88,3578.82
"7","DAIKIN","FTY60G***+ RY60G***",2.46,2.47,4682.77
"8","DAIKIN","FVY353C***+RY353***",1.63,1.51,2929.46
"10","DAIKIN","FVY453C***+RY453***",2.1,2.01,3862.59
"11","DAIKIN","FTY50G***+RY50G***",2.08,1.92,3728.8
"12","DAIKIN","FTX50H***+RX50H***",2.12,2.5,4543.98
"13","DAIKIN","FTX25Hxxx/RX25Hxxx",0.96,1.04,1931.6
"14","CHUNLAN","KFR-32GW",1.2,1.22,2304.98
"16","CHUNLAN","KFR-27GW",1.12,1.14,2153.14
"18","CHUNLAN","KFR-50GW",1.9,2,3743.1
"19","DAIKIN","FLX60J***/RXD60J***",1.99,2,3790.71
"20","CHUNLAN","KFR-35GW",1.28,1.33,2497.89
"21","DAIKIN","FTXD50J***/RXD50J***",1.73,1.91,3529.96
"23","DAIKIN","FTXD60J***/RXD60J***",2.21,2.12,4071.37
"24","SPLENDID","11-0HP",1.35,1.35,2562.3
"25","CHUNLAN","KFR-70GW",2.75,2.75,5219.5
"26","CHUNLAN","STARWAY",2.75,2.75,5219.5
"28","NEC","RH129",1.35,1.15,2288.5
"29","LG","LWC1262AHG",1.35,1.15,2288.5
"30","CHUNLAN","KFR-22GW",0.85,0.88,1654.37
"31","LG","LWC122RH-1",1.35,1.15,2288.5
"32","SHARP","AY-A249J/AE-A249J",3,3.05,5762.45
"33","SHARP","AY-A184J/AE-A184J",2.22,2.21,4199.87
"34","SHARP","AY-A099J/AE-A099J",0.98,0.93,1791.59
"36","CHUNLAN","KFR-60GW",2.48,2.35,4529.07
"38","FUJITSU","AST14RSH-W/AOT14RNA",1.7,1.8,3363.5
"39","MITSUBISHI ELECTRIC","MSH-07RV/MUH-07RV",0.75,0.72,1382.43
"41","MIDEA","KFR-26GW/I1Y",0.97,0.97,1841.06
"42","MITSUBISHI ELECTRIC","MCFH-13NV/MUCFH-13NV",1.42,1.25,2462.43
"46","EMAILAIR","MAY90RCE",1.01,0.93,1807.46
"47","EMAILAIR","ELECTRA KCR-25E",1.01,0.93,1807.46
"48","KIA","KSH-098BA",0.87,0.88,1664.95
"49","HISENSE","KFR-25GWE",1.04,1.33,2370.93
"50","LG","LWC0960AHG",1,0.92,1788.48
"51","LG","LSL1260NL",1.33,1.83,3208.84
"52","LG","LS-K2463HL",2.73,2.69,5126.78
"53","LG","LV-B2461HL",2.8,2.69,5163.81
"55","AIRTEMP","HAY212N6G",1.41,1.38,2635.11
"59","LG","LWC1260PHG",1.33,1.19,2332.68
"60","HYUNDAI","WSH-229BA",2.57,2.54,4836.79
"61","LG","LS-K2464HL",2.73,2.69,5126.78
"62","ELECTRA","WMN24RCB",2.45,2.45,4650.1
"63","ELECTRA","EMAILAIR WS/CWS066HB",2.45,2.45,4650.1
"67","ADSAKA","KFR-60GW",2.48,2.35,4529.07
"68","EMAILAIR","WS/CWS026HA",1,0.99,1884.31
"69","EMAILAIR","ELECTRA WMN9RCA",1,0.99,1884.31
"70","EMAILAIR","WS/CWS034HA",1.25,1.33,2482.02
"71","EMAILAIR","ELECTRA WMN12RCA",1.25,1.33,2482.02
"72","AIRWELL","SX18RC",2.3,2.13,4132.67
"73","ADSAKA","KFR-50GW",1.9,2,3743.1
"74","AIRWELL","SX24RC",2.71,2.49,4842.4
"75","TOSHIBA","RAS-10YKH-E / 10YAH-E",1.02,0.95,1840.13
"76","TOSHIBA","RAS-24UKH-E / 24UAH-EA",2.6,2.59,4921.11
