"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH"
"1","MIDEA","KFR-61GW/Y",2.65,2.4,10644.4
"2","MIDEA","KFR-26GW/Y",0.93,0.9,3796.32
"3","MIDEA","KFR-70GW/Y",3.03,2.9,12334.72
"4","MIDEA","KFR-26GW/Y",0.93,0.89,3785.8
"6","HYUNDAI","WSH-188BA",1.9,1.88,7799.36
"7","DAIKIN","FTY60G***+ RY60G***",2.46,2.47,10135.88
"8","DAIKIN","FVY353C***+RY353***",1.63,1.51,6582.84
"10","DAIKIN","FVY453C***+RY453***",2.1,2.01,8548.92
"11","DAIKIN","FTY50G***+RY50G***",2.08,1.92,8392.96
"12","DAIKIN","FTX50H***+RX50H***",2.12,2.5,9125.68
"13","DAIKIN","FTX25Hxxx/RX25Hxxx",0.96,1.04,4035.52
"14","CHUNLAN","KFR-32GW",1.2,1.22,4960.24
"16","CHUNLAN","KFR-27GW",1.12,1.14,4630.96
"18","CHUNLAN","KFR-50GW",1.9,2,7925.6
"19","DAIKIN","FLX60J***/RXD60J***",1.99,2,8201.36
"20","CHUNLAN","KFR-35GW",1.28,1.33,5321.08
"21","DAIKIN","FTXD50J***/RXD50J***",1.73,1.91,7310.04
"23","DAIKIN","FTXD60J***/RXD60J***",2.21,2.12,9001.68
"24","SPLENDID","11-0HP",1.35,1.35,5556.6
"25","CHUNLAN","KFR-70GW",2.75,2.75,11319
"26","CHUNLAN","STARWAY",2.75,2.75,11319
"28","NEC","RH129",1.35,1.15,5346.2
"29","LG","LWC1262AHG",1.35,1.15,5346.2
"30","CHUNLAN","KFR-22GW",0.85,0.88,3530.16
"31","LG","LWC122RH-1",1.35,1.15,5346.2
"32","SHARP","AY-A249J/AE-A249J",3,3.05,12400.6
"33","SHARP","AY-A184J/AE-A184J",2.22,2.21,9127
"34","SHARP","AY-A099J/AE-A099J",0.98,0.93,3981.08
"36","CHUNLAN","KFR-60GW",2.48,2.35,10070.92
"38","FUJITSU","AST14RSH-W/AOT14RNA",1.7,1.8,7102.4
"39","MITSUBISHI ELECTRIC","MSH-07RV/MUH-07RV",0.75,0.72,3055.44
"41","MIDEA","KFR-26GW/I1Y",0.97,0.97,3992.52
"42","MITSUBISHI ELECTRIC","MCFH-13NV/MUCFH-13NV",1.42,1.25,5665.88
"46","EMAILAIR","MAY90RCE",1.01,0.93,4073
"47","EMAILAIR","ELECTRA KCR-25E",1.01,0.93,4073
"48","KIA","KSH-098BA",0.87,0.88,3591.44
"49","HISENSE","KFR-25GWE",1.04,1.33,4585.72
"50","LG","LWC0960AHG",1,0.92,4031.84
"51","LG","LSL1260NL",1.33,1.83,6000.28
"52","LG","LS-K2463HL",2.73,2.69,11194.6
"53","LG","LV-B2461HL",2.8,2.69,11409.08
"55","AIRTEMP","HAY212N6G",1.41,1.38,5772
"59","LG","LWC1260PHG",1.33,1.19,5327
"60","HYUNDAI","WSH-229BA",2.57,2.54,10546.56
"61","LG","LS-K2464HL",2.73,2.69,11194.6
"62","ELECTRA","WMN24RCB",2.45,2.45,10084.2
"63","ELECTRA","EMAILAIR WS/CWS066HB",2.45,2.45,10084.2
"67","ADSAKA","KFR-60GW",2.48,2.35,10070.92
"68","EMAILAIR","WS/CWS026HA",1,0.99,4105.48
"69","EMAILAIR","ELECTRA WMN9RCA",1,0.99,4105.48
"70","EMAILAIR","WS/CWS034HA",1.25,1.33,5229.16
"71","EMAILAIR","ELECTRA WMN12RCA",1.25,1.33,5229.16
"72","AIRWELL","SX18RC",2.3,2.13,9287.96
"73","ADSAKA","KFR-50GW",1.9,2,7925.6
"74","AIRWELL","SX24RC",2.71,2.49,10922.92
"75","TOSHIBA","RAS-10YKH-E / 10YAH-E",1.02,0.95,4124.68
"76","TOSHIBA","RAS-24UKH-E / 24UAH-EA",2.6,2.59,10691.08
"77","TOSHIBA","RAS-18UKH-E / 18UAH-EA",2.04,2,8354.56
"83","FUJITSU GENERAL","AUT25RLC-W/AOT25RZCL",2.8,2.6,11314.4
"84","FUJITSU GENERAL","ABT18RGA-W/AOT18RZAL",2.24,2.12,9093.6
"87","FUJITSU GENERAL","ART25RLA/AOT25RZAL",2.86,2.65,11550.84
"90","FUJITSU GENERAL","AUT18RGA/AOT18RZCL",2.01,2.01,8273.16
"92","MIDEA","KFR-23GW/I1Y",0.88,0.93,3674.68
"93","MIDEA","KFR-53GW/Y",2,1.92,8147.84
"94","MIDEA","KFR-36GWY",1.5,1.65,6331.8
"99","AIRTEMP","HAY318N6G",2.08,2.09,8571.8
"100","AIRTEMP","HAY109N6G",1.07,1.07,4404.12
"101","AIRTEMP","HAE418N6E/HAC418N6G",2.08,1.9,8371.92
"102","AIRTEMP","HAE109N6E/HAC109N6B",0.93,0.93,3827.88
"104","FUJITSU","AST20RGA-W/AOT20RZAL",2.28,1.96,9047.84
"105","MITSUBISHI ELECTRIC","MWH-17KV",2.8,2.6,11314.4
"112","MITSUBISHI ELECTRIC","MSH-24RV/MUH-24RV",2.73,2.69,11194.6
"114","FUJITSU","AST7RSCCW/AOT7RSCC",0.77,0.72,3116.72
"115","GENERAL ELECTRIC","ASIAH18EWI",1.84,1.87,7605
"116","MITSUBISHI ELECTRIC","MWH-12KV",1.72,1.56,6911.2
"117","MITSUBISHI ELECTRIC","MSZ-G12SV/MUZ-G12SV",1.36,1.63,5881.8
"119","HOTPOINT","HPS 125R",1.1,1.07,4496.04
"120","FUJITSU GENERAL","AST24RGB-W/AOT24RNAL/AOT24RNCLST24RGB-W/A",2.61,2.7,10837.44
"122","MITSUBISHI ELECTRIC","MSH-12RV/MUH-12RV",1.32,1.4,5517.28
"124","MITSUBISHI ELECTRIC","MSH-09RV/MUH-09RV",0.95,0.97,3931.24
"125","AIRTEMP","HAY107N6G",0.82,0.82,3375.12
"127","MITSUBISHI ELECTRIC","MWH-08MV",1.02,0.87,4040.52
"128","MHI","SRT403HENF-L",1.38,1.39,5690.6
"132","CARRIER","53G150H",1.32,1.35,5464.68
"137","CARRIER","53G225H",1.88,1.8,7653.92
"138","CARRIER","53G100H",0.96,0.96,3951.36
"141","HEC","HSU-09HEO4",1.02,1.16,4345.6
"142","MHI","SRK561HENF-A",2.18,2.18,8972.88
"143","MHI","SRK388HENF-A",1.32,1.33,5443.64
"144","MHI","SRK408HENF-A",1.51,1.54,6246.72
"145","MHI","SRK288HENF-A",1.07,0.91,4235.8
"146","MHI","SRK458HENF-A",1.7,1.84,7144.48
"147","MHI","FDKN208H",1.8,1.82,7429.84
"148","MHI","FDKN308H",3.08,2.83,12414.28
"150","MHI","SRK502Z-L",2.22,2.5,9432.08
"151","MHI","FDKN258H",2.11,2.08,8653.2
"153","MHI","SRK208HENF-A",0.77,0.71,3106.2
"154","HISENSE","KFR-4001GW/BPE",1.53,2.05,6844.52
