"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH"
"1","MIDEA","KFR-61GW/Y",2.65,2.4,8571
"2","MIDEA","KFR-26GW/Y",0.93,0.9,3008.34
"3","MIDEA","KFR-70GW/Y",3.03,2.9,9801.14
"4","MIDEA","KFR-26GW/Y",0.93,0.89,3008.27
"6","HYUNDAI","WSH-188BA",1.9,1.88,6146.36
"7","DAIKIN","FTY60G***+ RY60G***",2.46,2.47,7958.17
"8","DAIKIN","FVY353C***+RY353***",1.63,1.51,5272.21
"10","DAIKIN","FVY453C***+RY453***",2.1,2.01,6792.87
"11","DAIKIN","FTY50G***+RY50G***",2.08,1.92,6727.68
"12","DAIKIN","FTX50H***+RX50H***",2.12,2.5,6860.86
"13","DAIKIN","FTX25Hxxx/RX25Hxxx",0.96,1.04,3106.16
"14","CHUNLAN","KFR-32GW",1.2,1.22,3882.14
"16","CHUNLAN","KFR-27GW",1.12,1.14,3623.34
"18","CHUNLAN","KFR-50GW",1.9,2,6147.2
"19","DAIKIN","FLX60J***/RXD60J***",1.99,2,6437.72
"20","CHUNLAN","KFR-35GW",1.28,1.33,4141.15
"21","DAIKIN","FTXD50J***/RXD50J***",1.73,1.91,5597.81
"23","DAIKIN","FTXD60J***/RXD60J***",2.21,2.12,7148.72
"24","SPLENDID","11-0HP",1.35,1.35,4367.25
"25","CHUNLAN","KFR-70GW",2.75,2.75,8896.25
"26","CHUNLAN","STARWAY",2.75,2.75,8896.25
"28","NEC","RH129",1.35,1.15,4365.85
"29","LG","LWC1262AHG",1.35,1.15,4365.85
"30","CHUNLAN","KFR-22GW",0.85,0.88,2749.96
"31","LG","LWC122RH-1",1.35,1.15,4365.85
"32","SHARP","AY-A249J/AE-A249J",3,3.05,9705.35
"33","SHARP","AY-A184J/AE-A184J",2.22,2.21,7181.63
"34","SHARP","AY-A099J/AE-A099J",0.98,0.93,3169.95
"36","CHUNLAN","KFR-60GW",2.48,2.35,8021.89
"38","FUJITSU","AST14RSH-W/AOT14RNA",1.7,1.8,5500.2
"39","MITSUBISHI ELECTRIC","MSH-07RV/MUH-07RV",0.75,0.72,2426.04
"41","MIDEA","KFR-26GW/I1Y",0.97,0.97,3137.95
"42","MITSUBISHI ELECTRIC","MCFH-13NV/MUCFH-13NV",1.42,1.25,4592.51
"46","EMAILAIR","MAY90RCE",1.01,0.93,3266.79
"47","EMAILAIR","ELECTRA KCR-25E",1.01,0.93,3266.79
"48","KIA","KSH-098BA",0.87,0.88,2814.52
"49","HISENSE","KFR-25GWE",1.04,1.33,3366.43
"50","LG","LWC0960AHG",1,0.92,3234.44
"51","LG","LSL1260NL",1.33,1.83,4306.05
"52","LG","LS-K2463HL",2.73,2.69,8831.27
"53","LG","LV-B2461HL",2.8,2.69,9057.23
"55","AIRTEMP","HAY212N6G",1.41,1.38,4561.14
"59","LG","LWC1260PHG",1.33,1.19,4301.57
"60","HYUNDAI","WSH-229BA",2.57,2.54,8313.74
"61","LG","LS-K2464HL",2.73,2.69,8831.27
"62","ELECTRA","WMN24RCB",2.45,2.45,7925.75
"63","ELECTRA","EMAILAIR WS/CWS066HB",2.45,2.45,7925.75
"67","ADSAKA","KFR-60GW",2.48,2.35,8021.89
"68","EMAILAIR","WS/CWS026HA",1,0.99,3234.93
"69","EMAILAIR","ELECTRA WMN9RCA",1,0.99,3234.93
"70","EMAILAIR","WS/CWS034HA",1.25,1.33,4044.31
"71","EMAILAIR","ELECTRA WMN12RCA",1.25,1.33,4044.31
"72","AIRWELL","SX18RC",2.3,2.13,7439.31
"73","ADSAKA","KFR-50GW",1.9,2,6147.2
"74","AIRWELL","SX24RC",2.71,2.49,8765.31
"75","TOSHIBA","RAS-10YKH-E / 10YAH-E",1.02,0.95,3299.21
"76","TOSHIBA","RAS-24UKH-E / 24UAH-EA",2.6,2.59,8410.93
"77","TOSHIBA","RAS-18UKH-E / 18UAH-EA",2.04,2,6599.12
"83","FUJITSU GENERAL","AUT25RLC-W/AOT25RZCL",2.8,2.6,9056.6
"84","FUJITSU GENERAL","ABT18RGA-W/AOT18RZAL",2.24,2.12,7245.56
"87","FUJITSU GENERAL","ART25RLA/AOT25RZAL",2.86,2.65,9250.63
"90","FUJITSU GENERAL","AUT18RGA/AOT18RZCL",2.01,2.01,6502.35
"92","MIDEA","KFR-23GW/I1Y",0.88,0.93,2847.15
"93","MIDEA","KFR-53GW/Y",2,1.92,6469.44
"94","MIDEA","KFR-36GWY",1.5,1.65,4853.55
"99","AIRTEMP","HAY318N6G",2.08,2.09,6728.87
"100","AIRTEMP","HAY109N6G",1.07,1.07,3461.45
"101","AIRTEMP","HAE418N6E/HAC418N6G",2.08,1.9,6727.54
"102","AIRTEMP","HAE109N6E/HAC109N6B",0.93,0.93,3008.55
"104","FUJITSU","AST20RGA-W/AOT20RZAL",2.28,1.96,7373.56
"105","MITSUBISHI ELECTRIC","MWH-17KV",2.8,2.6,9056.6
"112","MITSUBISHI ELECTRIC","MSH-24RV/MUH-24RV",2.73,2.69,8831.27
"114","FUJITSU","AST7RSCCW/AOT7RSCC",0.77,0.72,2490.6
"115","GENERAL ELECTRIC","ASIAH18EWI",1.84,1.87,5952.61
"116","MITSUBISHI ELECTRIC","MWH-12KV",1.72,1.56,5563.08
"117","MITSUBISHI ELECTRIC","MSZ-G12SV/MUZ-G12SV",1.36,1.63,4401.49
"119","HOTPOINT","HPS 125R",1.1,1.07,3558.29
"120","FUJITSU GENERAL","AST24RGB-W/AOT24RNAL/AOT24RNCLST24RGB-W/A",2.61,2.7,8443.98
"122","MITSUBISHI ELECTRIC","MSH-12RV/MUH-12RV",1.32,1.4,4270.76
"124","MITSUBISHI ELECTRIC","MSH-09RV/MUH-09RV",0.95,0.97,3073.39
"125","AIRTEMP","HAY107N6G",0.82,0.82,2652.7
"127","MITSUBISHI ELECTRIC","MWH-08MV",1.02,0.87,3298.65
"128","MHI","SRT403HENF-L",1.38,1.39,4464.37
"132","CARRIER","53G150H",1.32,1.35,4270.41
"137","CARRIER","53G225H",1.88,1.8,6081.24
"138","CARRIER","53G100H",0.96,0.96,3105.6
"141","HEC","HSU-09HEO4",1.02,1.16,3300.68
"142","MHI","SRK561HENF-A",2.18,2.18,7052.3
"143","MHI","SRK388HENF-A",1.32,1.33,4270.27
"144","MHI","SRK408HENF-A",1.51,1.54,4885.06
"145","MHI","SRK288HENF-A",1.07,0.91,3460.33
"146","MHI","SRK458HENF-A",1.7,1.84,5500.48
"147","MHI","FDKN208H",1.8,1.82,5823.14
"148","MHI","FDKN308H",3.08,2.83,9962.05
"150","MHI","SRK502Z-L",2.22,2.5,7183.66
"151","MHI","FDKN258H",2.11,2.08,6825.64
"153","MHI","SRK208HENF-A",0.77,0.71,2490.53
"154","HISENSE","KFR-4001GW/BPE",1.53,2.05,4953.19
"156","HISENSE","KFR-2601GW/BPE",0.96,1.4,3108.68
"157","TEMPERZONE","ISY26R/OSY26R",0.93,0.93,3008.55
"158","TEMPERZONE","ISY60R2 / OSY60R2",2.76,2.56,8927.2
"159","GENERAL ELECTRIC","AYIAH12EWI",1.35,1.45,4367.95
"160","GENERAL ELECTRIC","AYIAH09DWI",1.12,1.15,3623.41
"161","Haier","HSU-12H104",1.35,1.33,4367.11
"162","TEMPERZONE","ISY34/OSY34R",1.26,1.26,4076.1
"164","HEC","HW-09HA04",1.08,0.98,3493.1
"165","GENERAL ELECTRIC","ASIAH24EWI",2.33,2.45,7538.39
"167","MIDEA","KFR-61GW/Y",2.56,2.31,8279.85
"168","Teco","LA2300Y",2.76,2.5,8926.78
"169","Haier","HW-09HA04",1.08,0.98,3493.1
"170","MIDEA","KFR-45GWY",1.7,2,5501.6
"171","HEC","HW-24H04",2.9,2.4,9378
"172","Haier","HW-12HA04",1.38,1.2,4463.04
"173","HEC","HW-18HA04",2.1,2.1,6793.5
"174","Haier","HW-12HA04",1.38,1.2,4463.04
"175","Haier","HW-24H04",2.9,2.4,9378
"179","LG","LWN2262RHG",2.63,2.3,8505.74
"180","LG","LWN2262CHG",2.63,2.3,8505.74
"183","COOLINE","HWL12EHA/KLE12BSTH",1.3,1.2,4204.8
"185","GREE","KFR-45GW/E",2.05,2.64,6635.88
"186","COOLINE","LHB15BRH",1.82,1.57,5885.95
"187","PANASONIC","CW-A241SR",3.15,2.8,10187.8
"188","PANASONIC","CS-A123KR/CU-A123KR",1.31,1.24,4237.36
"190","SHARP","AY-A244J/AE-A244J",2.93,2.95,9478.69
"195","PANASONIC","CW-A120AR",1.4,1.18,4527.46
"196","PANASONIC","CW-A90FR",1.14,1.07,3687.41
"197","COOLINE","HWL18EHA/KLE18BSRH",2,1.75,6468.25
"198","PANASONIC","CS-1270TR/CU-1270TR",1.3,1.4,4206.2
"199","PANASONIC","CS-A181KR/CU-A181KR",2.19,2.28,7085.28
"200","COOLINE","LHB12BTH",1.44,1.17,4656.51
"201","PANASONIC","CS-A93KR/CU-A93KR",0.97,0.91,3137.53
