"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH"
"1","MIDEA","KFR-61GW/Y",2.65,2.4,6617.6
"2","MIDEA","KFR-26GW/Y",0.93,0.9,2461.2
"3","MIDEA","KFR-70GW/Y",3.03,2.9,7941.2
"4","MIDEA","KFR-26GW/Y",0.93,0.89,2437.16
"6","HYUNDAI","WSH-188BA",1.9,1.88,5127.52
"7","DAIKIN","FTY60G***+ RY60G***",2.46,2.47,6725.08
"8","DAIKIN","FVY353C***+RY353***",1.63,1.51,4151.64
"10","DAIKIN","FVY453C***+RY453***",2.1,2.01,5504.04
"11","DAIKIN","FTY50G***+RY50G***",2.08,1.92,5281.28
"12","DAIKIN","FTX50H***+RX50H***",2.12,2.5,6688.4
"13","DAIKIN","FTX25Hxxx/RX25Hxxx",0.96,1.04,2807.36
"14","CHUNLAN","KFR-32GW",1.2,1.22,3316.88
"16","CHUNLAN","KFR-27GW",1.12,1.14,3098.96
"18","CHUNLAN","KFR-50GW",1.9,2,5416
"19","DAIKIN","FLX60J***/RXD60J***",1.99,2,5444.8
"20","CHUNLAN","KFR-35GW",1.28,1.33,3606.92
"21","DAIKIN","FTXD50J***/RXD50J***",1.73,1.91,5145.24
"23","DAIKIN","FTXD60J***/RXD60J***",2.21,2.12,5803.68
"24","SPLENDID","11-0HP",1.35,1.35,3677.4
"25","CHUNLAN","KFR-70GW",2.75,2.75,7491
"26","CHUNLAN","STARWAY",2.75,2.75,7491
"28","NEC","RH129",1.35,1.15,3196.6
"29","LG","LWC1262AHG",1.35,1.15,3196.6
"30","CHUNLAN","KFR-22GW",0.85,0.88,2387.52
"31","LG","LWC122RH-1",1.35,1.15,3196.6
"32","SHARP","AY-A249J/AE-A249J",3,3.05,8292.2
"33","SHARP","AY-A184J/AE-A184J",2.22,2.21,6023.24
"34","SHARP","AY-A099J/AE-A099J",0.98,0.93,2549.32
"36","CHUNLAN","KFR-60GW",2.48,2.35,6443
"38","FUJITSU","AST14RSH-W/AOT14RNA",1.7,1.8,4871.2
"39","MITSUBISHI ELECTRIC","MSH-07RV/MUH-07RV",0.75,0.72,1970.88
"41","MIDEA","KFR-26GW/I1Y",0.97,0.97,2642.28
"42","MITSUBISHI ELECTRIC","MCFH-13NV/MUCFH-13NV",1.42,1.25,3459.4
"46","EMAILAIR","MAY90RCE",1.01,0.93,2558.92
"47","EMAILAIR","ELECTRA KCR-25E",1.01,0.93,2558.92
"48","KIA","KSH-098BA",0.87,0.88,2393.92
"49","HISENSE","KFR-25GWE",1.04,1.33,3530.12
"50","LG","LWC0960AHG",1,0.92,2531.68
"51","LG","LSL1260NL",1.33,1.83,4824.92
"52","LG","LS-K2463HL",2.73,2.69,7340.36
"53","LG","LV-B2461HL",2.8,2.69,7362.76
"55","AIRTEMP","HAY212N6G",1.41,1.38,3768.72
"59","LG","LWC1260PHG",1.33,1.19,3286.36
"60","HYUNDAI","WSH-229BA",2.57,2.54,6928.56
"61","LG","LS-K2464HL",2.73,2.69,7340.36
"62","ELECTRA","WMN24RCB",2.45,2.45,6673.8
