"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH"
"1","MIDEA","KFR-61GW/Y",2.65,2.4,3485.8
"2","MIDEA","KFR-26GW/Y",0.93,0.9,1264.08
"3","MIDEA","KFR-70GW/Y",3.03,2.9,4095.68
"4","MIDEA","KFR-26GW/Y",0.93,0.89,1257.02
"6","HYUNDAI","WSH-188BA",1.9,1.88,2611.68
"7","DAIKIN","FTY60G***+ RY60G***",2.46,2.47,3406.78
"8","DAIKIN","FVY353C***+RY353***",1.63,1.51,2167.94
"10","DAIKIN","FVY453C***+RY453***",2.1,2.01,2838.66
"11","DAIKIN","FTY50G***+RY50G***",2.08,1.92,2761.6
"12","DAIKIN","FTX50H***+RX50H***",2.12,2.5,3198.12
"13","DAIKIN","FTX25Hxxx/RX25Hxxx",0.96,1.04,1383.2
"14","CHUNLAN","KFR-32GW",1.2,1.22,1672.52
"16","CHUNLAN","KFR-27GW",1.12,1.14,1561.96
"18","CHUNLAN","KFR-50GW",1.9,2,2696.4
"19","DAIKIN","FLX60J***/RXD60J***",1.99,2,2757.24
"20","CHUNLAN","KFR-35GW",1.28,1.33,1804.26
"21","DAIKIN","FTXD50J***/RXD50J***",1.73,1.91,2517.94
"23","DAIKIN","FTXD60J***/RXD60J***",2.21,2.12,2990.68
"24","SPLENDID","11-0HP",1.35,1.35,1865.7
"25","CHUNLAN","KFR-70GW",2.75,2.75,3800.5
"26","CHUNLAN","STARWAY",2.75,2.75,3800.5
"28","NEC","RH129",1.35,1.15,1724.5
"29","LG","LWC1262AHG",1.35,1.15,1724.5
"30","CHUNLAN","KFR-22GW",0.85,0.88,1195.88
"31","LG","LWC122RH-1",1.35,1.15,1724.5
"32","SHARP","AY-A249J/AE-A249J",3,3.05,4181.3
"33","SHARP","AY-A184J/AE-A184J",2.22,2.21,3060.98
"34","SHARP","AY-A099J/AE-A099J",0.98,0.93,1319.06
"36","CHUNLAN","KFR-60GW",2.48,2.35,3335.58
"38","FUJITSU","AST14RSH-W/AOT14RNA",1.7,1.8,2420
"39","MITSUBISHI ELECTRIC","MSH-07RV/MUH-07RV",0.75,0.72,1015.32
"41","MIDEA","KFR-26GW/I1Y",0.97,0.97,1340.54
"42","MITSUBISHI ELECTRIC","MCFH-13NV/MUCFH-13NV",1.42,1.25,1842.42
"46","EMAILAIR","MAY90RCE",1.01,0.93,1339.34
"47","EMAILAIR","ELECTRA KCR-25E",1.01,0.93,1339.34
"48","KIA","KSH-098BA",0.87,0.88,1209.4
"49","HISENSE","KFR-25GWE",1.04,1.33,1642.02
"50","LG","LWC0960AHG",1,0.92,1325.52
"51","LG","LSL1260NL",1.33,1.83,2191.06
"52","LG","LS-K2463HL",2.73,2.69,3744.62
"53","LG","LV-B2461HL",2.8,2.69,3791.94
"55","AIRTEMP","HAY212N6G",1.41,1.38,1927.44
"59","LG","LWC1260PHG",1.33,1.19,1739.22
