"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH"
"1","MIDEA","KFR-61GW/Y",2.65,2.4,4981.2
"2","MIDEA","KFR-26GW/Y",0.93,0.9,1774.62
"3","MIDEA","KFR-70GW/Y",3.03,2.9,5767.02
"4","MIDEA","KFR-26GW/Y",0.93,0.89,1770.03
"6","HYUNDAI","WSH-188BA",1.9,1.88,3644.52
"7","DAIKIN","FTY60G***+ RY60G***",2.46,2.47,4735.17
"8","DAIKIN","FVY353C***+RY353***",1.63,1.51,3079.41
"10","DAIKIN","FVY453C***+RY453***",2.1,2.01,3996.99
"11","DAIKIN","FTY50G***+RY50G***",2.08,1.92,3926.4
"12","DAIKIN","FTX50H***+RX50H***",2.12,2.5,4251.18
"13","DAIKIN","FTX25Hxxx/RX25Hxxx",0.96,1.04,1882.8
"14","CHUNLAN","KFR-32GW",1.2,1.22,2316.78
"16","CHUNLAN","KFR-27GW",1.12,1.14,2162.94
"18","CHUNLAN","KFR-50GW",1.9,2,3699.6
"19","DAIKIN","FLX60J***/RXD60J***",1.99,2,3831.36
"20","CHUNLAN","KFR-35GW",1.28,1.33,2484.39
"21","DAIKIN","FTXD50J***/RXD50J***",1.73,1.91,3409.41
"23","DAIKIN","FTXD60J***/RXD60J***",2.21,2.12,4208.52
"24","SPLENDID","11-0HP",1.35,1.35,2596.05
"25","CHUNLAN","KFR-70GW",2.75,2.75,5288.25
"26","CHUNLAN","STARWAY",2.75,2.75,5288.25
"28","NEC","RH129",1.35,1.15,2504.25
"29","LG","LWC1262AHG",1.35,1.15,2504.25
"30","CHUNLAN","KFR-22GW",0.85,0.88,1648.32
"31","LG","LWC122RH-1",1.35,1.15,2504.25
"32","SHARP","AY-A249J/AE-A249J",3,3.05,5791.95
"33","SHARP","AY-A184J/AE-A184J",2.22,2.21,4264.47
"34","SHARP","AY-A099J/AE-A099J",0.98,0.93,1861.59
"36","CHUNLAN","KFR-60GW",2.48,2.35,4709.37
"38","FUJITSU","AST14RSH-W/AOT14RNA",1.7,1.8,3315
"39","MITSUBISHI ELECTRIC","MSH-07RV/MUH-07RV",0.75,0.72,1428.48
"41","MIDEA","KFR-26GW/I1Y",0.97,0.97,1865.31
"42","MITSUBISHI ELECTRIC","MCFH-13NV/MUCFH-13NV",1.42,1.25,2652.63
"46","EMAILAIR","MAY90RCE",1.01,0.93,1905.51
"47","EMAILAIR","ELECTRA KCR-25E",1.01,0.93,1905.51
"48","KIA","KSH-098BA",0.87,0.88,1677.6
"49","HISENSE","KFR-25GWE",1.04,1.33,2133.03
"50","LG","LWC0960AHG",1,0.92,1886.28
"51","LG","LSL1260NL",1.33,1.83,2787.09
"52","LG","LS-K2463HL",2.73,2.69,5231.43
"53","LG","LV-B2461HL",2.8,2.69,5333.91
"55","AIRTEMP","HAY212N6G",1.41,1.38,2697.66
"59","LG","LWC1260PHG",1.33,1.19,2493.33
"60","HYUNDAI","WSH-229BA",2.57,2.54,4928.34
"61","LG","LS-K2464HL",2.73,2.69,5231.43
"62","ELECTRA","WMN24RCB",2.45,2.45,4711.35
"63","ELECTRA","EMAILAIR WS/CWS066HB",2.45,2.45,4711.35
"67","ADSAKA","KFR-60GW",2.48,2.35,4709.37
"68","EMAILAIR","WS/CWS026HA",1,0.99,1918.41
"69","EMAILAIR","ELECTRA WMN9RCA",1,0.99,1918.41
"70","EMAILAIR","WS/CWS034HA",1.25,1.33,2440.47
"71","EMAILAIR","ELECTRA WMN12RCA",1.25,1.33,2440.47
"72","AIRWELL","SX18RC",2.3,2.13,4344.87
"73","ADSAKA","KFR-50GW",1.9,2,3699.6
"74","AIRWELL","SX24RC",2.71,2.49,5110.35
"75","TOSHIBA","RAS-10YKH-E / 10YAH-E",1.02,0.95,1929.33
"76","TOSHIBA","RAS-24UKH-E / 24UAH-EA",2.6,2.59,4995.21
"77","TOSHIBA","RAS-18UKH-E / 18UAH-EA",2.04,2,3904.56
"83","FUJITSU GENERAL","AUT25RLC-W/AOT25RZCL",2.8,2.6,5292.6
"84","FUJITSU GENERAL","ABT18RGA-W/AOT18RZAL",2.24,2.12,4252.44
"87","FUJITSU GENERAL","ART25RLA/AOT25RZAL",2.86,2.65,5403.39
"90","FUJITSU GENERAL","AUT18RGA/AOT18RZCL",2.01,2.01,3865.23
"92","MIDEA","KFR-23GW/I1Y",0.88,0.93,1715.19
"93","MIDEA","KFR-53GW/Y",2,1.92,3809.28
"94","MIDEA","KFR-36GWY",1.5,1.65,2953.35
"99","AIRTEMP","HAY318N6G",2.08,2.09,4004.43
"100","AIRTEMP","HAY109N6G",1.07,1.07,2057.61
"101","AIRTEMP","HAE418N6E/HAC418N6G",2.08,1.9,3917.22
"102","AIRTEMP","HAE109N6E/HAC109N6B",0.93,0.93,1788.39
"104","FUJITSU","AST20RGA-W/AOT20RZAL",2.28,1.96,4237.56
"105","MITSUBISHI ELECTRIC","MWH-17KV",2.8,2.6,5292.6
"112","MITSUBISHI ELECTRIC","MSH-24RV/MUH-24RV",2.73,2.69,5231.43
"114","FUJITSU","AST7RSCCW/AOT7RSCC",0.77,0.72,1457.76
"115","GENERAL ELECTRIC","ASIAH18EWI",1.84,1.87,3552.09
"116","MITSUBISHI ELECTRIC","MWH-12KV",1.72,1.56,3234.12
"117","MITSUBISHI ELECTRIC","MSZ-G12SV/MUZ-G12SV",1.36,1.63,2739.21
"119","HOTPOINT","HPS 125R",1.1,1.07,2101.53
"120","FUJITSU GENERAL","AST24RGB-W/AOT24RNAL/AOT24RNCLST24RGB-W/A",2.61,2.7,5060.34
"122","MITSUBISHI ELECTRIC","MSH-12RV/MUH-12RV",1.32,1.4,2575.08
"124","MITSUBISHI ELECTRIC","MSH-09RV/MUH-09RV",0.95,0.97,1836.03
"125","AIRTEMP","HAY107N6G",0.82,0.82,1576.86
"127","MITSUBISHI ELECTRIC","MWH-08MV",1.02,0.87,1892.61
"128","MHI","SRT403HENF-L",1.38,1.39,2658.33
"132","CARRIER","53G150H",1.32,1.35,2552.13
"137","CARRIER","53G225H",1.88,1.8,3578.52
"138","CARRIER","53G100H",0.96,0.96,1846.08
"141","HEC","HSU-09HEO4",1.02,1.16,2025.72
"142","MHI","SRK561HENF-A",2.18,2.18,4192.14
"143","MHI","SRK388HENF-A",1.32,1.33,2542.95
"144","MHI","SRK408HENF-A",1.51,1.54,2917.5
"145","MHI","SRK288HENF-A",1.07,0.91,1984.17
"146","MHI","SRK458HENF-A",1.7,1.84,3333.36
"147","MHI","FDKN208H",1.8,1.82,3470.58
"148","MHI","FDKN308H",3.08,2.83,5808.09
"150","MHI","SRK502Z-L",2.22,2.5,4397.58
"151","MHI","FDKN258H",2.11,2.08,4043.76
"153","MHI","SRK208HENF-A",0.77,0.71,1453.17
"154","HISENSE","KFR-4001GW/BPE",1.53,2.05,3180.87
"156","HISENSE","KFR-2601GW/BPE",0.96,1.4,2048.04
"157","TEMPERZONE","ISY26R/OSY26R",0.93,0.93,1788.39
"158","TEMPERZONE","ISY60R2 / OSY60R2",2.76,2.56,5215.68
"159","GENERAL ELECTRIC","AYIAH12EWI",1.35,1.45,2641.95
"160","GENERAL ELECTRIC","AYIAH09DWI",1.12,1.15,2167.53
"161","Haier","HSU-12H104",1.35,1.33,2586.87
"162","TEMPERZONE","ISY34/OSY34R",1.26,1.26,2422.98
"164","HEC","HW-09HA04",1.08,0.98,2030.94
"165","GENERAL ELECTRIC","ASIAH24EWI",2.33,2.45,4535.67
"167","MIDEA","KFR-61GW/Y",2.56,2.31,4808.13
"168","Teco","LA2300Y",2.76,2.5,5188.14
"169","Haier","HW-09HA04",1.08,0.98,2030.94
"170","MIDEA","KFR-45GWY",1.7,2,3406.8
"171","HEC","HW-24H04",2.9,2.4,5347.2
"172","Haier","HW-12HA04",1.38,1.2,2571.12
"173","HEC","HW-18HA04",2.1,2.1,4038.3
"174","Haier","HW-12HA04",1.38,1.2,2571.12
"175","Haier","HW-24H04",2.9,2.4,5347.2
"179","LG","LWN2262RHG",2.63,2.3,4906.02
"180","LG","LWN2262CHG",2.63,2.3,4906.02
"183","COOLINE","HWL12EHA/KLE12BSTH",1.3,1.2,2454
"185","GREE","KFR-45GW/E",2.05,2.64,4212.96
"186","COOLINE","LHB15BRH",1.82,1.57,3385.11
"187","PANASONIC","CW-A241SR",3.15,2.8,5896.8
"188","PANASONIC","CS-A123KR/CU-A123KR",1.31,1.24,2487
"190","SHARP","AY-A244J/AE-A244J",2.93,2.95,5643.57
"195","PANASONIC","CW-A120AR",1.4,1.18,2591.22
"196","PANASONIC","CW-A90FR",1.14,1.07,2160.09
"197","COOLINE","HWL18EHA/KLE18BSRH",2,1.75,3731.25
"198","PANASONIC","CS-1270TR/CU-1270TR",1.3,1.4,2545.8
"199","PANASONIC","CS-A181KR/CU-A181KR",2.19,2.28,4252.68
"200","COOLINE","LHB12BTH",1.44,1.17,2645.19
"201","PANASONIC","CS-A93KR/CU-A93KR",0.97,0.91,1837.77
"202","ACSON","WM20FR/LC20BR",2.1,1.7,3854.7
"203","PANASONIC","CS-A120KR/CU-A120KR",1.3,1.28,2490.72
"205","PANASONIC","CS-2470TR/CU-2470TR",2.95,2.79,5599.41
"206","PANASONIC","CW-A90AR",1.03,0.89,1916.43
"208","COOLINE","LHB20BRH",2.2,1.89,4088.31
"209","COOLINE","LHB24BRH",2.75,2.09,4985.31
"211","SANYO","SAP-KC241AHA",2.98,2.95,5716.77
"212","SANYO","SAP-KC181AHA",2.36,2.04,4391.4
