"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH"
"1","MIDEA","KFR-61GW/Y",2.65,2.4,6648.55
"2","MIDEA","KFR-26GW/Y",0.93,0.9,2411.67
"3","MIDEA","KFR-70GW/Y",3.03,2.9,7813.57
"4","MIDEA","KFR-26GW/Y",0.93,0.89,2398.09
"6","HYUNDAI","WSH-188BA",1.9,1.88,4983.14
"7","DAIKIN","FTY60G***+ RY60G***",2.46,2.47,6500.6
"8","DAIKIN","FVY353C***+RY353***",1.63,1.51,4135.35
"10","DAIKIN","FVY453C***+RY453***",2.1,2.01,5415.48
"11","DAIKIN","FTY50G***+RY50G***",2.08,1.92,5267.68
"12","DAIKIN","FTX50H***+RX50H***",2.12,2.5,6106.48
"13","DAIKIN","FTX25Hxxx/RX25Hxxx",0.96,1.04,2640.16
"14","CHUNLAN","KFR-32GW",1.2,1.22,3191.56
"16","CHUNLAN","KFR-27GW",1.12,1.14,2980.6
"18","CHUNLAN","KFR-50GW",1.9,2,5146.1
"19","DAIKIN","FLX60J***/RXD60J***",1.99,2,5261.21
"20","CHUNLAN","KFR-35GW",1.28,1.33,3443.26
"21","DAIKIN","FTXD50J***/RXD50J***",1.73,1.91,4806.45
"23","DAIKIN","FTXD60J***/RXD60J***",2.21,2.12,5705.55
"24","SPLENDID","11-0HP",1.35,1.35,3559.95
"25","CHUNLAN","KFR-70GW",2.75,2.75,7251.75
"26","CHUNLAN","STARWAY",2.75,2.75,7251.75
"28","NEC","RH129",1.35,1.15,3288.35
"29","LG","LWC1262AHG",1.35,1.15,3288.35
"30","CHUNLAN","KFR-22GW",0.85,0.88,2282.19
"31","LG","LWC122RH-1",1.35,1.15,3288.35
"32","SHARP","AY-A249J/AE-A249J",3,3.05,7978.9
"33","SHARP","AY-A184J/AE-A184J",2.22,2.21,5840.56
"34","SHARP","AY-A099J/AE-A099J",0.98,0.93,2516.36
"36","CHUNLAN","KFR-60GW",2.48,2.35,6363.22
"38","FUJITSU","AST14RSH-W/AOT14RNA",1.7,1.8,4618.7
"39","MITSUBISHI ELECTRIC","MSH-07RV/MUH-07RV",0.75,0.72,1937.01
"41","MIDEA","KFR-26GW/I1Y",0.97,0.97,2557.89
"42","MITSUBISHI ELECTRIC","MCFH-13NV/MUCFH-13NV",1.42,1.25,3513.68
"46","EMAILAIR","MAY90RCE",1.01,0.93,2554.73
"47","EMAILAIR","ELECTRA KCR-25E",1.01,0.93,2554.73
"48","KIA","KSH-098BA",0.87,0.88,2307.77
"49","HISENSE","KFR-25GWE",1.04,1.33,3136.3
"50","LG","LWC0960AHG",1,0.92,2528.36
"51","LG","LSL1260NL",1.33,1.83,4186.21
"52","LG","LS-K2463HL",2.73,2.69,7144.69
"53","LG","LV-B2461HL",2.8,2.69,7234.22
"55","AIRTEMP","HAY212N6G",1.41,1.38,3677.43
"59","LG","LWC1260PHG",1.33,1.19,3317.09
"60","HYUNDAI","WSH-229BA",2.57,2.54,6736.35
"61","LG","LS-K2464HL",2.73,2.69,7144.69
"62","ELECTRA","WMN24RCB",2.45,2.45,6460.65
"63","ELECTRA","EMAILAIR WS/CWS066HB",2.45,2.45,6460.65
"67","ADSAKA","KFR-60GW",2.48,2.35,6363.22
"68","EMAILAIR","WS/CWS026HA",1,0.99,2623.42
"69","EMAILAIR","ELECTRA WMN9RCA",1,0.99,2623.42
"70","EMAILAIR","WS/CWS034HA",1.25,1.33,3404.89
"71","EMAILAIR","ELECTRA WMN12RCA",1.25,1.33,3404.89
"72","AIRWELL","SX18RC",2.3,2.13,5834.24
"73","ADSAKA","KFR-50GW",1.9,2,5146.1
"74","AIRWELL","SX24RC",2.71,2.49,6847.51
"75","TOSHIBA","RAS-10YKH-E / 10YAH-E",1.02,0.95,2594.68
"76","TOSHIBA","RAS-24UKH-E / 24UAH-EA",2.6,2.59,6842.62
"77","TOSHIBA","RAS-18UKH-E / 18UAH-EA",2.04,2,5325.16
"83","FUJITSU GENERAL","AUT25RLC-W/AOT25RZCL",2.8,2.6,7112
"84","FUJITSU GENERAL","ABT18RGA-W/AOT18RZAL",2.24,2.12,5743.92
"87","FUJITSU GENERAL","ART25RLA/AOT25RZAL",2.86,2.65,7256.64
"90","FUJITSU GENERAL","AUT18RGA/AOT18RZCL",2.01,2.01,5300.37
"92","MIDEA","KFR-23GW/I1Y",0.88,0.93,2388.46
"93","MIDEA","KFR-53GW/Y",2,1.92,5165.36
"94","MIDEA","KFR-36GWY",1.5,1.65,4159.2
"99","AIRTEMP","HAY318N6G",2.08,2.09,5498.54
"100","AIRTEMP","HAY109N6G",1.07,1.07,2821.59
"101","AIRTEMP","HAE418N6E/HAC418N6G",2.08,1.9,5240.52
"102","AIRTEMP","HAE109N6E/HAC109N6B",0.93,0.93,2452.41
"104","FUJITSU","AST20RGA-W/AOT20RZAL",2.28,1.96,5577.8
"105","MITSUBISHI ELECTRIC","MWH-17KV",2.8,2.6,7112
"112","MITSUBISHI ELECTRIC","MSH-24RV/MUH-24RV",2.73,2.69,7144.69
"114","FUJITSU","AST7RSCCW/AOT7RSCC",0.77,0.72,1962.59
"115","GENERAL ELECTRIC","ASIAH18EWI",1.84,1.87,4892.82
"116","MITSUBISHI ELECTRIC","MWH-12KV",1.72,1.56,4318.36
"117","MITSUBISHI ELECTRIC","MSZ-G12SV/MUZ-G12SV",1.36,1.63,3952.98
"119","HOTPOINT","HPS 125R",1.1,1.07,2859.96
"120","FUJITSU GENERAL","AST24RGB-W/AOT24RNAL/AOT24RNCLST24RGB-W/A",2.61,2.7,7004.79
"122","MITSUBISHI ELECTRIC","MSH-12RV/MUH-12RV",1.32,1.4,3589.48
"124","MITSUBISHI ELECTRIC","MSH-09RV/MUH-09RV",0.95,0.97,2532.31
"125","AIRTEMP","HAY107N6G",0.82,0.82,2162.34
"127","MITSUBISHI ELECTRIC","MWH-08MV",1.02,0.87,2486.04
"128","MHI","SRT403HENF-L",1.38,1.39,3652.64
"132","CARRIER","53G150H",1.32,1.35,3521.58
"137","CARRIER","53G225H",1.88,1.8,4848.92
"138","CARRIER","53G100H",0.96,0.96,2531.52
"141","HEC","HSU-09HEO4",1.02,1.16,2879.86
"142","MHI","SRK561HENF-A",2.18,2.18,5748.66
"143","MHI","SRK388HENF-A",1.32,1.33,3494.42
"144","MHI","SRK408HENF-A",1.51,1.54,4022.61
"145","MHI","SRK288HENF-A",1.07,0.91,2604.31
"146","MHI","SRK458HENF-A",1.7,1.84,4673.02
"147","MHI","FDKN208H",1.8,1.82,4773.76
"148","MHI","FDKN308H",3.08,2.83,7782.46
"150","MHI","SRK502Z-L",2.22,2.5,6234.38
"151","MHI","FDKN258H",2.11,2.08,5523.33
