"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH"
"1","MIDEA","KFR-61GW/Y",2.65,2.4,9290.9
"2","MIDEA","KFR-26GW/Y",0.93,0.9,3269.76
"3","MIDEA","KFR-70GW/Y",3.03,2.9,10647.96
"4","MIDEA","KFR-26GW/Y",0.93,0.89,3268.17
"6","HYUNDAI","WSH-188BA",1.9,1.88,6686.72
"7","DAIKIN","FTY60G***+ RY60G***",2.46,2.47,8663.25
"8","DAIKIN","FVY353C***+RY353***",1.63,1.51,5720.15
"10","DAIKIN","FVY453C***+RY453***",2.1,2.01,7379.79
"11","DAIKIN","FTY50G***+RY50G***",2.08,1.92,7298.24
"12","DAIKIN","FTX50H***+RX50H***",2.12,2.5,7524.94
"13","DAIKIN","FTX25Hxxx/RX25Hxxx",0.96,1.04,3392.88
"14","CHUNLAN","KFR-32GW",1.2,1.22,4228.38
"16","CHUNLAN","KFR-27GW",1.12,1.14,3946.7
"18","CHUNLAN","KFR-50GW",1.9,2,6705.8
"19","DAIKIN","FLX60J***/RXD60J***",1.99,2,7008.38
"20","CHUNLAN","KFR-35GW",1.28,1.33,4514.83
"21","DAIKIN","FTXD50J***/RXD50J***",1.73,1.91,6119.95
"23","DAIKIN","FTXD60J***/RXD60J***",2.21,2.12,7767.1
"24","SPLENDID","11-0HP",1.35,1.35,4753.35
"25","CHUNLAN","KFR-70GW",2.75,2.75,9682.75
"26","CHUNLAN","STARWAY",2.75,2.75,9682.75
"28","NEC","RH129",1.35,1.15,4721.55
"29","LG","LWC1262AHG",1.35,1.15,4721.55
"30","CHUNLAN","KFR-22GW",0.85,0.88,2997.62
"31","LG","LWC122RH-1",1.35,1.15,4721.55
"32","SHARP","AY-A249J/AE-A249J",3,3.05,10570.95
"33","SHARP","AY-A184J/AE-A184J",2.22,2.21,7815.03
"34","SHARP","AY-A099J/AE-A099J",0.98,0.93,3442.63
"36","CHUNLAN","KFR-60GW",2.48,2.35,8711.41
"38","FUJITSU","AST14RSH-W/AOT14RNA",1.7,1.8,6001.6
"39","MITSUBISHI ELECTRIC","MSH-07RV/MUH-07RV",0.75,0.72,2635.98
"41","MIDEA","KFR-26GW/I1Y",0.97,0.97,3415.37
"42","MITSUBISHI ELECTRIC","MCFH-13NV/MUCFH-13NV",1.42,1.25,4972.79
"46","EMAILAIR","MAY90RCE",1.01,0.93,3543.49
"47","EMAILAIR","ELECTRA KCR-25E",1.01,0.93,3543.49
"48","KIA","KSH-098BA",0.87,0.88,3064.86
"49","HISENSE","KFR-25GWE",1.04,1.33,3707.95
"50","LG","LWC0960AHG",1,0.92,3508.28
"51","LG","LSL1260NL",1.33,1.83,4762.43
"52","LG","LS-K2463HL",2.73,2.69,9605.97
"53","LG","LV-B2461HL",2.8,2.69,9841.31
"55","AIRTEMP","HAY212N6G",1.41,1.38,4959.84
"59","LG","LWC1260PHG",1.33,1.19,4660.67
"60","HYUNDAI","WSH-229BA",2.57,2.54,9044.2
"61","LG","LS-K2464HL",2.73,2.69,9605.97
"62","ELECTRA","WMN24RCB",2.45,2.45,8626.45
"63","ELECTRA","EMAILAIR WS/CWS066HB",2.45,2.45,8626.45
"67","ADSAKA","KFR-60GW",2.48,2.35,8711.41
"68","EMAILAIR","WS/CWS026HA",1,0.99,3519.41
"69","EMAILAIR","ELECTRA WMN9RCA",1,0.99,3519.41
"70","EMAILAIR","WS/CWS034HA",1.25,1.33,4413.97
"71","EMAILAIR","ELECTRA WMN12RCA",1.25,1.33,4413.97
"72","AIRWELL","SX18RC",2.3,2.13,8071.27
"73","ADSAKA","KFR-50GW",1.9,2,6705.8
"74","AIRWELL","SX24RC",2.71,2.49,9506.93
"75","TOSHIBA","RAS-10YKH-E / 10YAH-E",1.02,0.95,3580.29
"76","TOSHIBA","RAS-24UKH-E / 24UAH-EA",2.6,2.59,9153.01
"77","TOSHIBA","RAS-18UKH-E / 18UAH-EA",2.04,2,7176.48
"83","FUJITSU GENERAL","AUT25RLC-W/AOT25RZCL",2.8,2.6,9827
"84","FUJITSU GENERAL","ABT18RGA-W/AOT18RZAL",2.24,2.12,7867.96
"87","FUJITSU GENERAL","ART25RLA/AOT25RZAL",2.86,2.65,10036.67
"90","FUJITSU GENERAL","AUT18RGA/AOT18RZCL",2.01,2.01,7077.21
"92","MIDEA","KFR-23GW/I1Y",0.88,0.93,3106.43
"93","MIDEA","KFR-53GW/Y",2,1.92,7029.28
"94","MIDEA","KFR-36GWY",1.5,1.65,5305.35
"99","AIRTEMP","HAY318N6G",2.08,2.09,7325.27
"100","AIRTEMP","HAY109N6G",1.07,1.07,3767.47
"101","AIRTEMP","HAE418N6E/HAC418N6G",2.08,1.9,7295.06
"102","AIRTEMP","HAE109N6E/HAC109N6B",0.93,0.93,3274.53
"104","FUJITSU","AST20RGA-W/AOT20RZAL",2.28,1.96,7977
"105","MITSUBISHI ELECTRIC","MWH-17KV",2.8,2.6,9827
"112","MITSUBISHI ELECTRIC","MSH-24RV/MUH-24RV",2.73,2.69,9605.97
"114","FUJITSU","AST7RSCCW/AOT7RSCC",0.77,0.72,2703.22
"115","GENERAL ELECTRIC","ASIAH18EWI",1.84,1.87,6483.41
"116","MITSUBISHI ELECTRIC","MWH-12KV",1.72,1.56,6030.68
"117","MITSUBISHI ELECTRIC","MSZ-G12SV/MUZ-G12SV",1.36,1.63,4831.49
"119","HOTPOINT","HPS 125R",1.1,1.07,3868.33
"120","FUJITSU GENERAL","AST24RGB-W/AOT24RNAL/AOT24RNCLST24RGB-W/A",2.61,2.7,9204.12
"122","MITSUBISHI ELECTRIC","MSH-12RV/MUH-12RV",1.32,1.4,4660.44
"124","MITSUBISHI ELECTRIC","MSH-09RV/MUH-09RV",0.95,0.97,3348.13
"125","AIRTEMP","HAY107N6G",0.82,0.82,2887.22
"127","MITSUBISHI ELECTRIC","MWH-08MV",1.02,0.87,3567.57
"128","MHI","SRT403HENF-L",1.38,1.39,4860.57
"132","CARRIER","53G150H",1.32,1.35,4652.49
"137","CARRIER","53G225H",1.88,1.8,6606.76
"138","CARRIER","53G100H",0.96,0.96,3380.16
"141","HEC","HSU-09HEO4",1.02,1.16,3613.68
"142","MHI","SRK561HENF-A",2.18,2.18,7675.78
