"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH"
"1","MIDEA","KFR-61GW/Y",2.65,2.4,5638.35
"2","MIDEA","KFR-26GW/Y",0.93,0.9,2059.11
"3","MIDEA","KFR-70GW/Y",3.03,2.9,6663.81
"4","MIDEA","KFR-26GW/Y",0.93,0.89,2045.19
"6","HYUNDAI","WSH-188BA",1.9,1.88,4264.26
"7","DAIKIN","FTY60G***+ RY60G***",2.46,2.47,5571.06
"8","DAIKIN","FVY353C***+RY353***",1.63,1.51,3515.13
"10","DAIKIN","FVY453C***+RY453***",2.1,2.01,4618.62
"11","DAIKIN","FTY50G***+RY50G***",2.08,1.92,4476
"12","DAIKIN","FTX50H***+RX50H***",2.12,2.5,5318.04
"13","DAIKIN","FTX25Hxxx/RX25Hxxx",0.96,1.04,2280
"14","CHUNLAN","KFR-32GW",1.2,1.22,2738.64
"16","CHUNLAN","KFR-27GW",1.12,1.14,2557.92
"18","CHUNLAN","KFR-50GW",1.9,2,4431.3
"19","DAIKIN","FLX60J***/RXD60J***",1.99,2,4509.33
"20","CHUNLAN","KFR-35GW",1.28,1.33,2961.12
"21","DAIKIN","FTXD50J***/RXD50J***",1.73,1.91,4158.63
"23","DAIKIN","FTXD60J***/RXD60J***",2.21,2.12,4867.11
"24","SPLENDID","11-0HP",1.35,1.35,3049.65
"25","CHUNLAN","KFR-70GW",2.75,2.75,6212.25
"26","CHUNLAN","STARWAY",2.75,2.75,6212.25
"28","NEC","RH129",1.35,1.15,2771.25
"29","LG","LWC1262AHG",1.35,1.15,2771.25
"30","CHUNLAN","KFR-22GW",0.85,0.88,1961.91
"31","LG","LWC122RH-1",1.35,1.15,2771.25
"32","SHARP","AY-A249J/AE-A249J",3,3.05,6846.6
"33","SHARP","AY-A184J/AE-A184J",2.22,2.21,5001.06
"34","SHARP","AY-A099J/AE-A099J",0.98,0.93,2144.22
"36","CHUNLAN","KFR-60GW",2.48,2.35,5421.36
"38","FUJITSU","AST14RSH-W/AOT14RNA",1.7,1.8,3979.5
"39","MITSUBISHI ELECTRIC","MSH-07RV/MUH-07RV",0.75,0.72,1652.49
"41","MIDEA","KFR-26GW/I1Y",0.97,0.97,2191.23
"42","MITSUBISHI ELECTRIC","MCFH-13NV/MUCFH-13NV",1.42,1.25,2971.14
"46","EMAILAIR","MAY90RCE",1.01,0.93,2170.23
"47","EMAILAIR","ELECTRA KCR-25E",1.01,0.93,2170.23
"48","KIA","KSH-098BA",0.87,0.88,1979.25
"49","HISENSE","KFR-25GWE",1.04,1.33,2753.04
"50","LG","LWC0960AHG",1,0.92,2147.64
"51","LG","LSL1260NL",1.33,1.83,3700.47
"52","LG","LS-K2463HL",2.73,2.69,6111.39
"53","LG","LV-B2461HL",2.8,2.69,6172.08
"55","AIRTEMP","HAY212N6G",1.41,1.38,3143.43
"59","LG","LWC1260PHG",1.33,1.19,2809.59
"60","HYUNDAI","WSH-229BA",2.57,2.54,5763.87
"61","LG","LS-K2464HL",2.73,2.69,6111.39
"62","ELECTRA","WMN24RCB",2.45,2.45,5534.55
"63","ELECTRA","EMAILAIR WS/CWS066HB",2.45,2.45,5534.55
"67","ADSAKA","KFR-60GW",2.48,2.35,5421.36
"68","EMAILAIR","WS/CWS026HA",1,0.99,2245.08
"69","EMAILAIR","ELECTRA WMN9RCA",1,0.99,2245.08
"70","EMAILAIR","WS/CWS034HA",1.25,1.33,2935.11
"71","EMAILAIR","ELECTRA WMN12RCA",1.25,1.33,2935.11
"72","AIRWELL","SX18RC",2.3,2.13,4959.06
"73","ADSAKA","KFR-50GW",1.9,2,4431.3
"74","AIRWELL","SX24RC",2.71,2.49,5815.65
"75","TOSHIBA","RAS-10YKH-E / 10YAH-E",1.02,0.95,2206.74
"76","TOSHIBA","RAS-24UKH-E / 24UAH-EA",2.6,2.59,5859.48
"77","TOSHIBA","RAS-18UKH-E / 18UAH-EA",2.04,2,4552.68
"83","FUJITSU GENERAL","AUT25RLC-W/AOT25RZCL",2.8,2.6,6046.8
"84","FUJITSU GENERAL","ABT18RGA-W/AOT18RZAL",2.24,2.12,4893.12
"87","FUJITSU GENERAL","ART25RLA/AOT25RZAL",2.86,2.65,6168.42
"90","FUJITSU GENERAL","AUT18RGA/AOT18RZCL",2.01,2.01,4540.59
"92","MIDEA","KFR-23GW/I1Y",0.88,0.93,2057.52
"93","MIDEA","KFR-53GW/Y",2,1.92,4406.64
"94","MIDEA","KFR-36GWY",1.5,1.65,3597.3
"99","AIRTEMP","HAY318N6G",2.08,2.09,4712.64
"100","AIRTEMP","HAY109N6G",1.07,1.07,2417.13
"101","AIRTEMP","HAE418N6E/HAC418N6G",2.08,1.9,4448.16
"102","AIRTEMP","HAE109N6E/HAC109N6B",0.93,0.93,2100.87
"104","FUJITSU","AST20RGA-W/AOT20RZAL",2.28,1.96,4705.08
"105","MITSUBISHI ELECTRIC","MWH-17KV",2.8,2.6,6046.8
"112","MITSUBISHI ELECTRIC","MSH-24RV/MUH-24RV",2.73,2.69,6111.39
"114","FUJITSU","AST7RSCCW/AOT7RSCC",0.77,0.72,1669.83
"115","GENERAL ELECTRIC","ASIAH18EWI",1.84,1.87,4198.32
"116","MITSUBISHI ELECTRIC","MWH-12KV",1.72,1.56,3662.76
"117","MITSUBISHI ELECTRIC","MSZ-G12SV/MUZ-G12SV",1.36,1.63,3448.08
"119","HOTPOINT","HPS 125R",1.1,1.07,2443.14
"120","FUJITSU GENERAL","AST24RGB-W/AOT24RNAL/AOT24RNCLST24RGB-W/A",2.61,2.7,6021.27
"122","MITSUBISHI ELECTRIC","MSH-12RV/MUH-12RV",1.32,1.4,3093.24
"124","MITSUBISHI ELECTRIC","MSH-09RV/MUH-09RV",0.95,0.97,2173.89
"125","AIRTEMP","HAY107N6G",0.82,0.82,1852.38
"127","MITSUBISHI ELECTRIC","MWH-08MV",1.02,0.87,2095.38
"128","MHI","SRT403HENF-L",1.38,1.39,3131.34
"132","CARRIER","53G150H",1.32,1.35,3023.64
"137","CARRIER","53G225H",1.88,1.8,4135.56
"138","CARRIER","53G100H",0.96,0.96,2168.64
"141","HEC","HSU-09HEO4",1.02,1.16,2499.06
"142","MHI","SRK561HENF-A",2.18,2.18,4924.62
"143","MHI","SRK388HENF-A",1.32,1.33,2995.8
"144","MHI","SRK408HENF-A",1.51,1.54,3452.85
"145","MHI","SRK288HENF-A",1.07,0.91,2194.41
"146","MHI","SRK458HENF-A",1.7,1.84,4035.18
"147","MHI","FDKN208H",1.8,1.82,4094.04
"148","MHI","FDKN308H",3.08,2.83,6609.72
"150","MHI","SRK502Z-L",2.22,2.5,5404.74
"151","MHI","FDKN258H",2.11,2.08,4724.73
"153","MHI","SRK208HENF-A",0.77,0.71,1655.91
"154","HISENSE","KFR-4001GW/BPE",1.53,2.05,4180.11
"156","HISENSE","KFR-2601GW/BPE",0.96,1.4,2781.12
"157","TEMPERZONE","ISY26R/OSY26R",0.93,0.93,2100.87
"158","TEMPERZONE","ISY60R2 / OSY60R2",2.76,2.56,5956.44
"159","GENERAL ELECTRIC","AYIAH12EWI",1.35,1.45,3188.85
"160","GENERAL ELECTRIC","AYIAH09DWI",1.12,1.15,2571.84
"161","Haier","HSU-12H104",1.35,1.33,3021.81
"162","TEMPERZONE","ISY34/OSY34R",1.26,1.26,2846.34
"164","HEC","HW-09HA04",1.08,0.98,2300.52
"165","GENERAL ELECTRIC","ASIAH24EWI",2.33,2.45,5430.51
"167","MIDEA","KFR-61GW/Y",2.56,2.31,5435.04
"168","Teco","LA2300Y",2.76,2.5,5872.92
"169","Haier","HW-09HA04",1.08,0.98,2300.52
