"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH"
"1","MIDEA","KFR-61GW/Y",2.65,2.4,5995.8
"2","MIDEA","KFR-26GW/Y",0.93,0.9,2106.9
"3","MIDEA","KFR-70GW/Y",3.03,2.9,6862.9
"4","MIDEA","KFR-26GW/Y",0.93,0.89,2106.43
"6","HYUNDAI","WSH-188BA",1.9,1.88,4306.36
"7","DAIKIN","FTY60G***+ RY60G***",2.46,2.47,5577.29
"8","DAIKIN","FVY353C***+RY353***",1.63,1.51,3689.57
"10","DAIKIN","FVY453C***+RY453***",2.1,2.01,4756.47
"11","DAIKIN","FTY50G***+RY50G***",2.08,1.92,4707.84
"12","DAIKIN","FTX50H***+RX50H***",2.12,2.5,4823.9
"13","DAIKIN","FTX25Hxxx/RX25Hxxx",0.96,1.04,2180.08
"14","CHUNLAN","KFR-32GW",1.2,1.22,2721.34
"16","CHUNLAN","KFR-27GW",1.12,1.14,2539.98
"18","CHUNLAN","KFR-50GW",1.9,2,4312
"19","DAIKIN","FLX60J***/RXD60J***",1.99,2,4511.8
"20","CHUNLAN","KFR-35GW",1.28,1.33,2904.11
"21","DAIKIN","FTXD50J***/RXD50J***",1.73,1.91,3930.37
"23","DAIKIN","FTXD60J***/RXD60J***",2.21,2.12,5005.84
"24","SPLENDID","11-0HP",1.35,1.35,3060.45
"25","CHUNLAN","KFR-70GW",2.75,2.75,6234.25
"26","CHUNLAN","STARWAY",2.75,2.75,6234.25
"28","NEC","RH129",1.35,1.15,3051.05
"29","LG","LWC1262AHG",1.35,1.15,3051.05
"30","CHUNLAN","KFR-22GW",0.85,0.88,1928.36
"31","LG","LWC122RH-1",1.35,1.15,3051.05
"32","SHARP","AY-A249J/AE-A249J",3,3.05,6803.35
"33","SHARP","AY-A184J/AE-A184J",2.22,2.21,5032.27
"34","SHARP","AY-A099J/AE-A099J",0.98,0.93,2219.31
"36","CHUNLAN","KFR-60GW",2.48,2.35,5616.05
"38","FUJITSU","AST14RSH-W/AOT14RNA",1.7,1.8,3858.6
"39","MITSUBISHI ELECTRIC","MSH-07RV/MUH-07RV",0.75,0.72,1698.84
"41","MIDEA","KFR-26GW/I1Y",0.97,0.97,2198.99
"42","MITSUBISHI ELECTRIC","MCFH-13NV/MUCFH-13NV",1.42,1.25,3211.15
"46","EMAILAIR","MAY90RCE",1.01,0.93,2285.91
"47","EMAILAIR","ELECTRA KCR-25E",1.01,0.93,2285.91
"48","KIA","KSH-098BA",0.87,0.88,1972.76
"49","HISENSE","KFR-25GWE",1.04,1.33,2371.31
"50","LG","LWC0960AHG",1,0.92,2263.24
"51","LG","LSL1260NL",1.33,1.83,3038.61
"52","LG","LS-K2463HL",2.73,2.69,6187.03
"53","LG","LV-B2461HL",2.8,2.69,6342.43
"55","AIRTEMP","HAY212N6G",1.41,1.38,3195.06
"59","LG","LWC1260PHG",1.33,1.19,3008.53
"60","HYUNDAI","WSH-229BA",2.57,2.54,5824.78
"61","LG","LS-K2464HL",2.73,2.69,6187.03
"62","ELECTRA","WMN24RCB",2.45,2.45,5554.15
"63","ELECTRA","EMAILAIR WS/CWS066HB",2.45,2.45,5554.15
"67","ADSAKA","KFR-60GW",2.48,2.35,5616.05
"68","EMAILAIR","WS/CWS026HA",1,0.99,2266.53
"69","EMAILAIR","ELECTRA WMN9RCA",1,0.99,2266.53
"70","EMAILAIR","WS/CWS034HA",1.25,1.33,2837.51
"71","EMAILAIR","ELECTRA WMN12RCA",1.25,1.33,2837.51
"72","AIRWELL","SX18RC",2.3,2.13,5206.11
"73","ADSAKA","KFR-50GW",1.9,2,4312
"74","AIRWELL","SX24RC",2.71,2.49,6133.23
"75","TOSHIBA","RAS-10YKH-E / 10YAH-E",1.02,0.95,2309.05
"76","TOSHIBA","RAS-24UKH-E / 24UAH-EA",2.6,2.59,5893.73
"77","TOSHIBA","RAS-18UKH-E / 18UAH-EA",2.04,2,4622.8
"83","FUJITSU GENERAL","AUT25RLC-W/AOT25RZCL",2.8,2.6,6338.2
"84","FUJITSU GENERAL","ABT18RGA-W/AOT18RZAL",2.24,2.12,5072.44
"87","FUJITSU GENERAL","ART25RLA/AOT25RZAL",2.86,2.65,6473.75
"90","FUJITSU GENERAL","AUT18RGA/AOT18RZCL",2.01,2.01,4556.67
"92","MIDEA","KFR-23GW/I1Y",0.88,0.93,1997.31
"93","MIDEA","KFR-53GW/Y",2,1.92,4530.24
"94","MIDEA","KFR-36GWY",1.5,1.65,3407.55
"99","AIRTEMP","HAY318N6G",2.08,2.09,4715.83
"100","AIRTEMP","HAY109N6G",1.07,1.07,2425.69
"101","AIRTEMP","HAE418N6E/HAC418N6G",2.08,1.9,4706.9
"102","AIRTEMP","HAE109N6E/HAC109N6B",0.93,0.93,2108.31
"104","FUJITSU","AST20RGA-W/AOT20RZAL",2.28,1.96,5153.72
"105","MITSUBISHI ELECTRIC","MWH-17KV",2.8,2.6,6338.2
"112","MITSUBISHI ELECTRIC","MSH-24RV/MUH-24RV",2.73,2.69,6187.03
"114","FUJITSU","AST7RSCCW/AOT7RSCC",0.77,0.72,1743.24
"115","GENERAL ELECTRIC","ASIAH18EWI",1.84,1.87,4172.69
