"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH"
"1","MIDEA","KFR-61GW/Y",2.65,2.4,7581.75
"2","MIDEA","KFR-26GW/Y",0.93,0.9,2828.43
"3","MIDEA","KFR-70GW/Y",3.03,2.9,9121.53
"4","MIDEA","KFR-26GW/Y",0.93,0.89,2799.39
"6","HYUNDAI","WSH-188BA",1.9,1.88,5898.42
"7","DAIKIN","FTY60G***+ RY60G***",2.46,2.47,7741.14
"8","DAIKIN","FVY353C***+RY353***",1.63,1.51,4761.57
"10","DAIKIN","FVY453C***+RY453***",2.1,2.01,6322.14
"11","DAIKIN","FTY50G***+RY50G***",2.08,1.92,6056.16
"12","DAIKIN","FTX50H***+RX50H***",2.12,2.5,7749.72
"13","DAIKIN","FTX25Hxxx/RX25Hxxx",0.96,1.04,3241.92
"14","CHUNLAN","KFR-32GW",1.2,1.22,3820.08
"16","CHUNLAN","KFR-27GW",1.12,1.14,3569.28
"18","CHUNLAN","KFR-50GW",1.9,2,6246.9
"19","DAIKIN","FLX60J***/RXD60J***",1.99,2,6267.69
"20","CHUNLAN","KFR-35GW",1.28,1.33,4158
"21","DAIKIN","FTXD50J***/RXD50J***",1.73,1.91,5946.27
"23","DAIKIN","FTXD60J***/RXD60J***",2.21,2.12,6666.99
"24","SPLENDID","11-0HP",1.35,1.35,4232.25
"25","CHUNLAN","KFR-70GW",2.75,2.75,8621.25
"26","CHUNLAN","STARWAY",2.75,2.75,8621.25
"28","NEC","RH129",1.35,1.15,3651.45
"29","LG","LWC1262AHG",1.35,1.15,3651.45
"30","CHUNLAN","KFR-22GW",0.85,0.88,2751.87
"31","LG","LWC122RH-1",1.35,1.15,3651.45
"32","SHARP","AY-A249J/AE-A249J",3,3.05,9550.2
"33","SHARP","AY-A184J/AE-A184J",2.22,2.21,6930.66
"34","SHARP","AY-A099J/AE-A099J",0.98,0.93,2927.1
"36","CHUNLAN","KFR-60GW",2.48,2.35,7397.28
"38","FUJITSU","AST14RSH-W/AOT14RNA",1.7,1.8,5619.9
"39","MITSUBISHI ELECTRIC","MSH-07RV/MUH-07RV",0.75,0.72,2264.13
"41","MIDEA","KFR-26GW/I1Y",0.97,0.97,3040.95
"42","MITSUBISHI ELECTRIC","MCFH-13NV/MUCFH-13NV",1.42,1.25,3958.02
"46","EMAILAIR","MAY90RCE",1.01,0.93,2934.03
"47","EMAILAIR","ELECTRA KCR-25E",1.01,0.93,2934.03
"48","KIA","KSH-098BA",0.87,0.88,2756.49
"49","HISENSE","KFR-25GWE",1.04,1.33,4102.56
"50","LG","LWC0960AHG",1,0.92,2902.68
"51","LG","LSL1260NL",1.33,1.83,5621.55
"52","LG","LS-K2463HL",2.73,2.69,8442.39
"53","LG","LV-B2461HL",2.8,2.69,8458.56
"55","AIRTEMP","HAY212N6G",1.41,1.38,4333.23
"59","LG","LWC1260PHG",1.33,1.19,3762.99
"60","HYUNDAI","WSH-229BA",2.57,2.54,7969.83
"61","LG","LS-K2464HL",2.73,2.69,8442.39
"62","ELECTRA","WMN24RCB",2.45,2.45,7680.75
"63","ELECTRA","EMAILAIR WS/CWS066HB",2.45,2.45,7680.75
"67","ADSAKA","KFR-60GW",2.48,2.35,7397.28
"68","EMAILAIR","WS/CWS026HA",1,0.99,3105.96
"69","EMAILAIR","ELECTRA WMN9RCA",1,0.99,3105.96
"70","EMAILAIR","WS/CWS034HA",1.25,1.33,4151.07
"71","EMAILAIR","ELECTRA WMN12RCA",1.25,1.33,4151.07
"72","AIRWELL","SX18RC",2.3,2.13,6716.82
"73","ADSAKA","KFR-50GW",1.9,2,6246.9
"74","AIRWELL","SX24RC",2.71,2.49,7856.97
"75","TOSHIBA","RAS-10YKH-E / 10YAH-E",1.02,0.95,2994.42
"76","TOSHIBA","RAS-24UKH-E / 24UAH-EA",2.6,2.59,8121.96
"77","TOSHIBA","RAS-18UKH-E / 18UAH-EA",2.04,2,6279.24
"83","FUJITSU GENERAL","AUT25RLC-W/AOT25RZCL",2.8,2.6,8197.2
