"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH"
"1","MIDEA","KFR-61GW/Y",2.65,2.4,10335.85
"2","MIDEA","KFR-26GW/Y",0.93,0.9,3669.33
"3","MIDEA","KFR-70GW/Y",3.03,2.9,11931.43
"4","MIDEA","KFR-26GW/Y",0.93,0.89,3662.05
"6","HYUNDAI","WSH-188BA",1.9,1.88,7526.54
"7","DAIKIN","FTY60G***+ RY60G***",2.46,2.47,9771.02
"8","DAIKIN","FVY353C***+RY353***",1.63,1.51,6382.11
"10","DAIKIN","FVY453C***+RY453***",2.1,2.01,8269.38
"11","DAIKIN","FTY50G***+RY50G***",2.08,1.92,8139.04
"12","DAIKIN","FTX50H***+RX50H***",2.12,2.5,8690.92
"13","DAIKIN","FTX25Hxxx/RX25Hxxx",0.96,1.04,3868.48
"14","CHUNLAN","KFR-32GW",1.2,1.22,4777.36
"16","CHUNLAN","KFR-27GW",1.12,1.14,4459.84
"18","CHUNLAN","KFR-50GW",1.9,2,7613.9
"19","DAIKIN","FLX60J***/RXD60J***",1.99,2,7905.59
"20","CHUNLAN","KFR-35GW",1.28,1.33,5116.72
"21","DAIKIN","FTXD50J***/RXD50J***",1.73,1.91,6997.41
"23","DAIKIN","FTXD60J***/RXD60J***",2.21,2.12,8705.97
"24","SPLENDID","11-0HP",1.35,1.35,5358.15
"25","CHUNLAN","KFR-70GW",2.75,2.75,10914.75
"26","CHUNLAN","STARWAY",2.75,2.75,10914.75
"28","NEC","RH129",1.35,1.15,5212.55
"29","LG","LWC1262AHG",1.35,1.15,5212.55
"30","CHUNLAN","KFR-22GW",0.85,0.88,3395.49
"31","LG","LWC122RH-1",1.35,1.15,5212.55
"32","SHARP","AY-A249J/AE-A249J",3,3.05,11943.4
"33","SHARP","AY-A184J/AE-A184J",2.22,2.21,8803.9
"34","SHARP","AY-A099J/AE-A099J",0.98,0.93,3853.22
"36","CHUNLAN","KFR-60GW",2.48,2.35,9748.48
"38","FUJITSU","AST14RSH-W/AOT14RNA",1.7,1.8,6820.1
"39","MITSUBISHI ELECTRIC","MSH-07RV/MUH-07RV",0.75,0.72,2954.91
"41","MIDEA","KFR-26GW/I1Y",0.97,0.97,3849.93
"42","MITSUBISHI ELECTRIC","MCFH-13NV/MUCFH-13NV",1.42,1.25,5512.22
"46","EMAILAIR","MAY90RCE",1.01,0.93,3950.45
"47","EMAILAIR","ELECTRA KCR-25E",1.01,0.93,3950.45
"48","KIA","KSH-098BA",0.87,0.88,3460.31
"49","HISENSE","KFR-25GWE",1.04,1.33,4338.88
"50","LG","LWC0960AHG",1,0.92,3910.76
"51","LG","LSL1260NL",1.33,1.83,5642.77
"52","LG","LS-K2463HL",2.73,2.69,10806.25
"53","LG","LV-B2461HL",2.8,2.69,11033.12
"55","AIRTEMP","HAY212N6G",1.41,1.38,5574.45
"59","LG","LWC1260PHG",1.33,1.19,5176.85
"60","HYUNDAI","WSH-229BA",2.57,2.54,10178.49
"61","LG","LS-K2464HL",2.73,2.69,10806.25
"62","ELECTRA","WMN24RCB",2.45,2.45,9724.05
"63","ELECTRA","EMAILAIR WS/CWS066HB",2.45,2.45,9724.05
"67","ADSAKA","KFR-60GW",2.48,2.35,9748.48
"68","EMAILAIR","WS/CWS026HA",1,0.99,3961.72
"69","EMAILAIR","ELECTRA WMN9RCA",1,0.99,3961.72
"70","EMAILAIR","WS/CWS034HA",1.25,1.33,5019.49
"71","EMAILAIR","ELECTRA WMN12RCA",1.25,1.33,5019.49
"72","AIRWELL","SX18RC",2.3,2.13,9004.94
"73","ADSAKA","KFR-50GW",1.9,2,7613.9
"74","AIRWELL","SX24RC",2.71,2.49,10595.83
"75","TOSHIBA","RAS-10YKH-E / 10YAH-E",1.02,0.95,3997.42
"76","TOSHIBA","RAS-24UKH-E / 24UAH-EA",2.6,2.59,10312.12
"77","TOSHIBA","RAS-18UKH-E / 18UAH-EA",2.04,2,8067.64
"83","FUJITSU GENERAL","AUT25RLC-W/AOT25RZCL",2.8,2.6,10967.6
"84","FUJITSU GENERAL","ABT18RGA-W/AOT18RZAL",2.24,2.12,8803.2
"87","FUJITSU GENERAL","ART25RLA/AOT25RZAL",2.86,2.65,11198.46
"90","FUJITSU GENERAL","AUT18RGA/AOT18RZCL",2.01,2.01,7977.69
"92","MIDEA","KFR-23GW/I1Y",0.88,0.93,3529.12
"93","MIDEA","KFR-53GW/Y",2,1.92,7879.76
"94","MIDEA","KFR-36GWY",1.5,1.65,6062.7
"99","AIRTEMP","HAY318N6G",2.08,2.09,8262.8
"100","AIRTEMP","HAY109N6G",1.07,1.07,4246.83
"101","AIRTEMP","HAE418N6E/HAC418N6G",2.08,1.9,8124.48
"102","AIRTEMP","HAE109N6E/HAC109N6B",0.93,0.93,3691.17
"104","FUJITSU","AST20RGA-W/AOT20RZAL",2.28,1.96,8816.36
