"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH"
"1","MIDEA","KFR-61GW/Y",2.65,2.4,4974
"2","MIDEA","KFR-26GW/Y",0.93,0.9,1833.12
"3","MIDEA","KFR-70GW/Y",3.03,2.9,5923.52
"4","MIDEA","KFR-26GW/Y",0.93,0.89,1817.96
"6","HYUNDAI","WSH-188BA",1.9,1.88,3807.68
"7","DAIKIN","FTY60G***+ RY60G***",2.46,2.47,4984.36
"8","DAIKIN","FVY353C***+RY353***",1.63,1.51,3110.68
"10","DAIKIN","FVY453C***+RY453***",2.1,2.01,4105.56
"11","DAIKIN","FTY50G***+RY50G***",2.08,1.92,3959.04
"12","DAIKIN","FTX50H***+RX50H***",2.12,2.5,4858.48
"13","DAIKIN","FTX25Hxxx/RX25Hxxx",0.96,1.04,2060.48
"14","CHUNLAN","KFR-32GW",1.2,1.22,2454.32
"16","CHUNLAN","KFR-27GW",1.12,1.14,2292.72
"18","CHUNLAN","KFR-50GW",1.9,2,3989.6
"19","DAIKIN","FLX60J***/RXD60J***",1.99,2,4034.96
"20","CHUNLAN","KFR-35GW",1.28,1.33,2661.4
"21","DAIKIN","FTXD50J***/RXD50J***",1.73,1.91,3767.48
"23","DAIKIN","FTXD60J***/RXD60J***",2.21,2.12,4327.76
"24","SPLENDID","11-0HP",1.35,1.35,2727
"25","CHUNLAN","KFR-70GW",2.75,2.75,5555
"26","CHUNLAN","STARWAY",2.75,2.75,5555
"28","NEC","RH129",1.35,1.15,2423.8
"29","LG","LWC1262AHG",1.35,1.15,2423.8
"30","CHUNLAN","KFR-22GW",0.85,0.88,1762.48
"31","LG","LWC122RH-1",1.35,1.15,2423.8
"32","SHARP","AY-A249J/AE-A249J",3,3.05,6135.8
"33","SHARP","AY-A184J/AE-A184J",2.22,2.21,4469.24
"34","SHARP","AY-A099J/AE-A099J",0.98,0.93,1903.8
"36","CHUNLAN","KFR-60GW",2.48,2.35,4812.52
"38","FUJITSU","AST14RSH-W/AOT14RNA",1.7,1.8,3585.6
"39","MITSUBISHI ELECTRIC","MSH-07RV/MUH-07RV",0.75,0.72,1469.52
"41","MIDEA","KFR-26GW/I1Y",0.97,0.97,1959.4
"42","MITSUBISHI ELECTRIC","MCFH-13NV/MUCFH-13NV",1.42,1.25,2610.68
"46","EMAILAIR","MAY90RCE",1.01,0.93,1918.92
"47","EMAILAIR","ELECTRA KCR-25E",1.01,0.93,1918.92
"48","KIA","KSH-098BA",0.87,0.88,1772.56
"49","HISENSE","KFR-25GWE",1.04,1.33,2540.44
"50","LG","LWC0960AHG",1,0.92,1898.72
"51","LG","LSL1260NL",1.33,1.83,3444.6
"52","LG","LS-K2463HL",2.73,2.69,5453.96
"53","LG","LV-B2461HL",2.8,2.69,5489.24
"55","AIRTEMP","HAY212N6G",1.41,1.38,2802.72
"59","LG","LWC1260PHG",1.33,1.19,2474.36
"60","HYUNDAI","WSH-229BA",2.57,2.54,5145.92
"61","LG","LS-K2464HL",2.73,2.69,5453.96
"62","ELECTRA","WMN24RCB",2.45,2.45,4949
"63","ELECTRA","EMAILAIR WS/CWS066HB",2.45,2.45,4949
"67","ADSAKA","KFR-60GW",2.48,2.35,4812.52
"68","EMAILAIR","WS/CWS026HA",1,0.99,2004.84
"69","EMAILAIR","ELECTRA WMN9RCA",1,0.99,2004.84
"70","EMAILAIR","WS/CWS034HA",1.25,1.33,2646.28
"71","EMAILAIR","ELECTRA WMN12RCA",1.25,1.33,2646.28
"72","AIRWELL","SX18RC",2.3,2.13,4388.28
"73","ADSAKA","KFR-50GW",1.9,2,3989.6
"74","AIRWELL","SX24RC",2.71,2.49,5140.68
"75","TOSHIBA","RAS-10YKH-E / 10YAH-E",1.02,0.95,1954.28
"76","TOSHIBA","RAS-24UKH-E / 24UAH-EA",2.6,2.59,5236.84
"77","TOSHIBA","RAS-18UKH-E / 18UAH-EA",2.04,2,4060.16
"83","FUJITSU GENERAL","AUT25RLC-W/AOT25RZCL",2.8,2.6,5352.8
"84","FUJITSU GENERAL","ABT18RGA-W/AOT18RZAL",2.24,2.12,4342.88
"87","FUJITSU GENERAL","ART25RLA/AOT25RZAL",2.86,2.65,5458.84
"90","FUJITSU GENERAL","AUT18RGA/AOT18RZCL",2.01,2.01,4060.2
"92","MIDEA","KFR-23GW/I1Y",0.88,0.93,1853.4
"93","MIDEA","KFR-53GW/Y",2,1.92,3918.72
"94","MIDEA","KFR-36GWY",1.5,1.65,3257.4
"99","AIRTEMP","HAY318N6G",2.08,2.09,4216.76
"100","AIRTEMP","HAY109N6G",1.07,1.07,2161.4
"101","AIRTEMP","HAE418N6E/HAC418N6G",2.08,1.9,3928.72
"102","AIRTEMP","HAE109N6E/HAC109N6B",0.93,0.93,1878.6
"104","FUJITSU","AST20RGA-W/AOT20RZAL",2.28,1.96,4120.48
"105","MITSUBISHI ELECTRIC","MWH-17KV",2.8,2.6,5352.8
"112","MITSUBISHI ELECTRIC","MSH-24RV/MUH-24RV",2.73,2.69,5453.96
