"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH"
"1","MIDEA","KFR-61GW/Y",2.65,2.4,5285.9
"2","MIDEA","KFR-26GW/Y",0.93,0.9,1914
"3","MIDEA","KFR-70GW/Y",3.03,2.9,6203
"4","MIDEA","KFR-26GW/Y",0.93,0.89,1903.79
"6","HYUNDAI","WSH-188BA",1.9,1.88,3952.48
"7","DAIKIN","FTY60G***+ RY60G***",2.46,2.47,5154.07
"8","DAIKIN","FVY353C***+RY353***",1.63,1.51,3285.81
"10","DAIKIN","FVY453C***+RY453***",2.1,2.01,4299.21
"11","DAIKIN","FTY50G***+RY50G***",2.08,1.92,4185.92
"12","DAIKIN","FTX50H***+RX50H***",2.12,2.5,4820.9
"13","DAIKIN","FTX25Hxxx/RX25Hxxx",0.96,1.04,2089.04
"14","CHUNLAN","KFR-32GW",1.2,1.22,2529.62
"16","CHUNLAN","KFR-27GW",1.12,1.14,2362.34
"18","CHUNLAN","KFR-50GW",1.9,2,4075
"19","DAIKIN","FLX60J***/RXD60J***",1.99,2,4171.3
"20","CHUNLAN","KFR-35GW",1.28,1.33,2727.53
"21","DAIKIN","FTXD50J***/RXD50J***",1.73,1.91,3801.21
"23","DAIKIN","FTXD60J***/RXD60J***",2.21,2.12,4529.22
"24","SPLENDID","11-0HP",1.35,1.35,2822.85
"25","CHUNLAN","KFR-70GW",2.75,2.75,5750.25
"26","CHUNLAN","STARWAY",2.75,2.75,5750.25
"28","NEC","RH129",1.35,1.15,2618.65
"29","LG","LWC1262AHG",1.35,1.15,2618.65
"30","CHUNLAN","KFR-22GW",0.85,0.88,1807.98
"31","LG","LWC122RH-1",1.35,1.15,2618.65
"32","SHARP","AY-A249J/AE-A249J",3,3.05,6324.05
"33","SHARP","AY-A184J/AE-A184J",2.22,2.21,4631.81
"34","SHARP","AY-A099J/AE-A099J",0.98,0.93,1998.13
"36","CHUNLAN","KFR-60GW",2.48,2.35,5052.95
"38","FUJITSU","AST14RSH-W/AOT14RNA",1.7,1.8,3656.8
"39","MITSUBISHI ELECTRIC","MSH-07RV/MUH-07RV",0.75,0.72,1537.62
"41","MIDEA","KFR-26GW/I1Y",0.97,0.97,2028.27
"42","MITSUBISHI ELECTRIC","MCFH-13NV/MUCFH-13NV",1.42,1.25,2795.65
"46","EMAILAIR","MAY90RCE",1.01,0.93,2030.23
"47","EMAILAIR","ELECTRA KCR-25E",1.01,0.93,2030.23
"48","KIA","KSH-098BA",0.87,0.88,1829.38
"49","HISENSE","KFR-25GWE",1.04,1.33,2470.73
"50","LG","LWC0960AHG",1,0.92,2009.32
"51","LG","LSL1260NL",1.33,1.83,3291.53
"52","LG","LS-K2463HL",2.73,2.69,5667.59
