"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH"
"1","MIDEA","KFR-61GW/Y",2.65,2.4,6834.65
"2","MIDEA","KFR-26GW/Y",0.93,0.9,2555.79
"3","MIDEA","KFR-70GW/Y",3.03,2.9,8239.09
"4","MIDEA","KFR-26GW/Y",0.93,0.89,2528.56
"6","HYUNDAI","WSH-188BA",1.9,1.88,5333.94
"7","DAIKIN","FTY60G***+ RY60G***",2.46,2.47,7003.79
"8","DAIKIN","FVY353C***+RY353***",1.63,1.51,4295.92
"10","DAIKIN","FVY453C***+RY453***",2.1,2.01,5710.53
"11","DAIKIN","FTY50G***+RY50G***",2.08,1.92,5463.2
"12","DAIKIN","FTX50H***+RX50H***",2.12,2.5,7047.06
"13","DAIKIN","FTX25Hxxx/RX25Hxxx",0.96,1.04,2940.4
"14","CHUNLAN","KFR-32GW",1.2,1.22,3457.66
"16","CHUNLAN","KFR-27GW",1.12,1.14,3230.78
"18","CHUNLAN","KFR-50GW",1.9,2,5660.7
"19","DAIKIN","FLX60J***/RXD60J***",1.99,2,5670.87
"20","CHUNLAN","KFR-35GW",1.28,1.33,3766.23
"21","DAIKIN","FTXD50J***/RXD50J***",1.73,1.91,5396.42
"23","DAIKIN","FTXD60J***/RXD60J***",2.21,2.12,6022.49
"24","SPLENDID","11-0HP",1.35,1.35,3828.6
"25","CHUNLAN","KFR-70GW",2.75,2.75,7799
"26","CHUNLAN","STARWAY",2.75,2.75,7799
"28","NEC","RH129",1.35,1.15,3284
"29","LG","LWC1262AHG",1.35,1.15,3284
"30","CHUNLAN","KFR-22GW",0.85,0.88,2492.29
"31","LG","LWC122RH-1",1.35,1.15,3284
"32","SHARP","AY-A249J/AE-A249J",3,3.05,8644.15
"33","SHARP","AY-A184J/AE-A184J",2.22,2.21,6268.69
"34","SHARP","AY-A099J/AE-A099J",0.98,0.93,2643.13
"36","CHUNLAN","KFR-60GW",2.48,2.35,6679.29
"38","FUJITSU","AST14RSH-W/AOT14RNA",1.7,1.8,5093.5
"39","MITSUBISHI ELECTRIC","MSH-07RV/MUH-07RV",0.75,0.72,2045.31
