"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH"
"1","MIDEA","KFR-61GW/Y",2.65,2.4,12591.5
"2","MIDEA","KFR-26GW/Y",0.93,0.9,4717.86
"3","MIDEA","KFR-70GW/Y",3.03,2.9,15204.06
"4","MIDEA","KFR-26GW/Y",0.93,0.89,4666.08
"6","HYUNDAI","WSH-188BA",1.9,1.88,9852.44
"7","DAIKIN","FTY60G***+ RY60G***",2.46,2.47,12942.18
"8","DAIKIN","FVY353C***+RY353***",1.63,1.51,7919.84
"10","DAIKIN","FVY453C***+RY453***",2.1,2.01,10537.98
"11","DAIKIN","FTY50G***+RY50G***",2.08,1.92,10070.72
"12","DAIKIN","FTX50H***+RX50H***",2.12,2.5,13076.44
"13","DAIKIN","FTX25Hxxx/RX25Hxxx",0.96,1.04,5444.64
"14","CHUNLAN","KFR-32GW",1.2,1.22,6391.56
"16","CHUNLAN","KFR-27GW",1.12,1.14,5972.36
"18","CHUNLAN","KFR-50GW",1.9,2,10473.8
"19","DAIKIN","FLX60J***/RXD60J***",1.99,2,10479.38
"20","CHUNLAN","KFR-35GW",1.28,1.33,6966.1
"21","DAIKIN","FTXD50J***/RXD50J***",1.73,1.91,9997.24
"23","DAIKIN","FTXD60J***/RXD60J***",2.21,2.12,11114.38
"24","SPLENDID","11-0HP",1.35,1.35,7074
"25","CHUNLAN","KFR-70GW",2.75,2.75,14410
"26","CHUNLAN","STARWAY",2.75,2.75,14410
"28","NEC","RH129",1.35,1.15,6038.4
"29","LG","LWC1262AHG",1.35,1.15,6038.4
"30","CHUNLAN","KFR-22GW",0.85,0.88,4609.34
"31","LG","LWC122RH-1",1.35,1.15,6038.4
"32","SHARP","AY-A249J/AE-A249J",3,3.05,15978.9
"33","SHARP","AY-A184J/AE-A184J",2.22,2.21,11581.02
"34","SHARP","AY-A099J/AE-A099J",0.98,0.93,4876.3
"36","CHUNLAN","KFR-60GW",2.48,2.35,12322.06
"38","FUJITSU","AST14RSH-W/AOT14RNA",1.7,1.8,9425.8
