"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH"
"1","MIDEA","KFR-61GW/Y",2.65,2.4,5709.65
"2","MIDEA","KFR-26GW/Y",0.93,0.9,2016.87
"3","MIDEA","KFR-70GW/Y",3.03,2.9,6563.77
"4","MIDEA","KFR-26GW/Y",0.93,0.89,2014.6
"6","HYUNDAI","WSH-188BA",1.9,1.88,4129.86
"7","DAIKIN","FTY60G***+ RY60G***",2.46,2.47,5355.23
"8","DAIKIN","FVY353C***+RY353***",1.63,1.51,3519.64
"10","DAIKIN","FVY453C***+RY453***",2.1,2.01,4549.17
"11","DAIKIN","FTY50G***+RY50G***",2.08,1.92,4489.76
"12","DAIKIN","FTX50H***+RX50H***",2.12,2.5,4699.38
"13","DAIKIN","FTX25Hxxx/RX25Hxxx",0.96,1.04,2107.12
"14","CHUNLAN","KFR-32GW",1.2,1.22,2615.74
"16","CHUNLAN","KFR-27GW",1.12,1.14,2441.66
"18","CHUNLAN","KFR-50GW",1.9,2,4157.1
"19","DAIKIN","FLX60J***/RXD60J***",1.99,2,4332.51
"20","CHUNLAN","KFR-35GW",1.28,1.33,2796.63
"21","DAIKIN","FTXD50J***/RXD50J***",1.73,1.91,3805.34
"23","DAIKIN","FTXD60J***/RXD60J***",2.21,2.12,4788.53
"24","SPLENDID","11-0HP",1.35,1.35,2937.6
"25","CHUNLAN","KFR-70GW",2.75,2.75,5984
"26","CHUNLAN","STARWAY",2.75,2.75,5984
"28","NEC","RH129",1.35,1.15,2892.2
"29","LG","LWC1262AHG",1.35,1.15,2892.2
"30","CHUNLAN","KFR-22GW",0.85,0.88,1856.41
"31","LG","LWC122RH-1",1.35,1.15,2892.2
"32","SHARP","AY-A249J/AE-A249J",3,3.05,6539.35
"33","SHARP","AY-A184J/AE-A184J",2.22,2.21,4828.45
"34","SHARP","AY-A099J/AE-A099J",0.98,0.93,2121.13
"36","CHUNLAN","KFR-60GW",2.48,2.35,5366.97
"38","FUJITSU","AST14RSH-W/AOT14RNA",1.7,1.8,3721.9
"39","MITSUBISHI ELECTRIC","MSH-07RV/MUH-07RV",0.75,0.72,1625.19
"41","MIDEA","KFR-26GW/I1Y",0.97,0.97,2110.72
"42","MITSUBISHI ELECTRIC","MCFH-13NV/MUCFH-13NV",1.42,1.25,3051.33
"46","EMAILAIR","MAY90RCE",1.01,0.93,2179.6
"47","EMAILAIR","ELECTRA KCR-25E",1.01,0.93,2179.6
"48","KIA","KSH-098BA",0.87,0.88,1895.39
"49","HISENSE","KFR-25GWE",1.04,1.33,2328.87
"50","LG","LWC0960AHG",1,0.92,2157.84
"51","LG","LSL1260NL",1.33,1.83,3007.58
"52","LG","LS-K2463HL",2.73,2.69,5931.4
"53","LG","LV-B2461HL",2.8,2.69,6067.83
"55","AIRTEMP","HAY212N6G",1.41,1.38,3061.35
"59","LG","LWC1260PHG",1.33,1.19,2862.3
"60","HYUNDAI","WSH-229BA",2.57,2.54,5585.51
"61","LG","LS-K2464HL",2.73,2.69,5931.4
"62","ELECTRA","WMN24RCB",2.45,2.45,5331.2
"63","ELECTRA","EMAILAIR WS/CWS066HB",2.45,2.45,5331.2
"67","ADSAKA","KFR-60GW",2.48,2.35,5366.97
"68","EMAILAIR","WS/CWS026HA",1,0.99,2173.73
"69","EMAILAIR","ELECTRA WMN9RCA",1,0.99,2173.73
"70","EMAILAIR","WS/CWS034HA",1.25,1.33,2738.16
"71","EMAILAIR","ELECTRA WMN12RCA",1.25,1.33,2738.16
"72","AIRWELL","SX18RC",2.3,2.13,4966.21
"73","ADSAKA","KFR-50GW",1.9,2,4157.1
"74","AIRWELL","SX24RC",2.71,2.49,5847.02
