"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH"
"1","MIDEA","KFR-61GW/Y",2.65,2.4,12595.4
"2","MIDEA","KFR-26GW/Y",0.93,0.9,4425.18
"3","MIDEA","KFR-70GW/Y",3.03,2.9,14414.78
"4","MIDEA","KFR-26GW/Y",0.93,0.89,4424.33
"6","HYUNDAI","WSH-188BA",1.9,1.88,9044.2
"7","DAIKIN","FTY60G***+ RY60G***",2.46,2.47,11712.91
"8","DAIKIN","FVY353C***+RY353***",1.63,1.51,7750.23
"10","DAIKIN","FVY453C***+RY453***",2.1,2.01,9990.45
"11","DAIKIN","FTY50G***+RY50G***",2.08,1.92,9889.28
"12","DAIKIN","FTX50H***+RX50H***",2.12,2.5,10125.62
"13","DAIKIN","FTX25Hxxx/RX25Hxxx",0.96,1.04,4577.36
"14","CHUNLAN","KFR-32GW",1.2,1.22,5714.9
"16","CHUNLAN","KFR-27GW",1.12,1.14,5334.02
"18","CHUNLAN","KFR-50GW",1.9,2,9054.4
"19","DAIKIN","FLX60J***/RXD60J***",1.99,2,9475.24
"20","CHUNLAN","KFR-35GW",1.28,1.33,6098.33
"21","DAIKIN","FTXD50J***/RXD50J***",1.73,1.91,8251.83
"23","DAIKIN","FTXD60J***/RXD60J***",2.21,2.12,10514.16
"24","SPLENDID","11-0HP",1.35,1.35,6427.35
"25","CHUNLAN","KFR-70GW",2.75,2.75,13092.75
"26","CHUNLAN","STARWAY",2.75,2.75,13092.75
"28","NEC","RH129",1.35,1.15,6410.35
"29","LG","LWC1262AHG",1.35,1.15,6410.35
"30","CHUNLAN","KFR-22GW",0.85,0.88,4049.4
"31","LG","LWC122RH-1",1.35,1.15,6410.35
"32","SHARP","AY-A249J/AE-A249J",3,3.05,14287.25
"33","SHARP","AY-A184J/AE-A184J",2.22,2.21,10568.57
"34","SHARP","AY-A099J/AE-A099J",0.98,0.93,4661.53
"36","CHUNLAN","KFR-60GW",2.48,2.35,11796.23
"38","FUJITSU","AST14RSH-W/AOT14RNA",1.7,1.8,8102.2
"39","MITSUBISHI ELECTRIC","MSH-07RV/MUH-07RV",0.75,0.72,3568.2
"41","MIDEA","KFR-26GW/I1Y",0.97,0.97,4618.17
"42","MITSUBISHI ELECTRIC","MCFH-13NV/MUCFH-13NV",1.42,1.25,6746.17
"46","EMAILAIR","MAY90RCE",1.01,0.93,4801.81
"47","EMAILAIR","ELECTRA KCR-25E",1.01,0.93,4801.81
"48","KIA","KSH-098BA",0.87,0.88,4142.92
"49","HISENSE","KFR-25GWE",1.04,1.33,4976.09
"50","LG","LWC0960AHG",1,0.92,4754.2
"51","LG","LSL1260NL",1.33,1.83,6374.63
"52","LG","LS-K2463HL",2.73,2.69,12994.13
"53","LG","LV-B2461HL",2.8,2.69,13321.45
"55","AIRTEMP","HAY212N6G",1.41,1.38,6710.46
"59","LG","LWC1260PHG",1.33,1.19,6320.23
"60","HYUNDAI","WSH-229BA",2.57,2.54,12233.22
"61","LG","LS-K2464HL",2.73,2.69,12994.13
"62","ELECTRA","WMN24RCB",2.45,2.45,11664.45
"63","ELECTRA","EMAILAIR WS/CWS066HB",2.45,2.45,11664.45
"67","ADSAKA","KFR-60GW",2.48,2.35,11796.23
"68","EMAILAIR","WS/CWS026HA",1,0.99,4760.15
"69","EMAILAIR","ELECTRA WMN9RCA",1,0.99,4760.15
"70","EMAILAIR","WS/CWS034HA",1.25,1.33,5958.05
"71","EMAILAIR","ELECTRA WMN12RCA",1.25,1.33,5958.05
"72","AIRWELL","SX18RC",2.3,2.13,10935.85
"73","ADSAKA","KFR-50GW",1.9,2,9054.4
"74","AIRWELL","SX24RC",2.71,2.49,12883.61
"75","TOSHIBA","RAS-10YKH-E / 10YAH-E",1.02,0.95,4850.27
"76","TOSHIBA","RAS-24UKH-E / 24UAH-EA",2.6,2.59,12377.75
"77","TOSHIBA","RAS-18UKH-E / 18UAH-EA",2.04,2,9709.04
"83","FUJITSU GENERAL","AUT25RLC-W/AOT25RZCL",2.8,2.6,13313.8
"84","FUJITSU GENERAL","ABT18RGA-W/AOT18RZAL",2.24,2.12,10654.44
"87","FUJITSU GENERAL","ART25RLA/AOT25RZAL",2.86,2.65,13598.61
"90","FUJITSU GENERAL","AUT18RGA/AOT18RZCL",2.01,2.01,9569.61
"92","MIDEA","KFR-23GW/I1Y",0.88,0.93,4193.93
"93","MIDEA","KFR-53GW/Y",2,1.92,9515.2
"94","MIDEA","KFR-36GWY",1.5,1.65,7154.25
"99","AIRTEMP","HAY318N6G",2.08,2.09,9903.73
"100","AIRTEMP","HAY109N6G",1.07,1.07,5094.27
"101","AIRTEMP","HAE418N6E/HAC418N6G",2.08,1.9,9887.58
"102","AIRTEMP","HAE109N6E/HAC109N6B",0.93,0.93,4427.73
"104","FUJITSU","AST20RGA-W/AOT20RZAL",2.28,1.96,10827.88
"105","MITSUBISHI ELECTRIC","MWH-17KV",2.8,2.6,13313.8
"112","MITSUBISHI ELECTRIC","MSH-24RV/MUH-24RV",2.73,2.69,12994.13
"114","FUJITSU","AST7RSCCW/AOT7RSCC",0.77,0.72,3661.72
"115","GENERAL ELECTRIC","ASIAH18EWI",1.84,1.87,8762.79
"116","MITSUBISHI ELECTRIC","MWH-12KV",1.72,1.56,8175.32
"117","MITSUBISHI ELECTRIC","MSZ-G12SV/MUZ-G12SV",1.36,1.63,6497.91
"119","HOTPOINT","HPS 125R",1.1,1.07,5234.55
"120","FUJITSU GENERAL","AST24RGB-W/AOT24RNAL/AOT24RNCLST24RGB-W/A",2.61,2.7,12433.86
"122","MITSUBISHI ELECTRIC","MSH-12RV/MUH-12RV",1.32,1.4,6291.32
"124","MITSUBISHI ELECTRIC","MSH-09RV/MUH-09RV",0.95,0.97,4524.65
"125","AIRTEMP","HAY107N6G",0.82,0.82,3904.02
"127","MITSUBISHI ELECTRIC","MWH-08MV",1.02,0.87,4843.47
"128","MHI","SRT403HENF-L",1.38,1.39,6571.03
"132","CARRIER","53G150H",1.32,1.35,6287.07
"137","CARRIER","53G225H",1.88,1.8,8943.88
"138","CARRIER","53G100H",0.96,0.96,4570.56
