"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH"
"1","MIDEA","KFR-61GW/Y",2.65,2.4,11445.65
"2","MIDEA","KFR-26GW/Y",0.93,0.9,4024.05
"3","MIDEA","KFR-70GW/Y",3.03,2.9,13106.55
"4","MIDEA","KFR-26GW/Y",0.93,0.89,4022.79
"6","HYUNDAI","WSH-188BA",1.9,1.88,8226.38
"7","DAIKIN","FTY60G***+ RY60G***",2.46,2.47,10655.52
"8","DAIKIN","FVY353C***+RY353***",1.63,1.51,7044.41
"10","DAIKIN","FVY453C***+RY453***",2.1,2.01,9083.76
"11","DAIKIN","FTY50G***+RY50G***",2.08,1.92,8988.32
"12","DAIKIN","FTX50H***+RX50H***",2.12,2.5,9229.6
"13","DAIKIN","FTX25Hxxx/RX25Hxxx",0.96,1.04,4167.84
"14","CHUNLAN","KFR-32GW",1.2,1.22,5199.72
"16","CHUNLAN","KFR-27GW",1.12,1.14,4853.24
"18","CHUNLAN","KFR-50GW",1.9,2,8241.5
"19","DAIKIN","FLX60J***/RXD60J***",1.99,2,8619.95
"20","CHUNLAN","KFR-35GW",1.28,1.33,5549.98
"21","DAIKIN","FTXD50J***/RXD50J***",1.73,1.91,7515.31
"23","DAIKIN","FTXD60J***/RXD60J***",2.21,2.12,9560.17
"24","SPLENDID","11-0HP",1.35,1.35,5846.85
"25","CHUNLAN","KFR-70GW",2.75,2.75,11910.25
"26","CHUNLAN","STARWAY",2.75,2.75,11910.25
"28","NEC","RH129",1.35,1.15,5821.65
"29","LG","LWC1262AHG",1.35,1.15,5821.65
"30","CHUNLAN","KFR-22GW",0.85,0.88,3685.13
"31","LG","LWC122RH-1",1.35,1.15,5821.65
"32","SHARP","AY-A249J/AE-A249J",3,3.05,12999.3
"33","SHARP","AY-A184J/AE-A184J",2.22,2.21,9613.56
"34","SHARP","AY-A099J/AE-A099J",0.98,0.93,4238.08
"36","CHUNLAN","KFR-60GW",2.48,2.35,10724.5
"38","FUJITSU","AST14RSH-W/AOT14RNA",1.7,1.8,7375.3
"39","MITSUBISHI ELECTRIC","MSH-07RV/MUH-07RV",0.75,0.72,3244.47
"41","MIDEA","KFR-26GW/I1Y",0.97,0.97,4201.07
"42","MITSUBISHI ELECTRIC","MCFH-13NV/MUCFH-13NV",1.42,1.25,6128.6
"46","EMAILAIR","MAY90RCE",1.01,0.93,4364.23
"47","EMAILAIR","ELECTRA KCR-25E",1.01,0.93,4364.23
"48","KIA","KSH-098BA",0.87,0.88,3769.23
"49","HISENSE","KFR-25GWE",1.04,1.33,4540.78
"50","LG","LWC0960AHG",1,0.92,4320.92
"51","LG","LSL1260NL",1.33,1.83,5823.23
"52","LG","LS-K2463HL",2.73,2.69,11818.59
"53","LG","LV-B2461HL",2.8,2.69,12112.94
"55","AIRTEMP","HAY212N6G",1.41,1.38,6102.93
"59","LG","LWC1260PHG",1.33,1.19,5742.59
"60","HYUNDAI","WSH-229BA",2.57,2.54,11126.89
"61","LG","LS-K2464HL",2.73,2.69,11818.59
"62","ELECTRA","WMN24RCB",2.45,2.45,10610.95
"63","ELECTRA","EMAILAIR WS/CWS066HB",2.45,2.45,10610.95
"67","ADSAKA","KFR-60GW",2.48,2.35,10724.5
"68","EMAILAIR","WS/CWS026HA",1,0.99,4329.74
"69","EMAILAIR","ELECTRA WMN9RCA",1,0.99,4329.74
"70","EMAILAIR","WS/CWS034HA",1.25,1.33,5423.83
"71","EMAILAIR","ELECTRA WMN12RCA",1.25,1.33,5423.83
"72","AIRWELL","SX18RC",2.3,2.13,9939.88
"73","ADSAKA","KFR-50GW",1.9,2,8241.5
"74","AIRWELL","SX24RC",2.71,2.49,11709.29
"75","TOSHIBA","RAS-10YKH-E / 10YAH-E",1.02,0.95,4408.8
"76","TOSHIBA","RAS-24UKH-E / 24UAH-EA",2.6,2.59,11259.34
"77","TOSHIBA","RAS-18UKH-E / 18UAH-EA",2.04,2,8830.2
"83","FUJITSU GENERAL","AUT25RLC-W/AOT25RZCL",2.8,2.6,12101.6
"84","FUJITSU GENERAL","ABT18RGA-W/AOT18RZAL",2.24,2.12,9686.32
"87","FUJITSU GENERAL","ART25RLA/AOT25RZAL",2.86,2.65,12360.2
"90","FUJITSU GENERAL","AUT18RGA/AOT18RZCL",2.01,2.01,8705.31
"92","MIDEA","KFR-23GW/I1Y",0.88,0.93,3817.58
"93","MIDEA","KFR-53GW/Y",2,1.92,8651.92
"94","MIDEA","KFR-36GWY",1.5,1.65,6515.4
