"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH"
"1","MIDEA","KFR-61GW/Y",2.65,2.4,6579.55
"2","MIDEA","KFR-26GW/Y",0.93,0.9,2440.11
"3","MIDEA","KFR-70GW/Y",3.03,2.9,7876.81
"4","MIDEA","KFR-26GW/Y",0.93,0.89,2417.41
"6","HYUNDAI","WSH-188BA",1.9,1.88,5078.9
"7","DAIKIN","FTY60G***+ RY60G***",2.46,2.47,6657.32
"8","DAIKIN","FVY353C***+RY353***",1.63,1.51,4123.71
"10","DAIKIN","FVY453C***+RY453***",2.1,2.01,5459.4
"11","DAIKIN","FTY50G***+RY50G***",2.08,1.92,5246.56
"12","DAIKIN","FTX50H***+RX50H***",2.12,2.5,6580.24
"13","DAIKIN","FTX25Hxxx/RX25Hxxx",0.96,1.04,2770.72
"14","CHUNLAN","KFR-32GW",1.2,1.22,3281.8
"16","CHUNLAN","KFR-27GW",1.12,1.14,3066.04
"18","CHUNLAN","KFR-50GW",1.9,2,5351.3
"19","DAIKIN","FLX60J***/RXD60J***",1.99,2,5389.73
"20","CHUNLAN","KFR-35GW",1.28,1.33,3565.66
"21","DAIKIN","FTXD50J***/RXD50J***",1.73,1.91,5074.41
"23","DAIKIN","FTXD60J***/RXD60J***",2.21,2.12,5756.07
"24","SPLENDID","11-0HP",1.35,1.35,3640.95
"25","CHUNLAN","KFR-70GW",2.75,2.75,7416.75
"26","CHUNLAN","STARWAY",2.75,2.75,7416.75
"28","NEC","RH129",1.35,1.15,3186.95
"29","LG","LWC1262AHG",1.35,1.15,3186.95
"30","CHUNLAN","KFR-22GW",0.85,0.88,2360.55
"31","LG","LWC122RH-1",1.35,1.15,3186.95
"32","SHARP","AY-A249J/AE-A249J",3,3.05,8204.5
"33","SHARP","AY-A184J/AE-A184J",2.22,2.21,5964.64
"34","SHARP","AY-A099J/AE-A099J",0.98,0.93,2529.56
"36","CHUNLAN","KFR-60GW",2.48,2.35,6393.46
"38","FUJITSU","AST14RSH-W/AOT14RNA",1.7,1.8,4811.9
"39","MITSUBISHI ELECTRIC","MSH-07RV/MUH-07RV",0.75,0.72,1954.65
"41","MIDEA","KFR-26GW/I1Y",0.97,0.97,2616.09
"42","MITSUBISHI ELECTRIC","MCFH-13NV/MUCFH-13NV",1.42,1.25,3443.84
"46","EMAILAIR","MAY90RCE",1.01,0.93,2542.37
