"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH"
"1","MIDEA","KFR-61GW/Y",2.65,2.4,9425.35
"2","MIDEA","KFR-26GW/Y",0.93,0.9,3364.23
"3","MIDEA","KFR-70GW/Y",3.03,2.9,10929.33
"4","MIDEA","KFR-26GW/Y",0.93,0.89,3354.45
"6","HYUNDAI","WSH-188BA",1.9,1.88,6913.54
"7","DAIKIN","FTY60G***+ RY60G***",2.46,2.47,8986.32
"8","DAIKIN","FVY353C***+RY353***",1.63,1.51,5830.51
"10","DAIKIN","FVY453C***+RY453***",2.1,2.01,7574.88
"11","DAIKIN","FTY50G***+RY50G***",2.08,1.92,7433.44
"12","DAIKIN","FTX50H***+RX50H***",2.12,2.5,8107.52
"13","DAIKIN","FTX25Hxxx/RX25Hxxx",0.96,1.04,3581.28
"14","CHUNLAN","KFR-32GW",1.2,1.22,4398.36
"16","CHUNLAN","KFR-27GW",1.12,1.14,4106.44
"18","CHUNLAN","KFR-50GW",1.9,2,7030.9
"19","DAIKIN","FLX60J***/RXD60J***",1.99,2,7271.29
"20","CHUNLAN","KFR-35GW",1.28,1.33,4719.62
"21","DAIKIN","FTXD50J***/RXD50J***",1.73,1.91,6488.81
"23","DAIKIN","FTXD60J***/RXD60J***",2.21,2.12,7976.27
"24","SPLENDID","11-0HP",1.35,1.35,4926.15
"25","CHUNLAN","KFR-70GW",2.75,2.75,10034.75
"26","CHUNLAN","STARWAY",2.75,2.75,10034.75
"28","NEC","RH129",1.35,1.15,4730.55
"29","LG","LWC1262AHG",1.35,1.15,4730.55
"30","CHUNLAN","KFR-22GW",0.85,0.88,3130.99
"31","LG","LWC122RH-1",1.35,1.15,4730.55
"32","SHARP","AY-A249J/AE-A249J",3,3.05,10995.9
"33","SHARP","AY-A184J/AE-A184J",2.22,2.21,8091
"34","SHARP","AY-A099J/AE-A099J",0.98,0.93,3527.12
"36","CHUNLAN","KFR-60GW",2.48,2.35,8922.38
"38","FUJITSU","AST14RSH-W/AOT14RNA",1.7,1.8,6301.1
"39","MITSUBISHI ELECTRIC","MSH-07RV/MUH-07RV",0.75,0.72,2707.41
"41","MIDEA","KFR-26GW/I1Y",0.97,0.97,3539.53
"42","MITSUBISHI ELECTRIC","MCFH-13NV/MUCFH-13NV",1.42,1.25,5015.32
"46","EMAILAIR","MAY90RCE",1.01,0.93,3607.25
"47","EMAILAIR","ELECTRA KCR-25E",1.01,0.93,3607.25
"48","KIA","KSH-098BA",0.87,0.88,3184.41
"49","HISENSE","KFR-25GWE",1.04,1.33,4078.58
"50","LG","LWC0960AHG",1,0.92,3570.76
"51","LG","LSL1260NL",1.33,1.83,5342.17
"52","LG","LS-K2463HL",2.73,2.69,9922.65
"53","LG","LV-B2461HL",2.8,2.69,10109.62
"55","AIRTEMP","HAY212N6G",1.41,1.38,5115.75
"59","LG","LWC1260PHG",1.33,1.19,4716.25
"60","HYUNDAI","WSH-229BA",2.57,2.54,9348.59
"61","LG","LS-K2464HL",2.73,2.69,9922.65
"62","ELECTRA","WMN24RCB",2.45,2.45,8940.05
"63","ELECTRA","EMAILAIR WS/CWS066HB",2.45,2.45,8940.05
"67","ADSAKA","KFR-60GW",2.48,2.35,8922.38
"68","EMAILAIR","WS/CWS026HA",1,0.99,3639.22
"69","EMAILAIR","ELECTRA WMN9RCA",1,0.99,3639.22
"70","EMAILAIR","WS/CWS034HA",1.25,1.33,4639.49
"71","EMAILAIR","ELECTRA WMN12RCA",1.25,1.33,4639.49
"72","AIRWELL","SX18RC",2.3,2.13,8226.44
"73","ADSAKA","KFR-50GW",1.9,2,7030.9
"74","AIRWELL","SX24RC",2.71,2.49,9673.63
"75","TOSHIBA","RAS-10YKH-E / 10YAH-E",1.02,0.95,3653.52
"76","TOSHIBA","RAS-24UKH-E / 24UAH-EA",2.6,2.59,9477.62
"77","TOSHIBA","RAS-18UKH-E / 18UAH-EA",2.04,2,7404.84
"83","FUJITSU GENERAL","AUT25RLC-W/AOT25RZCL",2.8,2.6,10021.6
"84","FUJITSU GENERAL","ABT18RGA-W/AOT18RZAL",2.24,2.12,8056.4
"87","FUJITSU GENERAL","ART25RLA/AOT25RZAL",2.86,2.65,10230.76
"90","FUJITSU GENERAL","AUT18RGA/AOT18RZCL",2.01,2.01,7334.49
"92","MIDEA","KFR-23GW/I1Y",0.88,0.93,3260.02
"93","MIDEA","KFR-53GW/Y",2,1.92,7219.76
"94","MIDEA","KFR-36GWY",1.5,1.65,5620.2
"99","AIRTEMP","HAY318N6G",2.08,2.09,7599.7
"100","AIRTEMP","HAY109N6G",1.07,1.07,3904.43
"101","AIRTEMP","HAE418N6E/HAC418N6G",2.08,1.9,7413.88
"102","AIRTEMP","HAE109N6E/HAC109N6B",0.93,0.93,3393.57
"104","FUJITSU","AST20RGA-W/AOT20RZAL",2.28,1.96,8006.76
"105","MITSUBISHI ELECTRIC","MWH-17KV",2.8,2.6,10021.6
"112","MITSUBISHI ELECTRIC","MSH-24RV/MUH-24RV",2.73,2.69,9922.65
"114","FUJITSU","AST7RSCCW/AOT7RSCC",0.77,0.72,2760.83
"115","GENERAL ELECTRIC","ASIAH18EWI",1.84,1.87,6743.5
"116","MITSUBISHI ELECTRIC","MWH-12KV",1.72,1.56,6119.8
"117","MITSUBISHI ELECTRIC","MSZ-G12SV/MUZ-G12SV",1.36,1.63,5226.7
"119","HOTPOINT","HPS 125R",1.1,1.07,3984.56
"120","FUJITSU GENERAL","AST24RGB-W/AOT24RNAL/AOT24RNCLST24RGB-W/A",2.61,2.7,9611.91
"122","MITSUBISHI ELECTRIC","MSH-12RV/MUH-12RV",1.32,1.4,4894.92
"124","MITSUBISHI ELECTRIC","MSH-09RV/MUH-09RV",0.95,0.97,3486.11
"125","AIRTEMP","HAY107N6G",0.82,0.82,2992.18
"127","MITSUBISHI ELECTRIC","MWH-08MV",1.02,0.87,3575.28
"128","MHI","SRT403HENF-L",1.38,1.39,5045.4
"132","CARRIER","53G150H",1.32,1.35,4846.02
"137","CARRIER","53G225H",1.88,1.8,6781.88
"138","CARRIER","53G100H",0.96,0.96,3503.04
"141","HEC","HSU-09HEO4",1.02,1.16,3858.9
"142","MHI","SRK561HENF-A",2.18,2.18,7954.82
"143","MHI","SRK388HENF-A",1.32,1.33,4826.46
"144","MHI","SRK408HENF-A",1.51,1.54,5539.33
"145","MHI","SRK288HENF-A",1.07,0.91,3747.95
"146","MHI","SRK458HENF-A",1.7,1.84,6340.22
"147","MHI","FDKN208H",1.8,1.82,6587.76
"148","MHI","FDKN308H",3.08,2.83,10994.42
"150","MHI","SRK502Z-L",2.22,2.5,8374.62
