"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH"
"1","MIDEA","KFR-61GW/Y",2.65,2.4,11469.95
"2","MIDEA","KFR-26GW/Y",0.93,0.9,4067.97
"3","MIDEA","KFR-70GW/Y",3.03,2.9,13229.87
"4","MIDEA","KFR-26GW/Y",0.93,0.89,4060.58
"6","HYUNDAI","WSH-188BA",1.9,1.88,8341.42
"7","DAIKIN","FTY60G***+ RY60G***",2.46,2.47,10826.47
"8","DAIKIN","FVY353C***+RY353***",1.63,1.51,7080.06
"10","DAIKIN","FVY453C***+RY453***",2.1,2.01,9169.29
"11","DAIKIN","FTY50G***+RY50G***",2.08,1.92,9029.6
"12","DAIKIN","FTX50H***+RX50H***",2.12,2.5,9604.58
"13","DAIKIN","FTX25Hxxx/RX25Hxxx",0.96,1.04,4281.2
"14","CHUNLAN","KFR-32GW",1.2,1.22,5292.38
"16","CHUNLAN","KFR-27GW",1.12,1.14,4940.54
"18","CHUNLAN","KFR-50GW",1.9,2,8430.1
"19","DAIKIN","FLX60J***/RXD60J***",1.99,2,8759.41
"20","CHUNLAN","KFR-35GW",1.28,1.33,5666.39
"21","DAIKIN","FTXD50J***/RXD50J***",1.73,1.91,7741.56
"23","DAIKIN","FTXD60J***/RXD60J***",2.21,2.12,9653.07
"24","SPLENDID","11-0HP",1.35,1.35,5937.3
"25","CHUNLAN","KFR-70GW",2.75,2.75,12094.5
"26","CHUNLAN","STARWAY",2.75,2.75,12094.5
"28","NEC","RH129",1.35,1.15,5789.5
"29","LG","LWC1262AHG",1.35,1.15,5789.5
"30","CHUNLAN","KFR-22GW",0.85,0.88,3760.47
"31","LG","LWC122RH-1",1.35,1.15,5789.5
"32","SHARP","AY-A249J/AE-A249J",3,3.05,13230.95
"33","SHARP","AY-A184J/AE-A184J",2.22,2.21,9756.17
"34","SHARP","AY-A099J/AE-A099J",0.98,0.93,4273.09
"36","CHUNLAN","KFR-60GW",2.48,2.35,10810.97
"38","FUJITSU","AST14RSH-W/AOT14RNA",1.7,1.8,7550.5
"39","MITSUBISHI ELECTRIC","MSH-07RV/MUH-07RV",0.75,0.72,3276.33
"41","MIDEA","KFR-26GW/I1Y",0.97,0.97,4266.06
"42","MITSUBISHI ELECTRIC","MCFH-13NV/MUCFH-13NV",1.42,1.25,6119.53
"46","EMAILAIR","MAY90RCE",1.01,0.93,4382.86
"47","EMAILAIR","ELECTRA KCR-25E",1.01,0.93,4382.86
"48","KIA","KSH-098BA",0.87,0.88,3833.65
