"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH"
"1","MIDEA","KFR-61GW/Y",2.65,2.4,8394.15
"2","MIDEA","KFR-26GW/Y",0.93,0.9,3018.33
"3","MIDEA","KFR-70GW/Y",3.03,2.9,9793.43
"4","MIDEA","KFR-26GW/Y",0.93,0.89,3005.78
"6","HYUNDAI","WSH-188BA",1.9,1.88,6218.3
"7","DAIKIN","FTY60G***+ RY60G***",2.46,2.47,8096.11
"8","DAIKIN","FVY353C***+RY353***",1.63,1.51,5205.58
"10","DAIKIN","FVY453C***+RY453***",2.1,2.01,6787.65
"11","DAIKIN","FTY50G***+RY50G***",2.08,1.92,6634.08
"12","DAIKIN","FTX50H***+RX50H***",2.12,2.5,7443.22
"13","DAIKIN","FTX25Hxxx/RX25Hxxx",0.96,1.04,3254.96
"14","CHUNLAN","KFR-32GW",1.2,1.22,3968.3
"16","CHUNLAN","KFR-27GW",1.12,1.14,3705.42
"18","CHUNLAN","KFR-50GW",1.9,2,6368.9
"19","DAIKIN","FLX60J***/RXD60J***",1.99,2,6551.69
"20","CHUNLAN","KFR-35GW",1.28,1.33,4268.83
"21","DAIKIN","FTXD50J***/RXD50J***",1.73,1.91,5910.68
"23","DAIKIN","FTXD60J***/RXD60J***",2.21,2.12,7149.11
"24","SPLENDID","11-0HP",1.35,1.35,4436.1
"25","CHUNLAN","KFR-70GW",2.75,2.75,9036.5
"26","CHUNLAN","STARWAY",2.75,2.75,9036.5
"28","NEC","RH129",1.35,1.15,4185.1
"29","LG","LWC1262AHG",1.35,1.15,4185.1
"30","CHUNLAN","KFR-22GW",0.85,0.88,2830.75
"31","LG","LWC122RH-1",1.35,1.15,4185.1
"32","SHARP","AY-A249J/AE-A249J",3,3.05,9920.75
"33","SHARP","AY-A184J/AE-A184J",2.22,2.21,7282.37
"34","SHARP","AY-A099J/AE-A099J",0.98,0.93,3157.53
"36","CHUNLAN","KFR-60GW",2.48,2.35,7986.13
"38","FUJITSU","AST14RSH-W/AOT14RNA",1.7,1.8,5711.7
"39","MITSUBISHI ELECTRIC","MSH-07RV/MUH-07RV",0.75,0.72,2426.85
