"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH"
"1","MIDEA","KFR-61GW/Y",2.65,2.4,12155.05
"2","MIDEA","KFR-26GW/Y",0.93,0.9,4265.85
"3","MIDEA","KFR-70GW/Y",3.03,2.9,13898.35
"4","MIDEA","KFR-26GW/Y",0.93,0.89,4265.83
"6","HYUNDAI","WSH-188BA",1.9,1.88,8715.26
"7","DAIKIN","FTY60G***+ RY60G***",2.46,2.47,11284.04
"8","DAIKIN","FVY353C***+RY353***",1.63,1.51,7476.57
"10","DAIKIN","FVY453C***+RY453***",2.1,2.01,9632.52
"11","DAIKIN","FTY50G***+RY50G***",2.08,1.92,9540.64
"12","DAIKIN","FTX50H***+RX50H***",2.12,2.5,9725.2
"13","DAIKIN","FTX25Hxxx/RX25Hxxx",0.96,1.04,4403.68
"14","CHUNLAN","KFR-32GW",1.2,1.22,5504.44
"16","CHUNLAN","KFR-27GW",1.12,1.14,5137.48
"18","CHUNLAN","KFR-50GW",1.9,2,8715.5
"19","DAIKIN","FLX60J***/RXD60J***",1.99,2,9128.15
"20","CHUNLAN","KFR-35GW",1.28,1.33,5871.46
"21","DAIKIN","FTXD50J***/RXD50J***",1.73,1.91,7935.87
"23","DAIKIN","FTXD60J***/RXD60J***",2.21,2.12,10137.09
"24","SPLENDID","11-0HP",1.35,1.35,6192.45
"25","CHUNLAN","KFR-70GW",2.75,2.75,12614.25
"26","CHUNLAN","STARWAY",2.75,2.75,12614.25
"28","NEC","RH129",1.35,1.15,6192.05
"29","LG","LWC1262AHG",1.35,1.15,6192.05
"30","CHUNLAN","KFR-22GW",0.85,0.88,3899.01
"31","LG","LWC122RH-1",1.35,1.15,6192.05
"32","SHARP","AY-A249J/AE-A249J",3,3.05,13761.1
"33","SHARP","AY-A184J/AE-A184J",2.22,2.21,10183.12
"34","SHARP","AY-A099J/AE-A099J",0.98,0.93,4495.16
"36","CHUNLAN","KFR-60GW",2.48,2.35,11375.5
"38","FUJITSU","AST14RSH-W/AOT14RNA",1.7,1.8,7798.1
"39","MITSUBISHI ELECTRIC","MSH-07RV/MUH-07RV",0.75,0.72,3440.19
"41","MIDEA","KFR-26GW/I1Y",0.97,0.97,4449.39
"42","MITSUBISHI ELECTRIC","MCFH-13NV/MUCFH-13NV",1.42,1.25,6513.2
"46","EMAILAIR","MAY90RCE",1.01,0.93,4632.71
"47","EMAILAIR","ELECTRA KCR-25E",1.01,0.93,4632.71
"48","KIA","KSH-098BA",0.87,0.88,3990.71
"49","HISENSE","KFR-25GWE",1.04,1.33,4771.06
"50","LG","LWC0960AHG",1,0.92,4586.84
"51","LG","LSL1260NL",1.33,1.83,6101.71
"52","LG","LS-K2463HL",2.73,2.69,12522.43
"53","LG","LV-B2461HL",2.8,2.69,12843.38
"55","AIRTEMP","HAY212N6G",1.41,1.38,6467.61
"59","LG","LWC1260PHG",1.33,1.19,6100.43
"60","HYUNDAI","WSH-229BA",2.57,2.54,11788.53
"61","LG","LS-K2464HL",2.73,2.69,12522.43
"62","ELECTRA","WMN24RCB",2.45,2.45,11238.15
"63","ELECTRA","EMAILAIR WS/CWS066HB",2.45,2.45,11238.15
"67","ADSAKA","KFR-60GW",2.48,2.35,11375.5
"68","EMAILAIR","WS/CWS026HA",1,0.99,4586.98
"69","EMAILAIR","ELECTRA WMN9RCA",1,0.99,4586.98
"70","EMAILAIR","WS/CWS034HA",1.25,1.33,5733.91
"71","EMAILAIR","ELECTRA WMN12RCA",1.25,1.33,5733.91
"72","AIRWELL","SX18RC",2.3,2.13,10549.76
"73","ADSAKA","KFR-50GW",1.9,2,8715.5
"74","AIRWELL","SX24RC",2.71,2.49,12430.33
"75","TOSHIBA","RAS-10YKH-E / 10YAH-E",1.02,0.95,4678.6
"76","TOSHIBA","RAS-24UKH-E / 24UAH-EA",2.6,2.59,11926.18
"77","TOSHIBA","RAS-18UKH-E / 18UAH-EA",2.04,2,9357.4
"83","FUJITSU GENERAL","AUT25RLC-W/AOT25RZCL",2.8,2.6,12843.2
"84","FUJITSU GENERAL","ABT18RGA-W/AOT18RZAL",2.24,2.12,10274.64
"87","FUJITSU GENERAL","ART25RLA/AOT25RZAL",2.86,2.65,13118.4
"90","FUJITSU GENERAL","AUT18RGA/AOT18RZCL",2.01,2.01,9219.87
"92","MIDEA","KFR-23GW/I1Y",0.88,0.93,4036.66
