"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH"
"1","MIDEA","KFR-61GW/Y",2.65,2.4,4818.8
"2","MIDEA","KFR-26GW/Y",0.93,0.9,1800.42
"3","MIDEA","KFR-70GW/Y",3.03,2.9,5804.82
"4","MIDEA","KFR-26GW/Y",0.93,0.89,1781.49
"6","HYUNDAI","WSH-188BA",1.9,1.88,3756.44
"7","DAIKIN","FTY60G***+ RY60G***",2.46,2.47,4931.55
"8","DAIKIN","FVY353C***+RY353***",1.63,1.51,3027.95
"10","DAIKIN","FVY453C***+RY453***",2.1,2.01,4023.33
"11","DAIKIN","FTY50G***+RY50G***",2.08,1.92,3850.88
"12","DAIKIN","FTX50H***+RX50H***",2.12,2.5,4952.98
"13","DAIKIN","FTX25Hxxx/RX25Hxxx",0.96,1.04,2068.56
"14","CHUNLAN","KFR-32GW",1.2,1.22,2434.26
"16","CHUNLAN","KFR-27GW",1.12,1.14,2274.5
"18","CHUNLAN","KFR-50GW",1.9,2,3983.6
"19","DAIKIN","FLX60J***/RXD60J***",1.99,2,3992.96
"20","CHUNLAN","KFR-35GW",1.28,1.33,2650.81
"21","DAIKIN","FTXD50J***/RXD50J***",1.73,1.91,3795.55
"23","DAIKIN","FTXD60J***/RXD60J***",2.21,2.12,4243
"24","SPLENDID","11-0HP",1.35,1.35,2695.95
"25","CHUNLAN","KFR-70GW",2.75,2.75,5491.75
"26","CHUNLAN","STARWAY",2.75,2.75,5491.75
"28","NEC","RH129",1.35,1.15,2317.35
"29","LG","LWC1262AHG",1.35,1.15,2317.35
"30","CHUNLAN","KFR-22GW",0.85,0.88,1754.24
"31","LG","LWC122RH-1",1.35,1.15,2317.35
"32","SHARP","AY-A249J/AE-A249J",3,3.05,6085.65
"33","SHARP","AY-A184J/AE-A184J",2.22,2.21,4414.41
"34","SHARP","AY-A099J/AE-A099J",0.98,0.93,1862.41
"36","CHUNLAN","KFR-60GW",2.48,2.35,4706.47
"38","FUJITSU","AST14RSH-W/AOT14RNA",1.7,1.8,3584.2
"39","MITSUBISHI ELECTRIC","MSH-07RV/MUH-07RV",0.75,0.72,1440.96
"41","MIDEA","KFR-26GW/I1Y",0.97,0.97,1937.09
"42","MITSUBISHI ELECTRIC","MCFH-13NV/MUCFH-13NV",1.42,1.25,2513.93
"46","EMAILAIR","MAY90RCE",1.01,0.93,1865.53
"47","EMAILAIR","ELECTRA KCR-25E",1.01,0.93,1865.53
"48","KIA","KSH-098BA",0.87,0.88,1756.32
"49","HISENSE","KFR-25GWE",1.04,1.33,2625.85
"50","LG","LWC0960AHG",1,0.92,1845.56
"51","LG","LSL1260NL",1.33,1.83,3602.51
"52","LG","LS-K2463HL",2.73,2.69,5376.09
"53","LG","LV-B2461HL",2.8,2.69,5383.37
"55","AIRTEMP","HAY212N6G",1.41,1.38,2758.98
"59","LG","LWC1260PHG",1.33,1.19,2390.99
"60","HYUNDAI","WSH-229BA",2.57,2.54,5075.5
"61","LG","LS-K2464HL",2.73,2.69,5376.09
"62","ELECTRA","WMN24RCB",2.45,2.45,4892.65
"63","ELECTRA","EMAILAIR WS/CWS066HB",2.45,2.45,4892.65
"67","ADSAKA","KFR-60GW",2.48,2.35,4706.47
"68","EMAILAIR","WS/CWS026HA",1,0.99,1978.07
"69","EMAILAIR","ELECTRA WMN9RCA",1,0.99,1978.07
"70","EMAILAIR","WS/CWS034HA",1.25,1.33,2647.69
"71","EMAILAIR","ELECTRA WMN12RCA",1.25,1.33,2647.69
"72","AIRWELL","SX18RC",2.3,2.13,4271.29
"73","ADSAKA","KFR-50GW",1.9,2,3983.6
"74","AIRWELL","SX24RC",2.71,2.49,4995.41
"75","TOSHIBA","RAS-10YKH-E / 10YAH-E",1.02,0.95,1904.43
"76","TOSHIBA","RAS-24UKH-E / 24UAH-EA",2.6,2.59,5173.27
"77","TOSHIBA","RAS-18UKH-E / 18UAH-EA",2.04,2,3998.16
"83","FUJITSU GENERAL","AUT25RLC-W/AOT25RZCL",2.8,2.6,5213
"84","FUJITSU GENERAL","ABT18RGA-W/AOT18RZAL",2.24,2.12,4246.12
"87","FUJITSU GENERAL","ART25RLA/AOT25RZAL",2.86,2.65,5313.89
"90","FUJITSU GENERAL","AUT18RGA/AOT18RZCL",2.01,2.01,4013.97
"92","MIDEA","KFR-23GW/I1Y",0.88,0.93,1852.01
"93","MIDEA","KFR-53GW/Y",2,1.92,3842.56
"94","MIDEA","KFR-36GWY",1.5,1.65,3279.45
"99","AIRTEMP","HAY318N6G",2.08,2.09,4172.69
"100","AIRTEMP","HAY109N6G",1.07,1.07,2136.79
"101","AIRTEMP","HAE418N6E/HAC418N6G",2.08,1.9,3813.02
"102","AIRTEMP","HAE109N6E/HAC109N6B",0.93,0.93,1857.21
"104","FUJITSU","AST20RGA-W/AOT20RZAL",2.28,1.96,3947.4
"105","MITSUBISHI ELECTRIC","MWH-17KV",2.8,2.6,5213
"112","MITSUBISHI ELECTRIC","MSH-24RV/MUH-24RV",2.73,2.69,5376.09
"114","FUJITSU","AST7RSCCW/AOT7RSCC",0.77,0.72,1443.04
"115","GENERAL ELECTRIC","ASIAH18EWI",1.84,1.87,3731.27
"116","MITSUBISHI ELECTRIC","MWH-12KV",1.72,1.56,3131.96
"117","MITSUBISHI ELECTRIC","MSZ-G12SV/MUZ-G12SV",1.36,1.63,3227.03
"119","HOTPOINT","HPS 125R",1.1,1.07,2139.91
"120","FUJITSU GENERAL","AST24RGB-W/AOT24RNAL/AOT24RNCLST24RGB-W/A",2.61,2.7,5382.54
"122","MITSUBISHI ELECTRIC","MSH-12RV/MUH-12RV",1.32,1.4,2787.48
"124","MITSUBISHI ELECTRIC","MSH-09RV/MUH-09RV",0.95,0.97,1935.01
"125","AIRTEMP","HAY107N6G",0.82,0.82,1637.54
"127","MITSUBISHI ELECTRIC","MWH-08MV",1.02,0.87,1752.99
"128","MHI","SRT403HENF-L",1.38,1.39,2774.79
"132","CARRIER","53G150H",1.32,1.35,2692.83
"137","CARRIER","53G225H",1.88,1.8,3602.92
"138","CARRIER","53G100H",0.96,0.96,1917.12
"141","HEC","HSU-09HEO4",1.02,1.16,2301.96
"142","MHI","SRK561HENF-A",2.18,2.18,4353.46
"143","MHI","SRK388HENF-A",1.32,1.33,2654.97
"144","MHI","SRK408HENF-A",1.51,1.54,3072.26
"145","MHI","SRK288HENF-A",1.07,0.91,1833.91
