"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH"
"1","MIDEA","KFR-61GW/Y",2.65,2.4,7216.25
"2","MIDEA","KFR-26GW/Y",0.93,0.9,2545.89
"3","MIDEA","KFR-70GW/Y",3.03,2.9,8287.19
"4","MIDEA","KFR-26GW/Y",0.93,0.89,2543.57
"6","HYUNDAI","WSH-188BA",1.9,1.88,5210.86
"7","DAIKIN","FTY60G***+ RY60G***",2.46,2.47,6755.02
"8","DAIKIN","FVY353C***+RY353***",1.63,1.51,4446.51
"10","DAIKIN","FVY453C***+RY453***",2.1,2.01,5743.62
"11","DAIKIN","FTY50G***+RY50G***",2.08,1.92,5672.48
"12","DAIKIN","FTX50H***+RX50H***",2.12,2.5,5907.56
"13","DAIKIN","FTX25Hxxx/RX25Hxxx",0.96,1.04,2653.76
"14","CHUNLAN","KFR-32GW",1.2,1.22,3298.64
"16","CHUNLAN","KFR-27GW",1.12,1.14,3079.04
"18","CHUNLAN","KFR-50GW",1.9,2,5238.7
"19","DAIKIN","FLX60J***/RXD60J***",1.99,2,5464.87
"20","CHUNLAN","KFR-35GW",1.28,1.33,3525.2
"21","DAIKIN","FTXD50J***/RXD50J***",1.73,1.91,4790.61
"23","DAIKIN","FTXD60J***/RXD60J***",2.21,2.12,6045.57
"24","SPLENDID","11-0HP",1.35,1.35,3705.75
"25","CHUNLAN","KFR-70GW",2.75,2.75,7548.75
"26","CHUNLAN","STARWAY",2.75,2.75,7548.75
"28","NEC","RH129",1.35,1.15,3659.35
"29","LG","LWC1262AHG",1.35,1.15,3659.35
"30","CHUNLAN","KFR-22GW",0.85,0.88,2340.21
"31","LG","LWC122RH-1",1.35,1.15,3659.35
"32","SHARP","AY-A249J/AE-A249J",3,3.05,8246.6
"33","SHARP","AY-A184J/AE-A184J",2.22,2.21,6091.58
"34","SHARP","AY-A099J/AE-A099J",0.98,0.93,2678.5
"36","CHUNLAN","KFR-60GW",2.48,2.35,6777.44
"38","FUJITSU","AST14RSH-W/AOT14RNA",1.7,1.8,4689.7
"39","MITSUBISHI ELECTRIC","MSH-07RV/MUH-07RV",0.75,0.72,2051.79
"41","MIDEA","KFR-26GW/I1Y",0.97,0.97,2662.65
"42","MITSUBISHI ELECTRIC","MCFH-13NV/MUCFH-13NV",1.42,1.25,3858.46
"46","EMAILAIR","MAY90RCE",1.01,0.93,2753.89
"47","EMAILAIR","ELECTRA KCR-25E",1.01,0.93,2753.89
"48","KIA","KSH-098BA",0.87,0.88,2390.47
"49","HISENSE","KFR-25GWE",1.04,1.33,2922.08
"50","LG","LWC0960AHG",1,0.92,2726.44
"51","LG","LSL1260NL",1.33,1.83,3766.85
"52","LG","LS-K2463HL",2.73,2.69,7484.57
"53","LG","LV-B2461HL",2.8,2.69,7660.48
"55","AIRTEMP","HAY212N6G",1.41,1.38,3863.49
