"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH"
"1","MIDEA","KFR-61GW/Y",2.65,2.4,10241.25
"2","MIDEA","KFR-26GW/Y",0.93,0.9,3624.93
"3","MIDEA","KFR-70GW/Y",3.03,2.9,11793.03
"4","MIDEA","KFR-26GW/Y",0.93,0.89,3619.59
"6","HYUNDAI","WSH-188BA",1.9,1.88,7427.82
"7","DAIKIN","FTY60G***+ RY60G***",2.46,2.47,9636.24
"8","DAIKIN","FVY353C***+RY353***",1.63,1.51,6317.37
"10","DAIKIN","FVY453C***+RY453***",2.1,2.01,8173.44
"11","DAIKIN","FTY50G***+RY50G***",2.08,1.92,8057.76
"12","DAIKIN","FTX50H***+RX50H***",2.12,2.5,8502.72
"13","DAIKIN","FTX25Hxxx/RX25Hxxx",0.96,1.04,3801.12
"14","CHUNLAN","KFR-32GW",1.2,1.22,4708.68
"16","CHUNLAN","KFR-27GW",1.12,1.14,4395.48
"18","CHUNLAN","KFR-50GW",1.9,2,7491.9
"19","DAIKIN","FLX60J***/RXD60J***",1.99,2,7796.19
"20","CHUNLAN","KFR-35GW",1.28,1.33,5037.9
"21","DAIKIN","FTXD50J***/RXD50J***",1.73,1.91,6869.07
"23","DAIKIN","FTXD60J***/RXD60J***",2.21,2.12,8604.09
"24","SPLENDID","11-0HP",1.35,1.35,5285.25
"25","CHUNLAN","KFR-70GW",2.75,2.75,10766.25
"26","CHUNLAN","STARWAY",2.75,2.75,10766.25
"28","NEC","RH129",1.35,1.15,5178.45
"29","LG","LWC1262AHG",1.35,1.15,5178.45
"30","CHUNLAN","KFR-22GW",0.85,0.88,3343.77
"31","LG","LWC122RH-1",1.35,1.15,5178.45
"32","SHARP","AY-A249J/AE-A249J",3,3.05,11771.7
"33","SHARP","AY-A184J/AE-A184J",2.22,2.21,8685.96
"34","SHARP","AY-A099J/AE-A099J",0.98,0.93,3810
"36","CHUNLAN","KFR-60GW",2.48,2.35,9639.78
"38","FUJITSU","AST14RSH-W/AOT14RNA",1.7,1.8,6708.9
"39","MITSUBISHI ELECTRIC","MSH-07RV/MUH-07RV",0.75,0.72,2920.23
"41","MIDEA","KFR-26GW/I1Y",0.97,0.97,3797.55
"42","MITSUBISHI ELECTRIC","MCFH-13NV/MUCFH-13NV",1.42,1.25,5468.52
"46","EMAILAIR","MAY90RCE",1.01,0.93,3911.43
"47","EMAILAIR","ELECTRA KCR-25E",1.01,0.93,3911.43
"48","KIA","KSH-098BA",0.87,0.88,3411.39
"49","HISENSE","KFR-25GWE",1.04,1.33,4226.46
"50","LG","LWC0960AHG",1,0.92,3872.28
"51","LG","LSL1260NL",1.33,1.83,5473.95
"52","LG","LS-K2463HL",2.73,2.69,10666.59
"53","LG","LV-B2461HL",2.8,2.69,10903.26
"55","AIRTEMP","HAY212N6G",1.41,1.38,5504.13
"59","LG","LWC1260PHG",1.33,1.19,5132.19
"60","HYUNDAI","WSH-229BA",2.57,2.54,10045.53
"61","LG","LS-K2464HL",2.73,2.69,10666.59
"62","ELECTRA","WMN24RCB",2.45,2.45,9591.75
"63","ELECTRA","EMAILAIR WS/CWS066HB",2.45,2.45,9591.75
"67","ADSAKA","KFR-60GW",2.48,2.35,9639.78
"68","EMAILAIR","WS/CWS026HA",1,0.99,3909.66
"69","EMAILAIR","ELECTRA WMN9RCA",1,0.99,3909.66
"70","EMAILAIR","WS/CWS034HA",1.25,1.33,4936.47
"71","EMAILAIR","ELECTRA WMN12RCA",1.25,1.33,4936.47
"72","AIRWELL","SX18RC",2.3,2.13,8913.72
"73","ADSAKA","KFR-50GW",1.9,2,7491.9
"74","AIRWELL","SX24RC",2.71,2.49,10492.17
"75","TOSHIBA","RAS-10YKH-E / 10YAH-E",1.02,0.95,3955.92
"76","TOSHIBA","RAS-24UKH-E / 24UAH-EA",2.6,2.59,10173.66
"77","TOSHIBA","RAS-18UKH-E / 18UAH-EA",2.04,2,7965.24
"83","FUJITSU GENERAL","AUT25RLC-W/AOT25RZCL",2.8,2.6,10855.2
"84","FUJITSU GENERAL","ABT18RGA-W/AOT18RZAL",2.24,2.12,8705.52
"87","FUJITSU GENERAL","ART25RLA/AOT25RZAL",2.86,2.65,11084.76
"90","FUJITSU GENERAL","AUT18RGA/AOT18RZCL",2.01,2.01,7869.15
"92","MIDEA","KFR-23GW/I1Y",0.88,0.93,3471.9
"93","MIDEA","KFR-53GW/Y",2,1.92,7787.28
"94","MIDEA","KFR-36GWY",1.5,1.65,5952.6
"99","AIRTEMP","HAY318N6G",2.08,2.09,8148.54
"100","AIRTEMP","HAY109N6G",1.07,1.07,4189.05
"101","AIRTEMP","HAE418N6E/HAC418N6G",2.08,1.9,8047.08
"102","AIRTEMP","HAE109N6E/HAC109N6B",0.93,0.93,3640.95
"104","FUJITSU","AST20RGA-W/AOT20RZAL",2.28,1.96,8755.32
"105","MITSUBISHI ELECTRIC","MWH-17KV",2.8,2.6,10855.2
"112","MITSUBISHI ELECTRIC","MSH-24RV/MUH-24RV",2.73,2.69,10666.59
"114","FUJITSU","AST7RSCCW/AOT7RSCC",0.77,0.72,2987.85
"115","GENERAL ELECTRIC","ASIAH18EWI",1.84,1.87,7219.62
"116","MITSUBISHI ELECTRIC","MWH-12KV",1.72,1.56,6648.36
"117","MITSUBISHI ELECTRIC","MSZ-G12SV/MUZ-G12SV",1.36,1.63,5468.58
"119","HOTPOINT","HPS 125R",1.1,1.07,4290.48
"120","FUJITSU GENERAL","AST24RGB-W/AOT24RNAL/AOT24RNCLST24RGB-W/A",2.61,2.7,10266.21
"122","MITSUBISHI ELECTRIC","MSH-12RV/MUH-12RV",1.32,1.4,5210.52
"124","MITSUBISHI ELECTRIC","MSH-09RV/MUH-09RV",0.95,0.97,3729.93
"125","AIRTEMP","HAY107N6G",0.82,0.82,3210.3
"127","MITSUBISHI ELECTRIC","MWH-08MV",1.02,0.87,3913.2
"128","MHI","SRT403HENF-L",1.38,1.39,5408.04
"132","CARRIER","53G150H",1.32,1.35,5183.82
"137","CARRIER","53G225H",1.88,1.8,7317.48
"138","CARRIER","53G100H",0.96,0.96,3758.4
"141","HEC","HSU-09HEO4",1.02,1.16,4068.06
"142","MHI","SRK561HENF-A",2.18,2.18,8534.7
"143","MHI","SRK388HENF-A",1.32,1.33,5173.14
"144","MHI","SRK408HENF-A",1.51,1.54,5927.67
"145","MHI","SRK288HENF-A",1.07,0.91,4103.61
"146","MHI","SRK458HENF-A",1.7,1.84,6730.26
"147","MHI","FDKN208H",1.8,1.82,7057.68
"148","MHI","FDKN308H",3.08,2.83,11924.7
"150","MHI","SRK502Z-L",2.22,2.5,8840.82
"151","MHI","FDKN258H",2.11,2.08,8244.63
"153","MHI","SRK208HENF-A",0.77,0.71,2982.51
"154","HISENSE","KFR-4001GW/BPE",1.53,2.05,6267.63
"156","HISENSE","KFR-2601GW/BPE",0.96,1.4,3993.36
"157","TEMPERZONE","ISY26R/OSY26R",0.93,0.93,3640.95
"158","TEMPERZONE","ISY60R2 / OSY60R2",2.76,2.56,10698.6
"159","GENERAL ELECTRIC","AYIAH12EWI",1.35,1.45,5338.65
"160","GENERAL ELECTRIC","AYIAH09DWI",1.12,1.15,4400.82
"161","Haier","HSU-12H104",1.35,1.33,5274.57
"162","TEMPERZONE","ISY34/OSY34R",1.26,1.26,4932.9
"164","HEC","HW-09HA04",1.08,0.98,4174.8
"165","GENERAL ELECTRIC","ASIAH24EWI",2.33,2.45,9186.03
"167","MIDEA","KFR-61GW/Y",2.56,2.31,9888.9
"168","Teco","LA2300Y",2.76,2.5,10666.56
"169","Haier","HW-09HA04",1.08,0.98,4174.8
"170","MIDEA","KFR-45GWY",1.7,2,6815.7
"171","HEC","HW-24H04",2.9,2.4,11086.5
"172","Haier","HW-12HA04",1.38,1.2,5306.58
