"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH"
"1","MIDEA","KFR-61GW/Y",2.65,2.4,7438.7
"2","MIDEA","KFR-26GW/Y",0.93,0.9,2706
"3","MIDEA","KFR-70GW/Y",3.03,2.9,8763
"4","MIDEA","KFR-26GW/Y",0.93,0.89,2689.47
"6","HYUNDAI","WSH-188BA",1.9,1.88,5596.64
"7","DAIKIN","FTY60G***+ RY60G***",2.46,2.47,7305.51
"8","DAIKIN","FVY353C***+RY353***",1.63,1.51,4631.33
"10","DAIKIN","FVY453C***+RY453***",2.1,2.01,6073.53
"11","DAIKIN","FTY50G***+RY50G***",2.08,1.92,5898.56
"12","DAIKIN","FTX50H***+RX50H***",2.12,2.5,6909.7
"13","DAIKIN","FTX25Hxxx/RX25Hxxx",0.96,1.04,2976.72
"14","CHUNLAN","KFR-32GW",1.2,1.22,3588.66
"16","CHUNLAN","KFR-27GW",1.12,1.14,3351.62
"18","CHUNLAN","KFR-50GW",1.9,2,5795
"19","DAIKIN","FLX60J***/RXD60J***",1.99,2,5912.9
"20","CHUNLAN","KFR-35GW",1.28,1.33,3875.29
"21","DAIKIN","FTXD50J***/RXD50J***",1.73,1.91,5423.53
"23","DAIKIN","FTXD60J***/RXD60J***",2.21,2.12,6399.46
"24","SPLENDID","11-0HP",1.35,1.35,4000.05
"25","CHUNLAN","KFR-70GW",2.75,2.75,8148.25
"26","CHUNLAN","STARWAY",2.75,2.75,8148.25
"28","NEC","RH129",1.35,1.15,3669.45
"29","LG","LWC1262AHG",1.35,1.15,3669.45
"30","CHUNLAN","KFR-22GW",0.85,0.88,2568.14
"31","LG","LWC122RH-1",1.35,1.15,3669.45
"32","SHARP","AY-A249J/AE-A249J",3,3.05,8971.65
"33","SHARP","AY-A184J/AE-A184J",2.22,2.21,6561.33
"34","SHARP","AY-A099J/AE-A099J",0.98,0.93,2821.09
"36","CHUNLAN","KFR-60GW",2.48,2.35,7133.35
"38","FUJITSU","AST14RSH-W/AOT14RNA",1.7,1.8,5202.4
"39","MITSUBISHI ELECTRIC","MSH-07RV/MUH-07RV",0.75,0.72,2172.66
"41","MIDEA","KFR-26GW/I1Y",0.97,0.97,2874.11
"42","MITSUBISHI ELECTRIC","MCFH-13NV/MUCFH-13NV",1.42,1.25,3926.45
"46","EMAILAIR","MAY90RCE",1.01,0.93,2860.39
"47","EMAILAIR","ELECTRA KCR-25E",1.01,0.93,2860.39
"48","KIA","KSH-098BA",0.87,0.88,2594.34
"49","HISENSE","KFR-25GWE",1.04,1.33,3560.89
"50","LG","LWC0960AHG",1,0.92,2830.76
"51","LG","LSL1260NL",1.33,1.83,4767.29
"52","LG","LS-K2463HL",2.73,2.69,8022.87
"53","LG","LV-B2461HL",2.8,2.69,8114.57
"55","AIRTEMP","HAY212N6G",1.41,1.38,4128.24
"59","LG","LWC1260PHG",1.33,1.19,3709.37
"60","HYUNDAI","WSH-229BA",2.57,2.54,7565.32
"61","LG","LS-K2464HL",2.73,2.69,8022.87
"62","ELECTRA","WMN24RCB",2.45,2.45,7259.35
"63","ELECTRA","EMAILAIR WS/CWS066HB",2.45,2.45,7259.35
"67","ADSAKA","KFR-60GW",2.48,2.35,7133.35
"68","EMAILAIR","WS/CWS026HA",1,0.99,2946.47
"69","EMAILAIR","ELECTRA WMN9RCA",1,0.99,2946.47
"70","EMAILAIR","WS/CWS034HA",1.25,1.33,3835.99
"71","EMAILAIR","ELECTRA WMN12RCA",1.25,1.33,3835.99
"72","AIRWELL","SX18RC",2.3,2.13,6533.89
"73","ADSAKA","KFR-50GW",1.9,2,5795
"74","AIRWELL","SX24RC",2.71,2.49,7666.07
"75","TOSHIBA","RAS-10YKH-E / 10YAH-E",1.02,0.95,2906.55
"76","TOSHIBA","RAS-24UKH-E / 24UAH-EA",2.6,2.59,7687.27
"77","TOSHIBA","RAS-18UKH-E / 18UAH-EA",2.04,2,5978.4
"83","FUJITSU GENERAL","AUT25RLC-W/AOT25RZCL",2.8,2.6,7965.8
"84","FUJITSU GENERAL","ABT18RGA-W/AOT18RZAL",2.24,2.12,6438.76
"87","FUJITSU GENERAL","ART25RLA/AOT25RZAL",2.86,2.65,8127.05
"90","FUJITSU GENERAL","AUT18RGA/AOT18RZCL",2.01,2.01,5955.63
"92","MIDEA","KFR-23GW/I1Y",0.88,0.93,2690.09
"93","MIDEA","KFR-53GW/Y",2,1.92,5793.76
"94","MIDEA","KFR-36GWY",1.5,1.65,4692.45
"99","AIRTEMP","HAY318N6G",2.08,2.09,6179.57
"100","AIRTEMP","HAY109N6G",1.07,1.07,3170.41
"101","AIRTEMP","HAE418N6E/HAC418N6G",2.08,1.9,5865.5
"102","AIRTEMP","HAE109N6E/HAC109N6B",0.93,0.93,2755.59
"104","FUJITSU","AST20RGA-W/AOT20RZAL",2.28,1.96,6226.68
"105","MITSUBISHI ELECTRIC","MWH-17KV",2.8,2.6,7965.8
"112","MITSUBISHI ELECTRIC","MSH-24RV/MUH-24RV",2.73,2.69,8022.87
"114","FUJITSU","AST7RSCCW/AOT7RSCC",0.77,0.72,2198.86
"115","GENERAL ELECTRIC","ASIAH18EWI",1.84,1.87,5501.51
"116","MITSUBISHI ELECTRIC","MWH-12KV",1.72,1.56,4831.88
