"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH"
"1","MIDEA","KFR-61GW/Y",2.65,2.4,8563.2
"2","MIDEA","KFR-26GW/Y",0.93,0.9,3205.08
"3","MIDEA","KFR-70GW/Y",3.03,2.9,10330.68
"4","MIDEA","KFR-26GW/Y",0.93,0.89,3170.46
"6","HYUNDAI","WSH-188BA",1.9,1.88,6690.96
"7","DAIKIN","FTY60G***+ RY60G***",2.46,2.47,8787.3
"8","DAIKIN","FVY353C***+RY353***",1.63,1.51,5384.1
"10","DAIKIN","FVY453C***+RY453***",2.1,2.01,7160.22
"11","DAIKIN","FTY50G***+RY50G***",2.08,1.92,6846.72
"12","DAIKIN","FTX50H***+RX50H***",2.12,2.5,8858.52
"13","DAIKIN","FTX25Hxxx/RX25Hxxx",0.96,1.04,3692.64
"14","CHUNLAN","KFR-32GW",1.2,1.22,4338.84
"16","CHUNLAN","KFR-27GW",1.12,1.14,4054.2
"18","CHUNLAN","KFR-50GW",1.9,2,7106.4
"19","DAIKIN","FLX60J***/RXD60J***",1.99,2,7115.04
"20","CHUNLAN","KFR-35GW",1.28,1.33,4727.34
"21","DAIKIN","FTXD50J***/RXD50J***",1.73,1.91,6778.5
"23","DAIKIN","FTXD60J***/RXD60J***",2.21,2.12,7551.6
"24","SPLENDID","11-0HP",1.35,1.35,4803.3
"25","CHUNLAN","KFR-70GW",2.75,2.75,9784.5
"26","CHUNLAN","STARWAY",2.75,2.75,9784.5
"28","NEC","RH129",1.35,1.15,4110.9
"29","LG","LWC1262AHG",1.35,1.15,4110.9
"30","CHUNLAN","KFR-22GW",0.85,0.88,3128.16
"31","LG","LWC122RH-1",1.35,1.15,4110.9
"32","SHARP","AY-A249J/AE-A249J",3,3.05,10847.1
"33","SHARP","AY-A184J/AE-A184J",2.22,2.21,7864.14
"34","SHARP","AY-A099J/AE-A099J",0.98,0.93,3313.74
"36","CHUNLAN","KFR-60GW",2.48,2.35,8373.78
"38","FUJITSU","AST14RSH-W/AOT14RNA",1.7,1.8,6394.8
"39","MITSUBISHI ELECTRIC","MSH-07RV/MUH-07RV",0.75,0.72,2564.64
"41","MIDEA","KFR-26GW/I1Y",0.97,0.97,3451.26
"42","MITSUBISHI ELECTRIC","MCFH-13NV/MUCFH-13NV",1.42,1.25,4463.82
"46","EMAILAIR","MAY90RCE",1.01,0.93,3316.62
"47","EMAILAIR","ELECTRA KCR-25E",1.01,0.93,3316.62
"48","KIA","KSH-098BA",0.87,0.88,3130.08
"49","HISENSE","KFR-25GWE",1.04,1.33,4704.3
"50","LG","LWC0960AHG",1,0.92,3281.04
"51","LG","LSL1260NL",1.33,1.83,6463.14
"52","LG","LS-K2463HL",2.73,2.69,9574.86
"53","LG","LV-B2461HL",2.8,2.69,9581.58
"55","AIRTEMP","HAY212N6G",1.41,1.38,4912.92
"59","LG","LWC1260PHG",1.33,1.19,4247.46
"60","HYUNDAI","WSH-229BA",2.57,2.54,9040.2
"61","LG","LS-K2464HL",2.73,2.69,9574.86
"62","ELECTRA","WMN24RCB",2.45,2.45,8717.1
"63","ELECTRA","EMAILAIR WS/CWS066HB",2.45,2.45,8717.1
"67","ADSAKA","KFR-60GW",2.48,2.35,8373.78
"68","EMAILAIR","WS/CWS026HA",1,0.99,3523.38
"69","EMAILAIR","ELECTRA WMN9RCA",1,0.99,3523.38
"70","EMAILAIR","WS/CWS034HA",1.25,1.33,4724.46
"71","EMAILAIR","ELECTRA WMN12RCA",1.25,1.33,4724.46
"72","AIRWELL","SX18RC",2.3,2.13,7594.86
"73","ADSAKA","KFR-50GW",1.9,2,7106.4
"74","AIRWELL","SX24RC",2.71,2.49,8880.54
"75","TOSHIBA","RAS-10YKH-E / 10YAH-E",1.02,0.95,3386.82
"76","TOSHIBA","RAS-24UKH-E / 24UAH-EA",2.6,2.59,9216.18
"77","TOSHIBA","RAS-18UKH-E / 18UAH-EA",2.04,2,7119.84
"83","FUJITSU GENERAL","AUT25RLC-W/AOT25RZCL",2.8,2.6,9270
"84","FUJITSU GENERAL","ABT18RGA-W/AOT18RZAL",2.24,2.12,7554.48
"87","FUJITSU GENERAL","ART25RLA/AOT25RZAL",2.86,2.65,9448.86
"90","FUJITSU GENERAL","AUT18RGA/AOT18RZCL",2.01,2.01,7151.58
"92","MIDEA","KFR-23GW/I1Y",0.88,0.93,3304.14
"93","MIDEA","KFR-53GW/Y",2,1.92,6839.04
"94","MIDEA","KFR-36GWY",1.5,1.65,5856.3
"99","AIRTEMP","HAY318N6G",2.08,2.09,7435.26
"100","AIRTEMP","HAY109N6G",1.07,1.07,3807.06
"101","AIRTEMP","HAE418N6E/HAC418N6G",2.08,1.9,6777.48
"102","AIRTEMP","HAE109N6E/HAC109N6B",0.93,0.93,3308.94
"104","FUJITSU","AST20RGA-W/AOT20RZAL",2.28,1.96,7004.4
"105","MITSUBISHI ELECTRIC","MWH-17KV",2.8,2.6,9270
"112","MITSUBISHI ELECTRIC","MSH-24RV/MUH-24RV",2.73,2.69,9574.86
"114","FUJITSU","AST7RSCCW/AOT7RSCC",0.77,0.72,2566.56
"115","GENERAL ELECTRIC","ASIAH18EWI",1.84,1.87,6650.58
"116","MITSUBISHI ELECTRIC","MWH-12KV",1.72,1.56,5565.84
"117","MITSUBISHI ELECTRIC","MSZ-G12SV/MUZ-G12SV",1.36,1.63,5773.62
"119","HOTPOINT","HPS 125R",1.1,1.07,3809.94
"120","FUJITSU GENERAL","AST24RGB-W/AOT24RNAL/AOT24RNCLST24RGB-W/A",2.61,2.7,9597.96
"122","MITSUBISHI ELECTRIC","MSH-12RV/MUH-12RV",1.32,1.4,4973.52
"124","MITSUBISHI ELECTRIC","MSH-09RV/MUH-09RV",0.95,0.97,3449.34
"125","AIRTEMP","HAY107N6G",0.82,0.82,2917.56
"127","MITSUBISHI ELECTRIC","MWH-08MV",1.02,0.87,3109.86
"128","MHI","SRT403HENF-L",1.38,1.39,4944.66
"132","CARRIER","53G150H",1.32,1.35,4800.42
"137","CARRIER","53G225H",1.88,1.8,6412.08
"138","CARRIER","53G100H",0.96,0.96,3415.68
"141","HEC","HSU-09HEO4",1.02,1.16,4113.84
"142","MHI","SRK561HENF-A",2.18,2.18,7756.44
"143","MHI","SRK388HENF-A",1.32,1.33,4731.18
