"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH"
"1","MIDEA","KFR-61GW/Y",2.65,2.4,3930.3
"2","MIDEA","KFR-26GW/Y",0.93,0.9,1415.34
"3","MIDEA","KFR-70GW/Y",3.03,2.9,4591.14
"4","MIDEA","KFR-26GW/Y",0.93,0.89,1409.1
"6","HYUNDAI","WSH-188BA",1.9,1.88,2917.32
"7","DAIKIN","FTY60G***+ RY60G***",2.46,2.47,3799.56
"8","DAIKIN","FVY353C***+RY353***",1.63,1.51,2438.58
"10","DAIKIN","FVY453C***+RY453***",2.1,2.01,3182.04
"11","DAIKIN","FTY50G***+RY50G***",2.08,1.92,3107.52
"12","DAIKIN","FTX50H***+RX50H***",2.12,2.5,3506.16
"13","DAIKIN","FTX25Hxxx/RX25Hxxx",0.96,1.04,1530.24
"14","CHUNLAN","KFR-32GW",1.2,1.22,1862.88
"16","CHUNLAN","KFR-27GW",1.12,1.14,1739.52
"18","CHUNLAN","KFR-50GW",1.9,2,2992.2
"19","DAIKIN","FLX60J***/RXD60J***",1.99,2,3074.82
"20","CHUNLAN","KFR-35GW",1.28,1.33,2004.96
"21","DAIKIN","FTXD50J***/RXD50J***",1.73,1.91,2779.98
"23","DAIKIN","FTXD60J***/RXD60J***",2.21,2.12,3351.66
"24","SPLENDID","11-0HP",1.35,1.35,2081.7
"25","CHUNLAN","KFR-70GW",2.75,2.75,4240.5
"26","CHUNLAN","STARWAY",2.75,2.75,4240.5
"28","NEC","RH129",1.35,1.15,1956.9
"29","LG","LWC1262AHG",1.35,1.15,1956.9
"30","CHUNLAN","KFR-22GW",0.85,0.88,1329.42
"31","LG","LWC122RH-1",1.35,1.15,1956.9
"32","SHARP","AY-A249J/AE-A249J",3,3.05,4657.2
"33","SHARP","AY-A184J/AE-A184J",2.22,2.21,3417
"34","SHARP","AY-A099J/AE-A099J",0.98,0.93,1479.96
"36","CHUNLAN","KFR-60GW",2.48,2.35,3743.04
"38","FUJITSU","AST14RSH-W/AOT14RNA",1.7,1.8,2683.8
"39","MITSUBISHI ELECTRIC","MSH-07RV/MUH-07RV",0.75,0.72,1137.78
"41","MIDEA","KFR-26GW/I1Y",0.97,0.97,1495.74
"42","MITSUBISHI ELECTRIC","MCFH-13NV/MUCFH-13NV",1.42,1.25,2083.56
"46","EMAILAIR","MAY90RCE",1.01,0.93,1507.5
"47","EMAILAIR","ELECTRA KCR-25E",1.01,0.93,1507.5
"48","KIA","KSH-098BA",0.87,0.88,1347.78
"49","HISENSE","KFR-25GWE",1.04,1.33,1784.64
"50","LG","LWC0960AHG",1,0.92,1492.08
"51","LG","LSL1260NL",1.33,1.83,2362.86
"52","LG","LS-K2463HL",2.73,2.69,4184.7
"53","LG","LV-B2461HL",2.8,2.69,4248.96
"55","AIRTEMP","HAY212N6G",1.41,1.38,2155.5
"59","LG","LWC1260PHG",1.33,1.19,1963.5
"60","HYUNDAI","WSH-229BA",2.57,2.54,3944.22
"61","LG","LS-K2464HL",2.73,2.69,4184.7
"62","ELECTRA","WMN24RCB",2.45,2.45,3777.9
"63","ELECTRA","EMAILAIR WS/CWS066HB",2.45,2.45,3777.9
"67","ADSAKA","KFR-60GW",2.48,2.35,3743.04
"68","EMAILAIR","WS/CWS026HA",1,0.99,1535.76
"69","EMAILAIR","ELECTRA WMN9RCA",1,0.99,1535.76
"70","EMAILAIR","WS/CWS034HA",1.25,1.33,1977.42
"71","EMAILAIR","ELECTRA WMN12RCA",1.25,1.33,1977.42
"72","AIRWELL","SX18RC",2.3,2.13,3440.52
"73","ADSAKA","KFR-50GW",1.9,2,2992.2
"74","AIRWELL","SX24RC",2.71,2.49,4041.54
