"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH"
"1","MIDEA","KFR-61GW/Y",2.65,2.4,9884.4
"2","MIDEA","KFR-26GW/Y",0.93,0.9,3683.7
"3","MIDEA","KFR-70GW/Y",3.03,2.9,11881.7
"4","MIDEA","KFR-26GW/Y",0.93,0.89,3646.49
"6","HYUNDAI","WSH-188BA",1.9,1.88,7679.48
"7","DAIKIN","FTY60G***+ RY60G***",2.46,2.47,10076.47
"8","DAIKIN","FVY353C***+RY353***",1.63,1.51,6205.51
"10","DAIKIN","FVY453C***+RY453***",2.1,2.01,8235.21
"11","DAIKIN","FTY50G***+RY50G***",2.08,1.92,7893.12
"12","DAIKIN","FTX50H***+RX50H***",2.12,2.5,10065.7
"13","DAIKIN","FTX25Hxxx/RX25Hxxx",0.96,1.04,4215.44
"14","CHUNLAN","KFR-32GW",1.2,1.22,4971.62
"16","CHUNLAN","KFR-27GW",1.12,1.14,4645.14
"18","CHUNLAN","KFR-50GW",1.9,2,8126
"19","DAIKIN","FLX60J***/RXD60J***",1.99,2,8158.4
"20","CHUNLAN","KFR-35GW",1.28,1.33,5409.73
"21","DAIKIN","FTXD50J***/RXD50J***",1.73,1.91,7729.91
"23","DAIKIN","FTXD60J***/RXD60J***",2.21,2.12,8684.12
"24","SPLENDID","11-0HP",1.35,1.35,5509.35
"25","CHUNLAN","KFR-70GW",2.75,2.75,11222.75
"26","CHUNLAN","STARWAY",2.75,2.75,11222.75
"28","NEC","RH129",1.35,1.15,4765.15
"29","LG","LWC1262AHG",1.35,1.15,4765.15
"30","CHUNLAN","KFR-22GW",0.85,0.88,3580.48
"31","LG","LWC122RH-1",1.35,1.15,4765.15
"32","SHARP","AY-A249J/AE-A249J",3,3.05,12429.05
"33","SHARP","AY-A184J/AE-A184J",2.22,2.21,9022.61
"34","SHARP","AY-A099J/AE-A099J",0.98,0.93,3813.33
"36","CHUNLAN","KFR-60GW",2.48,2.35,9637.15
"38","FUJITSU","AST14RSH-W/AOT14RNA",1.7,1.8,7309.8
"39","MITSUBISHI ELECTRIC","MSH-07RV/MUH-07RV",0.75,0.72,2949.12
"41","MIDEA","KFR-26GW/I1Y",0.97,0.97,3958.57
"42","MITSUBISHI ELECTRIC","MCFH-13NV/MUCFH-13NV",1.42,1.25,5162.45
"46","EMAILAIR","MAY90RCE",1.01,0.93,3824.13
"47","EMAILAIR","ELECTRA KCR-25E",1.01,0.93,3824.13
"48","KIA","KSH-098BA",0.87,0.88,3587.68
"49","HISENSE","KFR-25GWE",1.04,1.33,5323.33
"50","LG","LWC0960AHG",1,0.92,3783.32
"51","LG","LSL1260NL",1.33,1.83,7288.23
"52","LG","LS-K2463HL",2.73,2.69,10992.29
"53","LG","LV-B2461HL",2.8,2.69,11017.49
"55","AIRTEMP","HAY212N6G",1.41,1.38,5642.58
"59","LG","LWC1260PHG",1.33,1.19,4906.79
"60","HYUNDAI","WSH-229BA",2.57,2.54,10376.54
"61","LG","LS-K2464HL",2.73,2.69,10992.29
"62","ELECTRA","WMN24RCB",2.45,2.45,9998.45
"63","ELECTRA","EMAILAIR WS/CWS066HB",2.45,2.45,9998.45
"67","ADSAKA","KFR-60GW",2.48,2.35,9637.15
"68","EMAILAIR","WS/CWS026HA",1,0.99,4043.79
"69","EMAILAIR","ELECTRA WMN9RCA",1,0.99,4043.79
"70","EMAILAIR","WS/CWS034HA",1.25,1.33,5398.93
"71","EMAILAIR","ELECTRA WMN12RCA",1.25,1.33,5398.93
"72","AIRWELL","SX18RC",2.3,2.13,8753.73
"73","ADSAKA","KFR-50GW",1.9,2,8126
"74","AIRWELL","SX24RC",2.71,2.49,10240.89
"75","TOSHIBA","RAS-10YKH-E / 10YAH-E",1.02,0.95,3902.15
"76","TOSHIBA","RAS-24UKH-E / 24UAH-EA",2.6,2.59,10573.39
"77","TOSHIBA","RAS-18UKH-E / 18UAH-EA",2.04,2,8176.4
"83","FUJITSU GENERAL","AUT25RLC-W/AOT25RZCL",2.8,2.6,10682.6
"84","FUJITSU GENERAL","ABT18RGA-W/AOT18RZAL",2.24,2.12,8694.92
"87","FUJITSU GENERAL","ART25RLA/AOT25RZAL",2.86,2.65,10890.25
"90","FUJITSU GENERAL","AUT18RGA/AOT18RZCL",2.01,2.01,8202.81
"92","MIDEA","KFR-23GW/I1Y",0.88,0.93,3777.33
"93","MIDEA","KFR-53GW/Y",2,1.92,7864.32
"94","MIDEA","KFR-36GWY",1.5,1.65,6679.65
"99","AIRTEMP","HAY318N6G",2.08,2.09,8525.69
"100","AIRTEMP","HAY109N6G",1.07,1.07,4366.67
"101","AIRTEMP","HAE418N6E/HAC418N6G",2.08,1.9,7818.7
"102","AIRTEMP","HAE109N6E/HAC109N6B",0.93,0.93,3795.33
"104","FUJITSU","AST20RGA-W/AOT20RZAL",2.28,1.96,8113.96
"105","MITSUBISHI ELECTRIC","MWH-17KV",2.8,2.6,10682.6
"112","MITSUBISHI ELECTRIC","MSH-24RV/MUH-24RV",2.73,2.69,10992.29
"114","FUJITSU","AST7RSCCW/AOT7RSCC",0.77,0.72,2956.32
"115","GENERAL ELECTRIC","ASIAH18EWI",1.84,1.87,7620.67
"116","MITSUBISHI ELECTRIC","MWH-12KV",1.72,1.56,6423.96
"117","MITSUBISHI ELECTRIC","MSZ-G12SV/MUZ-G12SV",1.36,1.63,6554.83
"119","HOTPOINT","HPS 125R",1.1,1.07,4377.47
"120","FUJITSU GENERAL","AST24RGB-W/AOT24RNAL/AOT24RNCLST24RGB-W/A",2.61,2.7,10986.3
"122","MITSUBISHI ELECTRIC","MSH-12RV/MUH-12RV",1.32,1.4,5684.6
"124","MITSUBISHI ELECTRIC","MSH-09RV/MUH-09RV",0.95,0.97,3951.37
"125","AIRTEMP","HAY107N6G",0.82,0.82,3346.42
"127","MITSUBISHI ELECTRIC","MWH-08MV",1.02,0.87,3604.47
"128","MHI","SRT403HENF-L",1.38,1.39,5668.99
"132","CARRIER","53G150H",1.32,1.35,5498.55
"137","CARRIER","53G225H",1.88,1.8,7374.6
"138","CARRIER","53G100H",0.96,0.96,3917.76
"141","HEC","HSU-09HEO4",1.02,1.16,4683.56
"142","MHI","SRK561HENF-A",2.18,2.18,8896.58
"143","MHI","SRK388HENF-A",1.32,1.33,5424.13
"144","MHI","SRK408HENF-A",1.51,1.54,6273.94
"145","MHI","SRK288HENF-A",1.07,0.91,3771.31
"146","MHI","SRK458HENF-A",1.7,1.84,7458.64
"147","MHI","FDKN208H",1.8,1.82,7420.22
"148","MHI","FDKN308H",3.08,2.83,11639.23
"150","MHI","SRK502Z-L",2.22,2.5,10101.7
"151","MHI","FDKN258H",2.11,2.08,8499.28
"153","MHI","SRK208HENF-A",0.77,0.71,2919.11
"154","HISENSE","KFR-4001GW/BPE",1.53,2.05,8178.85
"156","HISENSE","KFR-2601GW/BPE",0.96,1.4,5555
"157","TEMPERZONE","ISY26R/OSY26R",0.93,0.93,3795.33
"158","TEMPERZONE","ISY60R2 / OSY60R2",2.76,2.56,10519.36
"159","GENERAL ELECTRIC","AYIAH12EWI",1.35,1.45,5881.45
"160","GENERAL ELECTRIC","AYIAH09DWI",1.12,1.15,4682.35
"161","Haier","HSU-12H104",1.35,1.33,5434.93
"162","TEMPERZONE","ISY34/OSY34R",1.26,1.26,5142.06
