"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH"
"1","MIDEA","KFR-61GW/Y",2.65,2.4,12043.45
"2","MIDEA","KFR-26GW/Y",0.93,0.9,4231.65
"3","MIDEA","KFR-70GW/Y",3.03,2.9,13784.15
"4","MIDEA","KFR-26GW/Y",0.93,0.89,4230.77
"6","HYUNDAI","WSH-188BA",1.9,1.88,8648.94
"7","DAIKIN","FTY60G***+ RY60G***",2.46,2.47,11201.26
"8","DAIKIN","FVY353C***+RY353***",1.63,1.51,7410.83
"10","DAIKIN","FVY453C***+RY453***",2.1,2.01,9553.38
"11","DAIKIN","FTY50G***+RY50G***",2.08,1.92,9456.16
"12","DAIKIN","FTX50H***+RX50H***",2.12,2.5,9685.8
"13","DAIKIN","FTX25Hxxx/RX25Hxxx",0.96,1.04,4377.92
"14","CHUNLAN","KFR-32GW",1.2,1.22,5465.36
"16","CHUNLAN","KFR-27GW",1.12,1.14,5101.12
"18","CHUNLAN","KFR-50GW",1.9,2,8659.5
"19","DAIKIN","FLX60J***/RXD60J***",1.99,2,9061.35
"20","CHUNLAN","KFR-35GW",1.28,1.33,5832.24
"21","DAIKIN","FTXD50J***/RXD50J***",1.73,1.91,7892.53
"23","DAIKIN","FTXD60J***/RXD60J***",2.21,2.12,10054.21
"24","SPLENDID","11-0HP",1.35,1.35,6146.55
"25","CHUNLAN","KFR-70GW",2.75,2.75,12520.75
"26","CHUNLAN","STARWAY",2.75,2.75,12520.75
"28","NEC","RH129",1.35,1.15,6128.95
"29","LG","LWC1262AHG",1.35,1.15,6128.95
"30","CHUNLAN","KFR-22GW",0.85,0.88,3872.69
"31","LG","LWC122RH-1",1.35,1.15,6128.95
"32","SHARP","AY-A249J/AE-A249J",3,3.05,13663.4
"33","SHARP","AY-A184J/AE-A184J",2.22,2.21,10106.78
"34","SHARP","AY-A099J/AE-A099J",0.98,0.93,4457.54
"36","CHUNLAN","KFR-60GW",2.48,2.35,11280
"38","FUJITSU","AST14RSH-W/AOT14RNA",1.7,1.8,7748.9
