"","Brand","Model_No","C.Power_Inp_Rated","H.Power_Inp_Rated","KWH"
"1","MIDEA","KFR-61GW/Y",2.65,2.4,5961.9
"2","MIDEA","KFR-26GW/Y",0.93,0.9,2175.66
"3","MIDEA","KFR-70GW/Y",3.03,2.9,7041.86
"4","MIDEA","KFR-26GW/Y",0.93,0.89,2161.22
"6","HYUNDAI","WSH-188BA",1.9,1.88,4504.52
"7","DAIKIN","FTY60G***+ RY60G***",2.46,2.47,5884
"8","DAIKIN","FVY353C***+RY353***",1.63,1.51,3715.9
"10","DAIKIN","FVY453C***+RY453***",2.1,2.01,4880.64
"11","DAIKIN","FTY50G***+RY50G***",2.08,1.92,4731.84
"12","DAIKIN","FTX50H***+RX50H***",2.12,2.5,5607.04
"13","DAIKIN","FTX25Hxxx/RX25Hxxx",0.96,1.04,2406.08
"14","CHUNLAN","KFR-32GW",1.2,1.22,2892.08
"16","CHUNLAN","KFR-27GW",1.12,1.14,2701.2
"18","CHUNLAN","KFR-50GW",1.9,2,4677.8
"19","DAIKIN","FLX60J***/RXD60J***",1.99,2,4762.58
"20","CHUNLAN","KFR-35GW",1.28,1.33,3126.28
"21","DAIKIN","FTXD50J***/RXD50J***",1.73,1.91,4387.7
"23","DAIKIN","FTXD60J***/RXD60J***",2.21,2.12,5143.1
"24","SPLENDID","11-0HP",1.35,1.35,3221.1
"25","CHUNLAN","KFR-70GW",2.75,2.75,6561.5
"26","CHUNLAN","STARWAY",2.75,2.75,6561.5
"28","NEC","RH129",1.35,1.15,2932.3
"29","LG","LWC1262AHG",1.35,1.15,2932.3
"30","CHUNLAN","KFR-22GW",0.85,0.88,2071.42
"31","LG","LWC122RH-1",1.35,1.15,2932.3
"32","SHARP","AY-A249J/AE-A249J",3,3.05,7230.2
"33","SHARP","AY-A184J/AE-A184J",2.22,2.21,5282.48
"34","SHARP","AY-A099J/AE-A099J",0.98,0.93,2266.08
"36","CHUNLAN","KFR-60GW",2.48,2.35,5729.56
"38","FUJITSU","AST14RSH-W/AOT14RNA",1.7,1.8,4200.6
"39","MITSUBISHI ELECTRIC","MSH-07RV/MUH-07RV",0.75,0.72,1746.18
"41","MIDEA","KFR-26GW/I1Y",0.97,0.97,2314.42
"42","MITSUBISHI ELECTRIC","MCFH-13NV/MUCFH-13NV",1.42,1.25,3142.64
"46","EMAILAIR","MAY90RCE",1.01,0.93,2294.34
"47","EMAILAIR","ELECTRA KCR-25E",1.01,0.93,2294.34
"48","KIA","KSH-098BA",0.87,0.88,2090.26
"49","HISENSE","KFR-25GWE",1.04,1.33,2900.2
"50","LG","LWC0960AHG",1,0.92,2270.48
"51","LG","LSL1260NL",1.33,1.83,3895.38
"52","LG","LS-K2463HL",2.73,2.69,6456.02
"53","LG","LV-B2461HL",2.8,2.69,6521.96
"55","AIRTEMP","HAY212N6G",1.41,1.38,3320.94
"59","LG","LWC1260PHG",1.33,1.19,2971.22
"60","HYUNDAI","WSH-229BA",2.57,2.54,6088.7
"61","LG","LS-K2464HL",2.73,2.69,6456.02
"62","ELECTRA","WMN24RCB",2.45,2.45,5845.7
"63","ELECTRA","EMAILAIR WS/CWS066HB",2.45,2.45,5845.7
"67","ADSAKA","KFR-60GW",2.48,2.35,5729.56
"68","EMAILAIR","WS/CWS026HA",1,0.99,2371.56
"69","EMAILAIR","ELECTRA WMN9RCA",1,0.99,2371.56
"70","EMAILAIR","WS/CWS034HA",1.25,1.33,3098.02
"71","EMAILAIR","ELECTRA WMN12RCA",1.25,1.33,3098.02
"72","AIRWELL","SX18RC",2.3,2.13,5242.32
"73","ADSAKA","KFR-50GW",1.9,2,4677.8
"74","AIRWELL","SX24RC",2.71,2.49,6148.38
"75","TOSHIBA","RAS-10YKH-E / 10YAH-E",1.02,0.95,2332.64
"76","TOSHIBA","RAS-24UKH-E / 24UAH-EA",2.6,2.59,6189.16
"77","TOSHIBA","RAS-18UKH-E / 18UAH-EA",2.04,2,4809.68
"83","FUJITSU GENERAL","AUT25RLC-W/AOT25RZCL",2.8,2.6,6392
"84","FUJITSU GENERAL","ABT18RGA-W/AOT18RZAL",2.24,2.12,5171.36
"87","FUJITSU GENERAL","ART25RLA/AOT25RZAL",2.86,2.65,6520.72
"90","FUJITSU GENERAL","AUT18RGA/AOT18RZCL",2.01,2.01,4795.86
"92","MIDEA","KFR-23GW/I1Y",0.88,0.93,2171.88
"93","MIDEA","KFR-53GW/Y",2,1.92,4656.48
"94","MIDEA","KFR-36GWY",1.5,1.65,3795.6
"99","AIRTEMP","HAY318N6G",2.08,2.09,4977.32
"100","AIRTEMP","HAY109N6G",1.07,1.07,2553.02
"101","AIRTEMP","HAE418N6E/HAC418N6G",2.08,1.9,4702.96
"102","AIRTEMP","HAE109N6E/HAC109N6B",0.93,0.93,2218.98
"104","FUJITSU","AST20RGA-W/AOT20RZAL",2.28,1.96,4978
"105","MITSUBISHI ELECTRIC","MWH-17KV",2.8,2.6,6392
"112","MITSUBISHI ELECTRIC","MSH-24RV/MUH-24RV",2.73,2.69,6456.02
"114","FUJITSU","AST7RSCCW/AOT7RSCC",0.77,0.72,1765.02
"115","GENERAL ELECTRIC","ASIAH18EWI",1.84,1.87,4433.56
"116","MITSUBISHI ELECTRIC","MWH-12KV",1.72,1.56,3872.88
"117","MITSUBISHI ELECTRIC","MSZ-G12SV/MUZ-G12SV",1.36,1.63,3634.84
"119","HOTPOINT","HPS 125R",1.1,1.07,2581.28
"120","FUJITSU GENERAL","AST24RGB-W/AOT24RNAL/AOT24RNCLST24RGB-W/A",2.61,2.7,6357.42
"122","MITSUBISHI ELECTRIC","MSH-12RV/MUH-12RV",1.32,1.4,3265.04
"124","MITSUBISHI ELECTRIC","MSH-09RV/MUH-09RV",0.95,0.97,2295.58
"125","AIRTEMP","HAY107N6G",0.82,0.82,1956.52
"127","MITSUBISHI ELECTRIC","MWH-08MV",1.02,0.87,2217.12
"128","MHI","SRT403HENF-L",1.38,1.39,3307.12
"132","CARRIER","53G150H",1.32,1.35,3192.84
"137","CARRIER","53G225H",1.88,1.8,4370.16
"138","CARRIER","53G100H",0.96,0.96,2290.56
"141","HEC","HSU-09HEO4",1.02,1.16,2635.88
"142","MHI","SRK561HENF-A",2.18,2.18,5201.48
"143","MHI","SRK388HENF-A",1.32,1.33,3163.96
"144","MHI","SRK408HENF-A",1.51,1.54,3646.18
