Postcode,Longtitude,Latitude
2448,153,-30.6
2449,152.7,-30.6
2450,152.7,-30.1
2452,153.1,-30.4
2454,152.8,-30.5
2455,153,-30.5
2456,153.1,-30.1
2460,152.8,-29.5
2462,153.2,-29.8
2463,153.1,-29.4
2464,153.3,-29.5
2465,153.2,-29.4
2466,153.2,-29.4
2472,153.3,-29.2
2473,153.4,-29.1
2898,159.1,-31.5
2899,168,-29
6511,115.3,-30.6
6515,115.9,-30
6516,115.2,-30.2
6518,115.2,-29.8
6525,115.1,-29.3
6528,114.8,-29
6530,114.9,-28.8
6532,113,-25.8
6535,114.9,-27.8
6536,114.4,-27.5
6000,115.9,-31.9
6003,115.9,-31.9
6004,115.9,-32
6005,115.8,-32
6006,115.9,-31.9
6007,115.8,-31.9
6008,115.8,-32
6009,115.8,-32
6014,115.8,-31.9
6016,115.8,-31.9
6017,115.8,-31.9
6018,115.8,-31.9
6021,115.8,-31.9
6022,115.8,-31.9
6023,115.8,-31.8
6024,115.8,-31.8
6026,115.8,-31.8
6031,115.8,-31.7
6033,115.7,-31.6
6035,115.7,-31.5
6036,115.7,-31.6
6038,115.7,-31.6
6043,115.4,-31.1
6050,115.9,-31.9
6051,115.9,-31.9
6052,115.9,-31.9
6053,115.9,-31.9
6054,115.9,-31.9
6055,116,-31.8
6056,116,-31.8
6057,116,-31.9
6058,116,-32
6059,115.9,-31.9
6060,115.8,-31.9
6061,115.8,-31.9
6062,115.9,-31.9
6063,115.9,-31.9
6064,115.8,-31.8
6065,115.8,-31.7
6066,115.9,-31.8
6067,115.9,-31.8
6068,115.9,-31.8
6069,116,-31.8
6090,115.9,-31.9
6100,115.9,-32
6101,115.9,-32
6102,115.9,-32
6103,115.9,-32
6104,115.9,-31.9
6105,116,-32
6106,115.9,-32
6107,116,-32
6108,116,-32.1
6109,116,-32
6110,116,-32.1
6111,116.1,-32.1
6121,115.9,-32.3
6122,116.1,-32.3
6123,116,-32.3
6125,116,-32.4
6126,116,-32.4
6147,115.9,-32
6148,115.9,-32
6149,115.9,-32
6150,115.8,-32.1
6151,115.9,-32
6152,115.9,-32
6153,115.8,-32
6154,115.8,-32
6155,115.9,-32.1
6156,115.8,-32
6157,115.8,-32
6164,115.9,-32.1
6221,115.9,-33.1
6223,115.9,-33.2
6501,115.9,-31.5
6504,116,-31.3
6505,116.1,-31.2
6506,116.1,-31.1
2329,150.2,-32
2336,151.1,-32.1
2337,151.1,-32
2345,150.9,-30.9
2346,150.8,-30.6
2347,150.5,-30.3
2350,151.9,-30.5
2351,151.6,-30.5
2352,151,-30.7
2353,151.1,-31
2354,151.8,-31.1
2355,151.2,-30.8
2356,149.3,-31.2
2358,151.3,-30.5
2359,151,-30.1
2361,151.1,-29.2
2365,151.7,-30.1
2369,151.3,-30
2370,151.9,-29.7
2371,151.8,-29.4
2372,152,-29.1
2380,150.2,-31
2381,150.2,-31
2382,150.2,-30.6
2403,150.8,-29.6
2404,150.5,-29.9
2453,152.6,-30.3
2475,152.4,-28.5
2476,152.5,-28.4
2250,151.2,-33.3
2251,151.4,-33.5
2256,151.3,-33.6
2257,151.3,-33.5
2258,151.3,-33.3
2259,151.4,-33.2
2260,151.4,-33.4
2261,151.5,-33.4
2262,151.5,-33.2
2263,151.5,-33.2
2264,151.5,-33.1
2265,151.4,-33.1
2267,151.6,-33.1
2278,151.7,-33
2280,151.7,-33
2281,151.6,-33.1
2282,151.7,-33
2283,151.6,-33
2284,151.6,-33
2285,151.7,-32.9
2286,151.5,-32.9
2287,151.7,-32.9
2289,151.7,-32.9
2290,151.7,-33
2291,151.7,-33
2292,151.7,-32.9
2298,151.7,-32.9
2299,151.7,-32.9
2300,151.8,-32.9
2302,151.8,-32.9
2303,151.7,-32.9
2304,151.7,-32.9
2305,151.7,-32.9
2306,151.7,-33
